,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1952,1175,1076,1427,1967,1914,1790,1820,1748,1646,2072,2248,2522,2459,2972,3822,-,-,-,-,-
1,Market Cap Growth,-38.61%,-38.61%,-39.89%,-21.61%,12.55%,16.26%,-13.62%,-19.01%,-30.69%,-33.05%,-30.28%,-41.19%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1879,1112,1087,1475,2016,1881,1761,1641,1569,1461,1802,1992,2267,2142,2555,3934,-,-,-,-,-
3,Last Close Price,12.16,7.32,6.70,8.85,12.20,11.87,11.10,11.29,10.84,10.21,12.85,13.72,15.39,15.01,18.14,23.21,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-,-,40.85,-,30.07,33.20,-,-,-,-,-
5,PS Ratio,2.95,1.77,1.68,2.10,3.13,3.22,3.31,3.73,3.40,1.88,2.34,2.03,2.06,2.10,2.19,2.64,-,-,-,-,-
6,PB Ratio,1.69,1.01,0.92,1.18,1.60,1.49,1.35,1.33,1.26,1.07,1.32,1.35,1.50,1.51,1.80,2.32,-,-,-,-,-
7,P/TBV Ratio,1.02,1.02,0.93,1.19,1.61,1.50,1.36,1.34,1.27,1.07,1.32,1.35,1.51,1.51,1.81,2.33,-,-,-,-,-
8,P/FCF Ratio,12.31,7.41,-,-,-17.67,-,-,-,-,-70.33,-,-,-10.73,-,-,-,-,-,-,-,-
9,P/OCF Ratio,6.97,6.97,-,-,-18.72,-,-,-,-,-104.95,-,-,-10.87,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.84,1.68,1.70,2.18,3.21,3.16,3.26,3.36,3.05,1.66,2.03,1.80,1.85,1.83,1.88,2.72,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,54.03,-,19.92,26.86,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,-,56.67,-,20.14,27.08,-,-,-,-,-
13,EV/FCF Ratio,11.85,7.01,-,-,-18.11,-,-,-,-,-62.43,-,-,-9.64,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.20,0.20,0.20,0.19,0.22,0.22,0.19,0.17,0.16,0.13,0.11,0.10,0.12,0.15,0.17,0.19,0.31,0.32,0.38,0.40,0.40
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,1.98,-,2.14,4.31,1.89,2.10,1.99,8.79,1.78
16,Debt / FCF Ratio,1.49,1.49,-,-,-2.38,-,-,-,-,-8.75,-,-,-0.85,-,-,-,19.11,-,2.70,-,2.31
17,Asset Turnover,0.27,0.31,0.22,0.26,0.22,0.34,0.13,0.19,0.12,0.22,0.14,0.63,0.13,0.50,0.30,0.64,0.42,-,-,-,
18,Inventory Turnover,20.77,20.74,22.21,16.54,22.70,19.19,27.01,11.00,16.11,12.23,22.87,14.08,57.66,12.79,51.72,28.98,58.03,37.68,-,-,-
19,Quick Ratio,1.74,1.74,1.69,1.82,1.69,1.77,1.75,1.88,1.77,1.89,1.87,2.01,1.84,2.07,1.97,1.98,1.44,1.55,1.51,-,0.95
20,Current Ratio,1.78,1.78,1.73,1.86,1.73,1.83,1.81,1.94,1.81,1.94,1.93,2.06,1.88,2.12,2.01,2.03,1.49,1.61,1.55,-,1.42
21,Return on Equity (ROE),-1.90%,-13.94%,-5.92%,-17.56%,-13.15%,-10.83%,-6.71%,-42.69%,-8.54%,-15.50%,-2.13%,11.33%,-4.11%,4.90%,3.77%,13.80%,12.04%,15.22%,3.27%,-,
22,Return on Assets (ROA),-0.70%,-4.96%,-2.52%,-6.61%,-3.95%,-4.75%,-2.45%,-13.85%,-5.53%,-6.54%,-1.53%,1.42%,-1.98%,2.26%,1.47%,3.75%,3.43%,-,-,-,
23,Return on Capital (ROIC),-1.23%,-8.49%,-4.33%,-11.37%,-6.68%,-7.97%,-4.16%,-24.02%,-9.55%,-11.20%,-2.66%,2.42%,-3.24%,3.68%,2.68%,7.83%,7.08%,8.70%,1.95%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,-,2.22%,-,7.05%,8.05%,11.02%,11.50%,8.51%,-,4.09%
