,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,167.9,184.04,136.69,171.31,145.94,222.07,86.78,137.91,90.51,170.06,113.3,503.34,100.9,390.15,228.81,447.8,289.48,478.72,207.8,504.64
1,Other Revenue,-1.55,1.55,-,2.27,-1.14,1.14,-,2.59,-0.84,0.84,-,0.51,-2.62,2.62,-,1.14,-0.14,0.14,-,0.88
2,Revenue,166.35,185.58,136.69,173.58,144.8,223.21,86.78,140.49,89.67,170.9,113.3,503.85,98.29,392.76,228.81,448.94,289.33,478.87,207.8,505.52
3,Revenue Growth (YoY),14.88%,-16.86%,57.51%,23.55%,61.48%,30.61%,-23.40%,-72.12%,-8.77%,-56.49%,-50.48%,12.23%,-66.03%,-17.98%,10.11%,-11.19%,-,-,-,-
4,Cost of Revenue,148.79,159.78,119.88,160.05,131.84,182.61,73.05,104.66,79.11,148.12,90.19,369.45,80.18,314.02,177.13,356.81,228.08,376.02,165.18,404.3
5,Gross Profit,17.56,25.81,16.81,13.52,12.96,40.6,13.73,35.83,10.56,22.78,23.11,134.41,18.1,78.75,51.67,92.13,61.25,102.85,42.62,101.23
6,"Selling, General & Admin",24.08,27.15,24.48,39.25,27.45,25.25,27.16,38.51,24.7,24.3,20.84,22.28,29.39,20.84,25.78,31.13,20.08,17.05,14.43,27.58
7,Research & Development,2.12,2.06,3.33,4.9,3.69,7.67,6.03,5.57,5.18,6.79,10.81,8.77,7.84,8.18,8.89,17.03,9.39,9.69,7.86,16.61
8,Other Operating Expenses,0.83,0.17,0.59,0.35,-0.32,1.05,0.28,1.68,-0.04,-0.47,0.35,1.63,-0.1,0,1.32,2.57,0.33,-0.63,1.23,1.71
9,Operating Expenses,24.42,74.01,42.28,83.39,55.23,91.29,40.35,196.95,77.37,103.05,42.86,116.24,42.7,50.15,33.84,49.84,23.12,55.83,32.16,48.01
10,Operating Income,-6.86,-48.2,-25.47,-69.87,-42.27,-50.69,-26.62,-161.12,-66.81,-80.27,-19.76,18.17,-24.6,28.6,17.83,42.29,38.13,47.02,10.46,53.22
11,Interest Expense,-4.36,-2.41,-3.04,-3.11,-4.69,-2.69,-2.55,-3.4,-1.7,-2.29,-1.99,-3.09,-3.19,-3.94,-3.97,-4.04,-4.67,-6.58,-5.47,-6.24
12,Interest & Investment Income,-,2.38,1.61,-,-,2.93,1.53,1.71,1.96,1.08,2.27,6.35,3.16,1.28,1.09,0.63,0.64,2.17,0.28,0.25
13,Currency Exchange Gain (Loss),0.02,-0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),1.41,4.46,2.79,1.51,6.94,1.28,4.57,-19.76,19.9,4.43,8.91,28.27,1.88,-2.85,-1.1,-2.31,0.76,0.2,3.36,-6.33
15,EBT Excluding Unusual Items,-9.79,-43.79,-24.11,-71.46,-40.02,-49.16,-23.07,-182.58,-46.65,-77.05,-10.57,49.7,-22.74,23.09,13.85,36.58,34.86,42.82,8.62,40.9
16,Impairment of Goodwill,-,-,-,-0.45,-,-,-,-0.2,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-,-,-,0.5,-,-,-0.5,-0.04,-0.07,0.61,-0.24,-0.47,-0.5,1.21,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.01,-0,-,0.01,1.35,0.68,-0.01,0.52,-,-,-,-,-,-,-0,0,0.01,-,-,-0.07
19,Asset Writedown,7.04,-5.58,5.58,10.61,-10.6,-0.01,0.01,-13.73,13.77,0.02,0.02,-2.7,2.63,-0.02,-,-,-,-,-,-
20,Other Unusual Items,-1.5,1.16,0.18,0.48,-0.28,0.28,-,9.95,-0.49,0.49,-,4.53,0.36,-0.36,-,2.04,-0.15,0.15,-,10.02
21,Pretax Income,-4.24,-48.21,-18.35,-60.31,-49.55,-48.21,-23.58,-186.08,-33.45,-75.93,-10.79,51.06,-20.25,23.92,13.85,38.62,34.72,42.97,8.62,50.86
22,Income Tax Expense,1.3,-6.84,-0.29,-5,-6.51,-11.73,-0.5,-29.76,-0.15,-13.05,-1.87,4.16,-3.41,3.77,1.16,3.11,4.73,6.01,0.75,5.2
23,Earnings From Continuing Operations,-5.54,-41.38,-18.06,-55.3,-43.04,-36.48,-23.07,-156.31,-33.3,-62.89,-8.91,46.9,-16.84,20.15,12.69,35.52,29.99,36.96,7.87,45.66
24,Minority Interest in Earnings,0.45,-1.22,0.23,1.59,0.69,-1.58,0.15,0.07,0.06,-0.11,-0.26,-1.58,0.12,0.17,0.12,0.05,0.12,-0.35,-0.41,-0.57
25,Net Income,-5.09,-42.6,-17.82,-53.71,-42.35,-38.06,-22.93,-156.25,-33.24,-62.99,-9.18,45.32,-16.71,20.32,12.81,35.57,30.11,36.61,7.45,45.08
26,Net Income to Common,-5.09,-42.6,-17.82,-53.71,-42.35,-38.06,-22.93,-156.25,-33.24,-62.99,-9.18,45.32,-16.71,20.32,12.81,35.57,30.11,36.61,7.45,45.08
27,Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,27.42%,-,-44.50%,71.89%,-21.11%,-,-,-,-
28,Shares Outstanding (Basic),153,165,162,163,163,157,164,160,166,168,153,170,147,173,128,118,120,121,124,121
29,Shares Outstanding (Diluted),153,165,162,163,163,157,164,160,166,168,153,170,147,173,128,118,120,121,124,121
30,Shares Change (YoY),-6.53%,4.66%,-1.05%,2.31%,-1.42%,-6.29%,7.05%,-5.95%,13.09%,-3.04%,19.39%,44.26%,22.14%,43.54%,3.13%,-2.96%,-,-,-,-
31,EPS (Basic),-0.03,-0.26,-0.11,-0.33,-0.26,-0.24,-0.14,-0.98,-0.20,-0.38,-0.06,0.27,-0.11,0.12,0.10,0.30,0.25,0.30,0.06,0.37
32,EPS (Diluted),-0.03,-0.26,-0.11,-0.33,-0.26,-0.24,-0.14,-0.98,-0.20,-0.38,-0.06,0.27,-0.11,0.12,0.10,0.30,0.25,0.30,0.06,0.37
33,EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-11.67%,-,-61.34%,66.67%,-18.70%,-,-,-,-
34,Free Cash Flow,114.64,-34.77,-62.88,141.55,-50.31,-92.43,-110.11,-49.79,12.86,-60.16,-34.09,57.98,-48.6,-54.8,-189.7,156.67,-113.62,113.97,-140.16,165.64
35,Free Cash Flow Per Share,0.75,-0.21,-0.39,0.87,-0.31,-0.59,-0.67,-0.31,0.08,-0.36,-0.22,0.34,-0.33,-0.32,-1.48,1.33,-0.95,0.95,-1.13,1.37
36,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.200,-,-,-,0.100,-,-,-,-
37,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,100.00%,-,-,-,-,-,-,-,-
38,Gross Margin,10.55%,13.91%,12.30%,7.79%,8.95%,18.19%,15.82%,25.50%,11.78%,13.33%,20.40%,26.68%,18.42%,20.05%,22.58%,20.52%,21.17%,21.48%,20.51%,20.02%
39,Operating Margin,-4.13%,-25.97%,-18.63%,-40.25%,-29.19%,-22.71%,-30.68%,-114.68%,-74.51%,-46.97%,-17.44%,3.61%,-25.03%,7.28%,7.79%,9.42%,13.18%,9.82%,5.03%,10.53%
40,Profit Margin,-3.06%,-22.95%,-13.04%,-30.95%,-29.25%,-17.05%,-26.42%,-111.21%,-37.07%,-36.86%,-8.10%,8.99%,-17.00%,5.17%,5.60%,7.92%,10.41%,7.64%,3.59%,8.92%
41,Free Cash Flow Margin,68.91%,-18.74%,-46.00%,81.55%,-34.74%,-41.41%,-126.89%,-35.44%,14.34%,-35.20%,-30.09%,11.51%,-49.45%,-13.95%,-82.91%,34.90%,-39.27%,23.80%,-67.45%,32.77%
42,EBITDA,-5.96,-47.24,-24.56,-68.96,-41.46,-49.76,-25.81,-160.31,-66.1,-79.49,-19.04,18.88,-24.26,29.17,18.16,42.54,38.4,47.37,10.86,53.62
43,EBITDA Margin,-3.58%,-25.46%,-17.97%,-39.73%,-28.63%,-22.29%,-29.75%,-114.11%,-73.71%,-46.51%,-16.81%,3.75%,-24.68%,7.43%,7.94%,9.47%,13.27%,9.89%,5.23%,10.61%
44,D&A For EBITDA,0.91,0.96,0.91,0.91,0.81,0.92,0.81,0.81,0.71,0.78,0.71,0.71,0.34,0.57,0.34,0.24,0.27,0.35,0.41,0.4
45,EBIT,-6.86,-48.2,-25.47,-69.87,-42.27,-50.69,-26.62,-161.12,-66.81,-80.27,-19.76,18.17,-24.6,28.6,17.83,42.29,38.13,47.02,10.46,53.22
46,EBIT Margin,-4.13%,-25.97%,-18.63%,-40.25%,-29.19%,-22.71%,-30.68%,-114.68%,-74.51%,-46.97%,-17.44%,3.61%,-25.03%,7.28%,7.79%,9.42%,13.18%,9.82%,5.03%,10.53%
47,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,8.15%,-,15.76%,8.36%,8.04%,13.62%,13.98%,8.75%,10.23%
48,Revenue as Reported,166.35,185.58,136.69,173.58,144.8,223.21,86.78,140.49,89.67,170.9,113.3,503.85,98.29,392.76,228.81,448.94,289.33,478.87,207.8,505.52
