,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,317.05,299.91,230.47,359.02,247.88,300.74,261.05,228.89,257.97,201.67,436.49,450.31,450.1,441.95,631.75,374.95,211.14,376.58,-,272.55
1,Trading Asset Securities,-,-,-,-,-,-,-,130.5,130.54,160.61,-,50.24,50.81,151.31,100,-,-,-,-,-
2,Cash & Short-Term Investments,317.05,299.91,230.47,359.02,247.88,300.74,261.05,359.39,388.5,362.27,436.49,500.55,500.91,593.26,731.75,374.95,211.14,376.58,272.55,272.55
3,Cash Growth,27.91%,-0.27%,-11.71%,-0.10%,-36.20%,-16.99%,-40.19%,-28.20%,-22.44%,-38.93%,-40.35%,33.50%,137.23%,57.54%,168.48%,37.57%,-,-,-,-
4,Accounts Receivable,1667,1744,1755,1886,1940,1965,1880,2017,2079,2156,2149,2343,2023,2091,1872,2007,1915,1897,-,1224
5,Other Receivables,14.94,15.1,13.35,25.31,14.1,18.15,14.86,18.23,28.56,28.53,25.45,35.1,39.7,40.2,39.52,46.64,55.6,73.68,-,57.44
6,Receivables,1681,1759,1768,1911,1954,1984,1895,2036,2107,2185,2175,2378,2062,2132,1912,2053,1971,1970,-,1281
7,Inventory,29.03,28.35,29.21,28.76,27.65,27.33,26.76,26.35,25.62,26.13,25.68,25.57,25.69,24.46,24.12,24.78,24.41,24.02,-,726.43
8,Other Current Assets,21.3,20.92,18.37,16.67,38.17,40.38,42.56,39.03,43.37,43.23,37.75,38.81,35.24,35.61,38.14,50.56,51.7,47.97,-,54.56
