,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Jan '25 Jan 23, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,120,148,215,296,253,266,297,297,333,229,283,Upgrade
1,Market Cap Growth,-50.00%,-50.00%,-15.20%,11.42%,-14.71%,-10.65%,-10.88%,29.70%,17.60%,-37.25%,-31.11%,Upgrade
2,Enterprise Value,1718,5680,5698,5036,5074,4181,3791,1406,1596,1554,1501,Upgrade
3,Last Close Price,1.62,2.00,2.90,4.00,3.42,3.59,4.01,3.82,4.05,2.51,3.10,Upgrade
4,PE Ratio,-,-,-,-,19.05,-,-,0.27,14.92,-,-,Upgrade
5,PS Ratio,0.34,0.45,1.01,1.81,2.92,7.03,-,0.63,1.03,4.20,4.45,Upgrade
6,PB Ratio,0.07,0.09,0.05,0.06,0.05,0.05,0.06,0.06,0.10,0.07,0.09,Upgrade
7,P/TBV Ratio,0.09,0.09,0.09,0.11,0.07,0.08,0.07,0.07,0.10,0.07,0.09,Upgrade
8,P/FCF Ratio,1.95,2.40,-,-,-,-,-,-,1.29,-,-,Upgrade
9,P/OCF Ratio,2.35,2.35,-,-,-,-,-,-,1.29,-,-,Upgrade
10,EV/Sales Ratio,5.02,17.38,26.90,30.74,58.48,110.59,-,2.97,4.94,28.48,23.59,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,158.61,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,406.68,-,-,-,Upgrade
13,EV/FCF Ratio,27.89,92.22,-,-,-,-,-,-,6.21,-,-,Upgrade
14,Debt / Equity Ratio,0.98,0.98,0.84,0.81,0.75,0.77,0.75,0.69,0.49,0.49,0.47,Upgrade
15,Debt / FCF Ratio,27.73,27.73,-,-,-,-,-,-,6.12,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,0.05%,-,-,-,Upgrade
17,Earnings Yield,-744.34%,-602.91%,-118.02%,-10.87%,5.25%,-9.45%,-,368.31%,6.70%,-87.63%,-105.18%,Upgrade
18,FCF Yield,51.38%,41.62%,-157.39%,-102.50%,-53.79%,-10.77%,-,67.68%,77.28%,-19.75%,1.69%,Upgrade
19,Buyback Yield / Dilution,2.13%,-,4.25%,-,-,9.79%,-,10.19%,1.06%,-,-0.01%,Upgrade
20,Total Shareholder Return,2.13%,-,4.25%,-,-,9.79%,-,10.19%,1.06%,-,-0.01%,Upgrade
