,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,21620,20562,23244,44585,22645,19709,22814,30664,45770,37833,27387,16819,18310,19116,18501,32043,72613,54684,101873,32855,Upgrade
1,Short-Term Investments,815000,915000,815000,665000,710000,550000,375000,65000,65000,80000,180000,310000,380000,320000,370000,300000,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,836620,935562,838244,709585,732645,569709,397814,95664,110770,117833,207387,326819,398310,339116,388501,332043,72613,54684,101873,32855,Upgrade
3,Cash Growth,14.19%,64.22%,110.71%,641.74%,561.41%,383.49%,91.82%,-70.73%,-72.19%,-65.25%,-46.62%,-1.57%,448.54%,520.13%,281.36%,910.63%,16.38%,-39.96%,-37.03%,-57.21%,Upgrade
4,Accounts Receivable,92465,201348,285136,698030,262111,483328,663143,819433,583917,387157,540365,619493,561109,358192,697773,649090,768546,572031,941124,1338968,Upgrade
5,Other Receivables,420.54,847,654.2,753.89,787.9,558.09,1162,5179,1501,1340,2140,7800,8830,33779,1133,1740,7383,8116,5908,10661,Upgrade
6,Receivables,92886,202195,285791,698784,262898,483886,664305,824612,585419,388497,542505,627293,569939,391971,698907,650830,775929,580147,947031,1349629,Upgrade
7,Inventory,1335844,816278,873553,458955,1037752,569225,638448,707216,1237694,1078176,929307,847208,976568,886606,586852,488050,586415,736565,701154,841036,Upgrade
8,Prepaid Expenses,3568,4128,3690,6035,3561,3944,3041,4031,3141,3627,2306,3918,3229,3657,2612,1658,2141,1211,2104,1526,Upgrade
