,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2144272,2415127,2595697,2539269,2347413,1579990,1444562,1252706,925422,846423,1331706,1478419,2245842,2381270,2110415,1602561,1230135,914137,688424,665853,564282,Upgrade
1,Market Cap Growth,52.86%,52.86%,79.69%,102.70%,153.66%,86.67%,8.47%,-15.27%,-58.79%,-64.45%,-36.90%,-7.75%,82.57%,160.49%,206.56%,140.68%,118.00%,17.39%,-11.59%,-14.49%,-47.37%,Upgrade
2,Enterprise Value,2023421,1903847,2020959,2114112,2014429,1247694,1222396,1306680,1305428,921007,1363023,1558297,2390025,2388842,2009246,1446886,1297173,1045444,1084327,1466352,1531552,Upgrade
3,Last Close Price,19000.00,21400.00,23000.00,21610.67,19977.87,13446.64,12294.07,10183.89,7523.24,6881.01,10826.12,11496.27,17463.80,18516.90,16410.71,12461.61,9565.60,7108.38,5353.23,5177.71,4387.89,Upgrade
4,PE Ratio,14.12,-,13.59,13.58,15.44,11.90,12.97,13.57,10.64,10.02,18.90,22.13,32.97,38.62,23.29,17.65,26.35,33.32,-42.31,-,173.51,Upgrade
5,Forward PE,-,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,Upgrade
6,PS Ratio,0.62,0.70,0.76,0.74,0.64,0.46,0.40,0.37,0.28,0.27,0.41,0.49,0.72,0.85,0.79,0.59,0.49,0.40,0.29,0.27,0.20,Upgrade
7,PB Ratio,1.47,1.65,1.80,1.80,1.59,1.11,1.06,0.94,0.67,0.63,1.01,1.13,1.65,1.79,1.60,1.22,0.96,0.72,0.56,0.54,0.45,Upgrade
8,P/TBV Ratio,1.65,1.65,1.80,1.80,1.59,1.11,1.06,0.94,0.67,0.63,1.01,1.13,1.65,1.79,1.60,1.22,0.96,0.72,0.56,0.54,0.45,Upgrade
9,P/FCF Ratio,-,-,10.55,6.71,4.52,-,3.08,4.04,11.10,-,-83.41,-9.94,-8.97,-,-,-,1.29,1.02,0.79,1.01,1.29,Upgrade
10,P/OCF Ratio,-,-,8.68,5.86,4.05,1.91,2.74,3.42,6.93,-,45.33,-14.50,-10.77,-,-,-,1.25,0.98,0.76,0.95,1.18,Upgrade
11,EV/Sales Ratio,0.58,0.55,0.59,0.62,0.55,0.36,0.34,0.38,0.39,0.29,0.42,0.52,0.77,0.85,0.75,0.53,0.51,0.46,0.45,0.59,0.55,Upgrade
12,EV/EBITDA Ratio,7.56,7.12,6.93,7.31,7.72,5.05,5.31,6.53,6.75,5.05,9.06,10.89,16.36,16.93,11.36,7.72,8.79,7.64,10.69,12.95,10.19,Upgrade
13,EV/EBIT Ratio,9.86,9.28,8.73,9.24,10.04,6.67,7.16,9.25,9.68,7.44,14.46,17.67,26.01,28.00,17.06,11.53,14.96,13.61,24.18,-,16.05,Upgrade
14,EV/FCF Ratio,-14.07,-,8.21,5.59,3.88,-,2.61,4.22,15.66,-,-85.37,-10.48,-9.54,-,-,-,1.36,1.16,1.24,2.22,3.49,Upgrade
15,Debt / Equity Ratio,0.49,0.49,0.29,0.19,0.19,0.28,0.17,0.13,0.11,0.36,0.15,0.18,0.30,0.41,0.26,0.22,0.14,0.11,0.15,0.41,0.67,Upgrade
16,Debt / EBITDA Ratio,2.68,3.60,1.91,0.78,0.91,1.35,1.12,0.79,0.58,2.16,2.08,1.21,1.91,5.44,5.47,1.38,0.92,0.58,1.75,10.18,5.58,Upgrade
17,Debt / FCF Ratio,-,-,1.72,0.70,0.55,-,0.51,0.57,1.80,-,-12.05,-1.61,-1.62,-,-,-,0.18,0.16,0.21,0.75,1.90,Upgrade
18,Asset Turnover,0.98,1.40,1.07,2.53,1.01,1.60,1.73,2.28,1.38,1.20,1.47,1.89,1.58,0.71,1.77,1.69,1.66,0.84,1.08,0.77,Upgrade,
19,Inventory Turnover,2.38,1.54,3.25,2.58,6.92,1.78,4.63,4.41,4.46,2.01,2.12,3.02,4.01,3.25,1.60,5.45,4.83,3.61,1.82,2.79,2.02,Upgrade
20,Quick Ratio,0.79,0.79,1.32,1.22,1.92,1.06,1.66,1.49,1.55,0.74,0.82,1.03,1.20,1.01,1.10,1.51,1.88,1.65,1.27,1.18,1.05,Upgrade
21,Current Ratio,1.92,1.92,2.31,2.20,2.59,2.18,2.61,2.41,2.78,2.09,2.61,2.36,2.30,2.04,2.48,2.38,2.85,2.82,2.78,1.99,1.70,Upgrade
22,Return on Equity (ROE),4.46%,9.15%,18.65%,14.50%,15.61%,8.51%,9.54%,9.74%,7.89%,2.92%,8.06%,9.12%,2.56%,1.82%,8.73%,7.65%,10.78%,1.99%,-5.12%,1.62%,Upgrade,
23,Return on Assets (ROA),3.24%,4.37%,7.63%,6.93%,6.70%,4.68%,5.10%,5.85%,4.97%,1.07%,4.11%,4.35%,1.47%,0.30%,4.98%,4.50%,6.40%,1.31%,-0.06%,2.05%,Upgrade,
24,Return on Capital (ROIC),3.96%,5.71%,10.09%,8.84%,8.53%,6.09%,6.75%,7.39%,6.25%,1.38%,5.19%,5.31%,1.77%,0.37%,6.25%,5.63%,7.97%,1.61%,-0.07%,2.56%,Upgrade,
25,Return on Capital Employed (ROCE),14.04%,14.04%,16.02%,16.20%,13.61%,13.16%,12.53%,10.60%,9.78%,9.16%,7.12%,6.71%,6.74%,6.40%,8.96%,9.59%,6.76%,6.06%,3.64%,-,7.48%,Upgrade
26,Earnings Yield,7.08%,6.98%,7.97%,7.99%,7.15%,9.40%,8.35%,8.11%,10.39%,11.07%,5.69%,4.88%,3.27%,2.81%,4.37%,5.76%,3.93%,3.18%,-2.34%,-3.09%,0.61%,Upgrade
27,FCF Yield,-6.71%,-5.96%,9.48%,14.91%,22.13%,48.08%,32.43%,24.74%,9.01%,-21.67%,-1.20%,-10.06%,-11.15%,-3.65%,5.44%,30.82%,77.56%,98.25%,126.81%,99.26%,77.70%,Upgrade
28,Dividend Yield,5.15%,-,-,-,-,7.44%,-,-,-,-,-,-,-,3.24%,-,-,-,-,-,-,-,Upgrade
