,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,395.1,384.76,352.24,488.77,634.51,672.68,703.11,825.67,766.68,635.48,867.38,893.36,244.9,104.06,-,122.7,-,67.68,67.68
1,Trading Asset Securities,-,-,120,-,50,50,50,-,-,183.42,-,12.75,-,65.84,-,-,-,-,-
2,Cash & Short-Term Investments,395.1,384.76,472.24,488.77,684.51,722.68,753.11,825.67,766.68,818.91,867.38,906.11,244.9,169.9,122.7,122.7,67.68,67.68,67.68
3,Cash Growth,-42.28%,-46.76%,-37.30%,-40.80%,-10.72%,-11.75%,-13.17%,-8.88%,213.06%,381.99%,606.92%,638.49%,261.87%,151.05%,81.30%,-,-,-,-
4,Accounts Receivable,155.12,126.29,112.32,100.71,88.29,92.85,91.41,99.33,119.4,110.21,117.94,105.73,94.44,94.45,-,90.49,-,80.56,80.56
5,Other Receivables,3.33,2.07,2.15,2.39,2.26,7.09,2.33,2.31,4.3,2.33,2.2,4.13,7.26,5.6,-,5.94,-,6.23,6.23
6,Receivables,158.45,128.36,114.47,103.09,90.55,99.94,93.74,101.64,123.69,112.54,120.13,109.86,101.7,100.05,-,96.43,-,86.79,86.79
7,Inventory,407.57,392.26,358.22,319.75,387.74,355.51,342.83,322.45,323.55,283.35,277.06,255.03,273.28,256.67,-,222.85,-,292.48,292.48
8,Other Current Assets,194.07,192.8,180.84,176.28,21.98,25.01,26.1,26.75,43.99,37.29,26.84,30.53,22.73,19.17,-,23.69,-,19.9,19.9
9,Total Current Assets,1155,1098,1126,1088,1185,1203,1216,1277,1258,1252,1291,1302,642.6,545.79,-,465.67,-,466.84,466.84
10,"Property, Plant & Equipment",244.28,231.23,207.46,194.49,132.11,108.52,107.63,102.65,106.06,104.59,98,99.7,101.62,106.32,-,94.29,-,99.52,99.52
11,Long-Term Investments,86.05,86.43,87.11,87.08,87.19,87.28,87.49,4.99,5,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,11.38,11.05,10.29,10.32,10.47,9.81,9.92,10.03,10.16,9.32,9.41,9.5,9.59,9.68,-,9.86,-,10.04,10.04
13,Long-Term Accounts Receivable,6.94,7.4,7.74,8.02,-,8.57,-,-,-,-,-,-,-,-,-,2,-,4.35,4.35
14,Long-Term Deferred Tax Assets,8.56,8.49,8.17,8.27,7.21,7.41,7.76,7.84,7.15,7.25,7.17,7.24,6.81,7.13,-,7.14,-,7.22,7.22
15,Long-Term Deferred Charges,1.59,1.88,1.86,1.52,1.63,1.83,1.58,1.76,1.88,1.48,1.11,1.06,1.14,0.68,-,0.65,-,1.07,1.07
16,Other Long-Term Assets,17.55,27.89,46.78,49.28,103.71,88.09,69.74,55.36,39.67,30.11,17.86,13.1,12.31,11.46,-,7.01,-,8.9,8.9
17,Total Assets,1532,1473,1495,1447,1527,1515,1500,1459,1428,1405,1425,1432,774.06,681.05,-,586.61,-,597.94,597.94
18,Accounts Payable,121.45,122,124.36,96.84,98.83,109.14,105.78,93.26,89.63,82.32,85.59,101.03,116.2,88.62,-,92.23,-,118.88,118.88
19,Accrued Expenses,21.21,19.52,10.05,29.39,18.49,16,16.8,28.94,16.32,16.35,9.57,25.87,18.75,21.97,-,24.03,-,15.86,15.86
20,Short-Term Debt,-,1.21,-,1.19,-,25.34,14.31,1.19,-,1.21,-,1.19,-,1.68,-,-,-,-,-
21,Current Portion of Leases,3.6,3.55,3.49,3.43,3.16,3,2.99,2.95,2.9,3.33,3.51,3.77,3.8,3.83,-,0.31,-,0.45,0.45
22,Current Income Taxes Payable,12.24,3.07,5.58,2.47,6.52,4.3,4.86,3.5,11.88,6.13,3.61,2.6,9.61,3.81,-,3.03,-,3.78,3.78
23,Current Unearned Revenue,252.55,225.28,211.35,190,236.39,208.22,169.43,162.7,170.38,154.55,155.62,142.73,168.55,135.46,-,98.28,-,153.62,153.62
24,Other Current Liabilities,20.84,22.49,24.03,19.7,83.52,24.69,16.71,15.75,16.06,14.71,17.95,16.19,22.11,14.84,-,12.77,-,3.21,3.21
25,Total Current Liabilities,431.88,397.13,378.86,343.01,446.91,390.69,330.87,308.29,307.16,278.6,275.83,293.37,339.01,270.21,-,230.65,-,295.8,295.8
26,Long-Term Leases,1.77,3.04,3.6,4.84,5.57,6.22,6.7,7.79,8.46,8.63,9.51,10.54,11.14,11.73,-,0.13,-,0.29,0.29
27,Long-Term Unearned Revenue,1.34,1.41,1.48,1.55,1.62,1.69,1.77,1.84,1.5,1.56,1.61,1.67,1.73,1.78,-,1.9,-,2.01,2.01
28,Other Long-Term Liabilities,15.13,13.09,13.28,13.14,12.41,12.49,12.98,12.32,12.44,13.53,13.42,13.61,12.82,13.66,-,12.79,-,10.45,10.45
29,Total Liabilities,450.12,414.67,397.22,362.55,466.51,411.09,352.32,330.24,329.56,302.32,300.38,319.19,364.69,297.37,-,245.47,-,308.54,308.54
30,Common Stock,120,120,120,120,120,120,120,120,120,120,120,120,90,90,-,90,-,90,90
31,Additional Paid-In Capital,736.29,736.29,736.29,736.29,736.29,736.28,736.28,736.28,736.28,736.28,736.28,736.28,89.12,89.12,-,89.12,-,89.12,89.12
32,Retained Earnings,199.22,178.74,219.02,205.23,179.11,222.2,267.73,249.27,221.91,226.92,250.16,236.74,206.58,182.64,-,139.45,-,90.44,90.44
33,Comprehensive Income & Other,14.42,13.38,14.05,14.43,13,14.21,12.92,12.87,8.44,8.48,7.05,6.73,7.49,7.17,-,6.93,-,6.35,6.35
34,Total Common Equity,1070,1048,1089,1076,1048,1093,1137,1118,1087,1092,1113,1100,393.19,368.93,325.51,325.51,275.92,275.92,275.92
35,Minority Interest,11.49,9.48,8.6,8.38,12.19,10.88,10.66,10.5,11.63,10.85,11.09,13.19,16.17,14.75,-,15.64,-,13.49,13.49
36,Shareholders' Equity,1081,1058,1098,1084,1061,1104,1148,1129,1098,1103,1125,1113,409.36,383.68,341.14,341.14,289.4,289.4,289.4
37,Total Liabilities & Equity,1532,1473,1495,1447,1527,1515,1500,1459,1428,1405,1425,1432,774.06,681.05,-,586.61,-,597.94,597.94
38,Total Debt,5.37,7.79,7.09,9.45,8.73,34.56,24,11.93,11.35,13.17,13.02,15.51,14.94,17.23,0.44,0.44,0.73,0.73,0.73
39,Net Cash (Debt),389.73,376.97,465.15,479.32,675.78,688.12,729.12,813.74,755.32,805.74,854.36,890.61,229.96,152.67,122.26,122.26,66.94,66.94,66.94
40,Net Cash Growth,-42.33%,-45.22%,-36.20%,-41.10%,-10.53%,-14.60%,-14.66%,-8.63%,228.46%,427.77%,598.81%,628.46%,243.51%,128.05%,82.63%,-,-,-,-
41,Net Cash Per Share,3.25,3.14,3.88,3.83,5.76,5.73,6.08,6.53,6.36,6.76,7.15,10.08,2.60,1.64,1.39,1.32,0.75,0.74,0.74
42,Filing Date Shares Outstanding,120,120,120,120,120,120,120,120,120,120,120,120,90,90,88.25,90,89.67,90,90
43,Total Common Shares Outstanding,120,120,120,120,120,120,120,120,120,120,120,120,90,90,88.25,90,89.67,90,90
44,Working Capital,723.31,701.06,746.91,744.88,737.87,812.46,884.92,968.23,950.75,973.49,1016,1008,303.59,275.58,-,235.02,-,171.05,171.05
45,Book Value Per Share,8.92,8.74,9.08,8.97,8.74,9.11,9.47,9.32,9.06,9.10,9.28,9.16,4.37,4.10,3.62,3.62,3.07,3.07,3.07
46,Tangible Book Value,1059,1037,1079,1066,1038,1083,1127,1108,1076,1082,1104,1090,383.6,359.25,315.65,315.65,265.88,265.88,265.88
47,Tangible Book Value Per Share,8.82,8.64,8.99,8.88,8.65,9.02,9.39,9.24,8.97,9.02,9.20,9.09,4.26,3.99,3.51,3.51,2.95,2.95,2.95
48,Buildings,-,100.61,-,59.5,-,59.5,-,59.5,-,59.5,-,59.5,-,59.5,-,59.5,-,59.5,59.5
49,Machinery,-,241.83,-,187.45,-,161.7,-,164.4,-,157.53,-,145.8,-,143.99,-,139.72,-,137.64,137.64
50,Construction In Progress,-,21.96,-,72.2,-,17.52,-,0.86,-,1.14,-,0.04,-,-,-,-,-,-,-
