,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,157.65,113.57,116.13,215.3,94.82,114.74,105.82,179.69,125.43,133.5,101.54,170.79,138.06,122.54,122.27,157.03,160.1,100.44,100.44
1,Other Revenue,-2.67,2.67,-,2.3,-0.78,0.78,-,4.75,-2.93,2.93,-,5.05,-2.52,2.52,-,1.13,1.07,1.08,1.08
2,Revenue,154.98,116.24,116.13,217.6,94.05,115.51,105.82,184.44,122.5,136.43,101.54,175.84,135.54,125.06,122.27,158.15,161.16,101.52,101.52
3,Revenue Growth (YoY),64.79%,0.63%,9.74%,17.98%,-23.23%,-15.33%,4.22%,4.89%,-9.62%,9.09%,-16.96%,11.18%,-15.90%,23.18%,20.44%,-,-,-,-
4,Cost of Revenue,88.62,66.86,69.64,152.37,51.82,72.31,54.95,117.67,73.88,84.5,63.19,116.23,79.95,63.95,69.72,101.61,101.45,60.45,60.45
5,Gross Profit,66.36,49.38,46.48,65.23,42.23,43.21,50.87,66.77,48.62,51.93,38.34,59.6,55.59,61.11,52.55,56.54,59.71,41.07,41.07
6,"Selling, General & Admin",29.74,23.62,21.66,28.84,19.62,22,22.95,30.83,19.21,21.94,20.39,16.86,18.38,20.45,23.29,25.62,21.41,15.52,15.52
7,Research & Development,6.98,5.92,6.74,11.41,6.43,6.57,4.83,6.49,8.76,7.31,5.61,7.53,6.87,6.38,4.42,8.54,8.07,4.49,4.49
8,Other Operating Expenses,0.8,0.46,0.27,-0.29,0.47,0.91,0.94,10.19,0.23,-3.53,-2.42,1.68,0.78,0.77,1.61,3.65,0.54,-0.16,-0.16
9,Operating Expenses,37.76,31.88,30.27,41.68,27.13,28.25,29.05,48.58,28.71,25.78,24.38,31,22.52,28.51,29.13,36.96,30.53,21.47,21.47
10,Operating Income,28.6,17.5,16.21,23.55,15.1,14.96,21.82,18.19,19.92,26.15,13.96,28.6,33.07,32.6,23.43,19.58,29.18,19.6,19.6
11,Interest Expense,-0.59,-0.02,-0.19,-,-0.07,-0.61,-0.09,-0.28,-,-0.36,-0.21,-0.2,-0.19,-0.17,-0.29,-0.13,-0.39,-0.02,-0.02
12,Interest & Investment Income,1.46,3.84,2.82,3.47,5.41,2.79,2.2,2.13,4.48,3.4,3.13,0.72,0.76,0.62,0.39,0.17,0.46,0.27,0.27
13,Currency Exchange Gain (Loss),-1.11,1.11,-,-0.13,-0.57,0.57,-,1.62,-1.4,1.4,-,-0.36,0.58,-0.58,-,-2.73,-,0.32,0.32
14,Other Non Operating Income (Expenses),1.2,0.45,-0.59,-0.69,0.55,0.19,-0.36,-3.19,2.95,0.03,-0.26,-0.34,0.18,0.11,-0.32,0.47,-1.24,-1.99,-1.99
15,EBT Excluding Unusual Items,29.57,22.87,18.26,26.19,20.42,17.9,23.57,18.47,25.94,30.62,16.62,28.42,34.4,32.58,23.22,17.37,28,18.18,18.18
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-0.09,0.09,-,0.01,0.05,-0.05,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,0.01,1.48,0.02,-,-,-,-,-,-,-,-,-,-,-,0,0
18,Asset Writedown,-0.4,0.69,-0.64,0.14,-0.17,0.45,-0.46,0.83,-0.84,0.3,-0.28,2.52,-2.49,-0.47,0.45,7.11,-0.27,-0.01,-0.01
19,Other Unusual Items,0.16,0.06,0,-0.02,-,-,-,9.55,-,-,-,1.16,-,-,-,7.49,-,-,-
20,Pretax Income,29.32,23.63,17.62,26.42,21.73,18.37,23.11,28.85,25.01,31.02,16.35,32.11,31.96,32.06,23.67,31.96,27.74,18.17,18.17
21,Income Tax Expense,6.84,2.68,3.56,1.23,3.5,3.29,3.82,2.06,4.43,5.17,3.05,1.8,6.21,5.58,3.82,2.82,5.23,2.85,2.85
22,Earnings From Continuing Operations,22.48,20.94,14.06,25.19,18.23,15.09,19.29,26.79,20.58,25.85,13.3,30.31,25.75,26.48,19.86,29.14,22.5,15.32,15.32
23,Minority Interest in Earnings,-2.01,-1.23,-0.27,0.76,-1.32,-0.62,-0.66,0.37,-1.58,-1.09,0.13,-0.16,-1.81,-1.44,-0.44,-0.75,-1.88,-0.54,-0.54
24,Net Income,20.48,19.72,13.79,25.95,16.91,14.47,18.63,27.16,19,24.75,13.43,30.16,23.94,25.04,19.42,28.39,20.62,14.78,14.78
25,Net Income to Common,20.48,19.72,13.79,25.95,16.91,14.47,18.63,27.16,19,24.75,13.43,30.16,23.94,25.04,19.42,28.39,20.62,14.78,14.78
26,Net Income Growth,21.07%,36.25%,-25.97%,-4.45%,-10.98%,-41.53%,38.75%,-9.94%,-20.64%,-1.17%,-30.84%,6.23%,16.07%,69.40%,31.33%,-,-,-,-
27,Shares Outstanding (Basic),120,120,120,125,117,120,120,125,119,119,119,88,89,93,88,92,90,90,90
28,Shares Outstanding (Diluted),120,120,120,125,117,120,120,125,119,119,119,88,89,93,88,92,90,90,90
29,Shares Change (YoY),2.33%,0.01%,0.05%,0.41%,-1.22%,0.70%,0.42%,40.93%,34.12%,27.83%,35.36%,-4.34%,-1.28%,3.57%,-1.94%,-,-,-,-
