,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3541,3340,2867,3354,3480,3745,4366,3142,2852,3048,3690,4476,7068,-,-,-,-,-,-,-
1,Market Cap Growth,-10.83%,-10.83%,-34.33%,6.76%,22.00%,22.87%,18.31%,-29.81%,-59.64%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3163,2972,2410,2883,2816,3068,3647,2398,2109,2253,2847,4262,6854,-,-,-,-,-,-,-
3,Last Close Price,29.51,27.83,23.89,27.29,28.32,29.95,34.91,24.76,22.48,24.02,28.86,34.56,54.57,-,-,-,-,-,-,-
4,PE Ratio,44.77,41.78,37.54,47.16,45.81,48.53,55.08,35.09,33.82,34.90,39.99,48.35,71.72,-,-,-,-,-,-,-
5,PS Ratio,5.92,5.52,5.27,6.17,6.53,7.49,8.26,5.72,5.23,5.68,6.72,8.32,12.65,-,-,-,-,-,-,-
6,PB Ratio,3.31,3.09,2.71,3.05,3.21,3.53,3.96,2.74,2.53,2.78,3.35,3.98,6.35,-,-,-,-,-,-,-
7,P/TBV Ratio,3.15,3.15,2.76,3.11,3.27,3.61,4.03,2.79,2.57,2.83,3.41,4.05,6.48,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-138.39,-,-,131.27,-,112.11,-,-120.93,-,95.87,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,66.69,66.69,-,25.33,25.13,21.39,34.08,38.15,66.85,-,48.44,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.23,4.91,4.43,5.31,5.28,6.14,6.90,4.37,3.87,4.20,5.18,7.92,12.27,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,30.47,29.07,27.17,33.85,31.04,35.96,40.54,23.74,22.68,21.83,24.43,34.68,51.73,-,-,-,-,-,-,-
12,EV/EBIT Ratio,36.98,34.61,33.31,41.29,37.34,43.79,48.71,27.86,26.96,25.42,27.97,39.38,58.23,-,-,-,-,-,-,-
13,EV/FCF Ratio,-131.07,-123.16,-,-,106.24,-,93.66,-,-89.40,-,73.96,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.00,0.00,0.00,0.00,0.00
15,Debt / EBITDA Ratio,0.05,0.04,0.08,0.09,0.08,0.12,0.43,0.23,0.12,0.12,0.10,0.18,0.11,0.10,0.11,0.00,0.00,0.01,0.01,0.01
16,Debt / FCF Ratio,-,-0.22,-,-,0.36,-,0.89,-,-0.51,-,0.34,-,-,0.09,-,0.00,0.01,0.02,0.11,0.21
17,Asset Turnover,0.41,0.31,0.32,0.59,0.25,0.31,0.29,0.51,0.35,0.39,0.28,0.64,0.75,-,-,-,-,0.68,-,
18,Inventory Turnover,0.95,0.89,0.71,0.82,1.72,0.56,0.83,0.66,1.46,0.97,1.21,0.95,1.76,1.21,-,-,-,-,0.83,-
19,Quick Ratio,1.28,1.28,1.29,1.55,1.73,1.73,2.11,2.56,3.01,2.90,3.34,3.58,3.46,1.02,1.00,-,0.95,-,0.52,0.52
20,Current Ratio,2.67,2.67,2.77,2.97,3.17,2.65,3.08,3.67,4.14,4.10,4.49,4.68,4.44,1.90,2.02,-,2.02,-,1.58,1.58
21,Return on Equity (ROE),8.41%,7.77%,5.15%,9.40%,6.74%,5.36%,6.78%,9.62%,7.48%,9.28%,4.75%,15.93%,25.98%,29.23%,23.28%,36.97%,31.10%,21.17%,-,
22,Return on Assets (ROA),4.76%,2.95%,2.76%,3.96%,2.48%,2.48%,3.69%,3.15%,3.52%,4.62%,2.44%,6.48%,11.36%,-,-,-,-,8.19%,-,
23,Return on Capital (ROIC),6.64%,4.03%,3.69%,5.44%,3.42%,3.24%,4.72%,4.04%,4.47%,5.80%,3.08%,9.21%,20.04%,21.95%,17.15%,15.50%,25.15%,16.89%,-,
24,Return on Capital Employed (ROCE),7.78%,7.81%,6.73%,6.25%,6.83%,6.49%,6.66%,7.36%,6.80%,7.91%,9.04%,9.42%,10.34%,24.98%,25.51%,-,24.71%,-,12.97%,6.49%
25,Earnings Yield,2.26%,2.39%,2.66%,2.12%,2.18%,2.06%,1.82%,2.85%,2.96%,2.87%,2.50%,2.07%,1.39%,-,-,-,-,-,-,-
26,FCF Yield,-0.68%,-0.72%,-1.69%,0.68%,0.76%,1.90%,0.89%,-0.02%,-0.83%,-2.86%,1.04%,0.50%,1.77%,-,-,-,-,-,-,-
27,Dividend Yield,1.64%,-,-,-,3.53%,-,2.86%,-,3.11%,-,2.08%,-,0.73%,-,-,-,-,-,-,-
28,Payout Ratio,150.12%,-,304.29%,-,231.20%,0.68%,415.49%,0.05%,0.56%,116.28%,201.00%,-,-,0.25%,-,0.02%,0.51%,0.19%,84.55%,84.55%
29,Buyback Yield / Dilution,-0.69%,-2.33%,-0.01%,-0.05%,-0.41%,1.22%,-0.70%,-0.42%,-40.93%,-34.12%,-27.83%,-35.36%,4.34%,1.28%,-3.57%,1.94%,-,-,-,-
30,Total Shareholder Return,0.95%,-2.33%,-0.01%,-0.05%,3.12%,1.22%,2.17%,-0.42%,-37.81%,-34.12%,-25.75%,-35.36%,5.07%,1.28%,-3.57%,1.94%,-,-,-,-
