,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,253.71,370.2,172.6,335.33,272.95,344.84,417.95,338.02,173.63,304.56,479.71,164.51,177.26,-,-,151,50.17,50.17
1,Trading Asset Securities,53.1,40.21,96.34,-,90.34,10.05,100.05,10.01,150.19,100,60,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,306.81,410.41,268.94,335.33,363.29,354.89,518,348.03,323.82,404.56,539.71,164.51,177.26,-,151,151,50.17,50.17
3,Cash Growth,-15.55%,15.64%,-48.08%,-3.65%,12.19%,-12.28%,-4.02%,111.55%,82.67%,-,257.42%,8.95%,253.35%,-,-,-,-,-
4,Accounts Receivable,1512,1582,1468,1384,1330,1185,1095,944.07,948,866.33,811.68,744.11,656.8,-,-,672.65,169.31,169.31
5,Other Receivables,75.27,77.89,126.95,68.18,56.06,60.13,55.62,25.61,22.44,32.84,45.5,51.6,44.39,-,-,51.98,14.57,14.57
6,Receivables,1587,1660,1595,1452,1386,1245,1151,969.68,970.44,899.18,857.17,795.71,701.19,-,-,724.63,183.88,183.88
7,Inventory,380.06,308.94,334.69,249.67,264.77,216.7,222.1,171.36,154.32,150.79,162.3,120.31,130.27,-,-,96.76,84.12,84.12
8,Other Current Assets,93.75,97.79,111.71,71.33,63.81,38.6,49.17,42.22,33.59,16.37,31.82,11.44,27.69,-,-,14.21,13.2,13.2
