,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Operating Revenue,940.79,706.58,735.78,686.46,701.33,562.93,440.33,440.37,442.81,407.23,358.72,385.15,381.45,349.3,318.96,337.29,213.96,213.96
1,Other Revenue,-132.3,132.3,-,173.15,-57.03,57.03,-,60.21,-21.84,21.84,-,42.59,-27.96,27.96,-,26.97,-,-
2,Revenue,808.48,838.88,735.78,859.61,644.31,619.96,440.33,500.58,420.98,429.06,358.72,427.74,353.49,377.26,318.96,364.26,213.96,213.96
3,Revenue Growth (YoY),25.48%,35.31%,67.10%,71.72%,53.05%,44.49%,22.75%,17.03%,19.09%,13.73%,12.46%,17.43%,65.21%,76.32%,-,-,-,-
4,Cost of Revenue,627.47,665.84,575.2,698.03,492.86,486.24,314.81,400.13,305.37,335.35,257.55,322.37,257.86,284.57,224.74,271.66,157.2,157.2
5,Gross Profit,181.02,173.04,160.58,161.57,151.45,133.72,125.52,100.45,115.61,93.71,101.17,105.37,95.63,92.69,94.22,92.6,56.76,56.76
6,"Selling, General & Admin",104.71,81.9,80.3,84.52,75.08,64.27,61.7,52.03,55.38,40.3,42.51,42.83,37.01,31.44,40.08,40.31,28.67,28.67
7,Research & Development,21.15,35.36,20.27,25.1,17.78,22.63,17.78,12.81,12.21,15.27,15.4,16.55,12.5,14.35,10.64,13.1,-,-
8,Other Operating Expenses,1.19,2.41,0.18,-4.4,2.01,2.18,1.52,11.75,0.28,0.03,-0.18,12.36,-0.02,-2.42,1.29,2.42,1.88,1.88
9,Operating Expenses,121.89,120.83,102.93,108.78,99.2,93.78,87.39,79.58,71.38,54.42,58.73,75.61,50.78,43.26,53.29,54.82,30.55,30.55
10,Operating Income,59.12,52.21,57.65,52.8,52.25,39.94,38.13,20.88,44.23,39.29,42.45,29.76,44.85,49.43,40.93,37.78,26.21,26.21
11,Interest Expense,-5.67,-8.91,-8.58,-6.24,-4.09,-4.95,-3.05,-2.43,-1.59,-1.8,-2.02,-2.19,-2.49,-3.21,-1.57,-1.41,-1.24,-1.24
12,Interest & Investment Income,0.93,2.34,2.92,2.49,0.8,2.47,1.54,2.21,1.71,2.33,2.01,0.18,0.32,0.43,0.32,0.26,0.07,0.07
13,Currency Exchange Gain (Loss),5.42,-5.42,-,7.99,-8.29,8.29,-,8.81,-3.35,3.35,-,-2.27,0.83,-0.83,-,0.41,0.28,0.28
14,Other Non Operating Income (Expenses),-6.89,0.42,-6.28,-14.5,3.85,-1.57,-0.1,-10.99,10.68,-3.55,-1.34,1.67,-5.73,-4.49,-1.83,-2.37,-1.08,-1.08
15,EBT Excluding Unusual Items,52.91,40.65,45.7,42.53,44.52,44.17,36.53,18.49,51.69,39.61,41.09,27.15,37.78,41.34,37.85,34.67,24.24,24.24
16,Impairment of Goodwill,0.71,-0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.79,-1.46,-0.17,-0.66,-1.92,-0.65,-0.15,-1.19,-0.29,-0,0.38,-0.13,0,-0.23,-0.44,-1.52,-0.32,-0.32
18,Asset Writedown,-13.33,5.41,-5.53,6.5,-6.2,-0.07,-2.53,4.22,-4.22,1.59,-1.59,4.46,-4.46,1.62,-1.62,5.79,-0.9,-0.9
19,Other Unusual Items,1.82,-1.82,-,-2.38,2,-2,-,17.56,-0.87,0.87,-,12.39,-1.98,1.98,-,-2.62,1.2,1.2
20,Pretax Income,42.89,42.07,40,45.98,38.4,41.44,33.85,39.08,46.31,42.07,39.88,43.88,31.34,44.7,35.8,36.33,24.22,24.22
21,Income Tax Expense,12.07,7.03,4.86,12.23,4.51,2.94,4.69,2.26,6.94,4.58,4.56,3.87,3.5,4.42,4.22,7.09,3.39,3.39
22,Earnings From Continuing Operations,30.81,35.04,35.14,33.75,33.89,38.5,29.16,36.82,39.37,37.49,35.32,40,27.84,40.28,31.58,29.23,20.83,20.83
23,Minority Interest in Earnings,2.81,3.89,-0.62,0.58,1.16,-1.28,-0.29,-1.17,1.17,0.24,0.08,0.17,0.32,-0.25,-0.12,0.31,-0.11,-0.11
24,Net Income,33.63,38.93,34.52,34.33,35.05,37.22,28.87,35.65,40.54,37.73,35.4,40.17,28.16,40.04,31.46,29.55,20.72,20.72
25,Net Income to Common,33.63,38.93,34.52,34.33,35.05,37.22,28.87,35.65,40.54,37.73,35.4,40.17,28.16,40.04,31.46,29.55,20.72,20.72
26,Net Income Growth,-4.06%,4.57%,19.57%,-3.69%,-13.55%,-1.34%,-18.44%,-11.25%,43.97%,-5.76%,12.50%,35.95%,35.89%,93.21%,-,-,-,-
27,Shares Outstanding (Basic),84,83,84,84,83,83,82,86,79,84,75,62,63,63,62,63,60,60
28,Shares Outstanding (Diluted),84,85,84,88,83,87,85,86,83,84,75,62,63,63,62,63,60,60
29,Shares Change (YoY),0.73%,-2.44%,-0.85%,2.12%,0.72%,3.71%,12.75%,39.55%,32.57%,33.53%,22.08%,-1.70%,4.20%,4.43%,-,-,-,-
30,EPS (Basic),0.40,0.47,0.41,0.41,0.42,0.45,0.35,0.41,0.51,0.45,0.47,0.65,0.45,0.64,0.51,0.47,0.35,0.35
31,EPS (Diluted),0.40,0.46,0.41,0.39,0.42,0.43,0.34,0.41,0.49,0.45,0.47,0.65,0.45,0.64,0.51,0.47,0.35,0.35
32,EPS Growth,-4.75%,7.18%,20.59%,-5.69%,-14.17%,-4.87%,-27.66%,-36.41%,8.60%,-29.42%,-7.84%,38.30%,30.42%,85.00%,-,-,-,-
33,Free Cash Flow,182.49,-106.69,-257.73,66.97,-68.76,-46.6,-219.31,40.82,-82.64,-46.1,-182.76,-16.1,32.53,-14.08,-95.38,8.66,-15.73,-15.73
34,Free Cash Flow Per Share,2.17,-1.26,-3.06,0.76,-0.82,-0.54,-2.58,0.47,-1.00,-0.55,-2.43,-0.26,0.52,-0.22,-1.55,0.14,-0.26,-0.26
35,Dividend Per Share,-,-,-,-,-,-,-,0.350,-,-,-,0.510,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-31.37%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,22.39%,20.63%,21.82%,18.80%,23.51%,21.57%,28.51%,20.07%,27.46%,21.84%,28.20%,24.63%,27.05%,24.57%,29.54%,25.42%,26.53%,26.53%
38,Operating Margin,7.31%,6.22%,7.84%,6.14%,8.11%,6.44%,8.66%,4.17%,10.51%,9.16%,11.83%,6.96%,12.69%,13.10%,12.83%,10.37%,12.25%,12.25%
39,Profit Margin,4.16%,4.64%,4.69%,3.99%,5.44%,6.00%,6.56%,7.12%,9.63%,8.79%,9.87%,9.39%,7.97%,10.61%,9.86%,8.11%,9.69%,9.69%
40,Free Cash Flow Margin,22.57%,-12.72%,-35.03%,7.79%,-10.67%,-7.52%,-49.81%,8.15%,-19.63%,-10.74%,-50.95%,-3.76%,9.20%,-3.73%,-29.90%,2.38%,-7.35%,-7.35%
41,EBITDA,74.97,72.01,73.5,68.64,64.41,53.8,50.29,33.03,54.87,50.15,53.08,40.3,55.4,59.78,50.31,47.89,30.92,30.92
42,EBITDA Margin,9.27%,8.58%,9.99%,7.99%,10.00%,8.68%,11.42%,6.60%,13.03%,11.69%,14.80%,9.42%,15.67%,15.85%,15.77%,13.15%,14.45%,14.45%
43,D&A For EBITDA,15.85,19.8,15.85,15.85,12.16,13.87,12.16,12.16,10.64,10.85,10.64,10.54,10.55,10.35,9.38,10.12,4.7,4.7
44,EBIT,59.12,52.21,57.65,52.8,52.25,39.94,38.13,20.88,44.23,39.29,42.45,29.76,44.85,49.43,40.93,37.78,26.21,26.21
45,EBIT Margin,7.31%,6.22%,7.84%,6.14%,8.11%,6.44%,8.66%,4.17%,10.51%,9.16%,11.83%,6.96%,12.69%,13.10%,12.83%,10.37%,12.25%,12.25%
46,Effective Tax Rate,28.15%,16.72%,12.15%,26.60%,11.75%,7.10%,13.85%,5.79%,14.99%,10.88%,11.44%,8.83%,11.18%,9.89%,11.78%,19.53%,14.00%,14.00%
47,Revenue as Reported,808.48,838.88,735.78,859.61,644.31,619.96,440.33,500.58,420.98,429.06,358.72,427.74,353.49,377.26,318.96,364.26,-,-
