,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,3163,2275,2089,2237,2423,2317,2254,2458,2220,2308,2471,2547,-,-,-,-,-,-,-
1,Market Cap Growth,-1.81%,-1.81%,-7.32%,-8.98%,9.14%,0.39%,-8.80%,-3.51%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4275,3134,2931,2616,2802,2609,2425,2301,2063,2098,2156,2678,-,-,-,-,-,-,-
3,Last Close Price,38.01,27.34,25.04,26.82,29.05,27.78,26.36,28.35,25.61,26.63,29.36,29.73,-,-,-,-,-,-,-
4,PE Ratio,22.91,16.09,14.62,15.85,17.89,16.94,15.84,17.21,14.87,15.00,17.47,17.72,-,-,-,-,-,-,-
5,PS Ratio,0.98,0.70,0.68,0.78,0.94,1.05,1.14,1.37,1.30,1.41,1.57,1.68,-,-,-,-,-,-,-
6,PB Ratio,2.06,1.27,1.39,1.52,1.61,1.59,1.59,1.68,1.59,1.77,1.97,2.03,-,-,-,-,-,-,-
7,P/TBV Ratio,1.82,1.82,1.59,1.74,1.86,1.83,1.80,1.90,1.75,1.88,2.08,2.14,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-19.79,-,-,-9.05,-,-,-,-8.20,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,9.73,9.73,-,-,20.29,38.05,97.19,-,59.89,-,-53.10,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.32,0.97,0.95,0.91,1.09,1.18,1.22,1.28,1.21,1.28,1.37,1.77,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,13.25,10.84,10.52,10.05,11.82,12.95,12.63,12.22,10.79,10.57,10.84,12.84,-,-,-,-,-,-,-
12,EV/EBIT Ratio,19.28,14.13,13.64,12.91,15.30,17.26,16.94,16.14,14.05,13.47,13.79,16.09,-,-,-,-,-,-,-
