,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,4579,5114,6124,5316,7170,7178,8702,9029,-,5990,-
1,Trading Asset Securities,-,1173,1155,302.28,2003,700.55,1249,-,-,-,-,-
2,Cash & Short-Term Investments,5752,5752,6268,6426,7318,7870,8428,8702,9029,-,5990,6664
3,Cash Growth,-21.40%,-26.91%,-25.62%,-26.15%,-18.95%,-,40.70%,30.59%,-,-,-,-
4,Accounts Receivable,-,1497,1473,1739,1715,1742,1667,1488,1283,-,1208,-
5,Other Receivables,-,2.19,59.27,2.07,146.41,51.26,45.66,26.55,58.69,-,3.52,-
6,Receivables,-,1499,1533,1741,1861,1794,1713,1514,1342,-,1212,-
7,Inventory,-,1077,1014,935.61,848.47,1013,974.94,963.64,981.35,-,899.83,-
8,Other Current Assets,-,307.37,47.27,98.65,49.83,163.85,51.6,53.58,64.5,-,48.37,-
9,Total Current Assets,-,8635,8863,9202,10078,10841,11167,11233,11417,-,8150,-
10,"Property, Plant & Equipment",-,8729,8379,7817,7250,6423,6292,5950,5457,-,4475,-
11,Long-Term Investments,-,217.32,319.81,320.17,319.34,319.52,162.25,110.86,110.02,-,107.84,-
12,Other Intangible Assets,-,181.71,185.82,189.37,192.75,195.93,200.03,198.86,200.71,-,203.2,-
13,Long-Term Deferred Tax Assets,-,201.91,162.11,144.79,135.55,111.85,103.12,104.87,87.79,-,53.84,-
14,Long-Term Deferred Charges,-,0.26,0.35,0.42,0.18,0.25,0.32,0.4,0.5,-,0.72,-
15,Other Long-Term Assets,-,391.22,315.29,461.38,508.51,435.16,406.64,433.11,552.4,-,589.39,-
16,Total Assets,-,18357,18225,18134,18484,18327,18331,18031,17825,-,13579,-
17,Accounts Payable,-,1249,1131,954.09,608.32,1308,1274,1177,479.02,-,573.79,-
18,Accrued Expenses,-,82.3,116.16,80.05,142.45,117.65,166.9,88.35,125.77,-,73.14,-
19,Short-Term Debt,-,73.36,136.12,61.45,190.01,28.52,102.58,73.57,105.12,-,9.15,-
20,Current Portion of Long-Term Debt,-,217.46,244.42,224.59,117.84,-,95.25,-,0.59,-,-,-
21,Current Portion of Leases,-,-,0.67,-,0.65,-,-,-,-,-,-,-
22,Current Income Taxes Payable,-,8.15,0.01,12.26,5.44,37.3,18.89,39.9,2.43,-,17.86,-
23,Current Unearned Revenue,-,7.89,15.23,13.55,16,28.62,39.08,53.45,65.91,-,76.39,-
24,Other Current Liabilities,-,298.21,115,308.73,827.9,349.48,254.5,246.11,743.86,-,429.32,-
25,Total Current Liabilities,-,1937,1758,1655,1909,1869,1951,1678,1523,-,1180,-
26,Long-Term Debt,-,778.9,744.76,801.8,890.8,960.75,970.8,1096,1096,-,1177,-
27,Long-Term Leases,-,-,0.68,1.51,1.01,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,-,760.32,725.79,585.92,609.46,524.09,575.55,576.77,593.71,-,515.42,-
29,Long-Term Deferred Tax Liabilities,-,57.98,60.79,62.94,66.59,49.59,52.03,54.06,56.13,-,29.33,-
30,Other Long-Term Liabilities,-,0.52,0.52,0.52,0.52,4.94,0.52,20.63,31.84,-,56.72,-
31,Total Liabilities,-,3534,3291,3107,3477,3409,3550,3426,3301,-,2958,-
32,Common Stock,-,1199,1199,1199,1199,1199,1199,1199,1199,-,1019,-
33,Additional Paid-In Capital,-,12153,12154,12153,12152,12151,12093,12093,12093,-,8517,-
34,Retained Earnings,-,1338,1445,1533,1508,1404,1324,1145,1056,-,900.18,-
35,Comprehensive Income & Other,-,0.08,0,-0.08,0.01,0.15,0.18,0.05,0.16,-,0.12,-
36,Total Common Equity,14691,14691,14798,14885,14859,14754,14616,14438,14349,-,10436,10130
37,Minority Interest,-,131.73,135.97,142.41,148.31,163.81,164.48,167.85,175.25,-,185.37,-
38,Shareholders' Equity,14823,14823,14934,15027,15007,14918,14781,14605,14524,-,10621,10303
39,Total Liabilities & Equity,-,18357,18225,18134,18484,18327,18331,18031,17825,-,13579,-
