,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,717.34,400.98,278.46,309,532.62,468.86,541.3,513.92,408.8,608.28,555.12,573.35
1,Other Revenue,-,-29.25,29.25,-,70.21,-28.71,28.71,-,29.68,-27.66,27.66,-
2,Revenue,717.34,371.73,307.71,309,602.83,440.14,570.01,513.92,438.48,580.62,582.78,573.35
3,Revenue Growth (YoY),18.99%,-15.54%,-46.02%,-39.87%,37.48%,-24.19%,-2.19%,-10.37%,-,-,-,-
4,Cost of Revenue,-840.97,321.18,288.78,231.02,463.22,304.03,351.16,343.6,427.03,302.71,361.95,320.36
5,Gross Profit,1558,50.55,18.93,77.98,139.61,136.11,218.85,170.32,11.45,277.9,220.83,252.99
6,"Selling, General & Admin",-165.95,57.46,55.11,53.39,59.2,51.8,50.79,56.21,81.31,50.49,60.63,42.41
7,Research & Development,-232.78,119.46,56.16,57.16,119.18,82.24,37.76,56.8,51.5,42.88,31.35,47.37
8,Other Operating Expenses,2083,-37.83,-6.34,-1.35,129.21,-55.94,-52.28,-13.65,70.72,-12.13,-19.71,-11.93
9,Operating Expenses,1675,135.07,114.41,113.08,322.41,68.63,57.65,105.66,200.07,82.15,85.35,83.01
10,Operating Income,-116.38,-84.52,-95.48,-35.09,-182.8,67.48,161.19,64.66,-188.62,195.75,135.48,169.98
11,Interest Expense,-77.58,-5.17,-5.05,-5.62,-6.06,-6.08,-6.84,-6.95,-7.29,-11.94,-5.04,-3.75
12,Interest & Investment Income,15.83,22.45,25.63,29.5,34.86,45.85,40.82,44.5,32.71,31.5,41.69,35.72
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-2.48,2.48
14,Currency Exchange Gain (Loss),-,2.8,-2.8,-,-7.13,2.15,-2.15,-,-10.94,9.84,-9.84,-
15,Other Non Operating Income (Expenses),31.32,-8.73,1.78,-1.92,6.69,-9.41,2.49,-0.97,11.28,-11.18,4.97,-7.84
16,EBT Excluding Unusual Items,-146.82,-73.16,-75.93,-13.13,-154.43,100,195.5,101.23,-162.88,213.97,164.78,196.59
17,Gain (Loss) on Sale of Investments,-17.2,5.56,4.67,6.98,2.81,0.91,1.1,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-31.75,1.41,30.34,-,21.66,0.06,-0.12,-0.01,20.87,-,-,-0.41
19,Asset Writedown,90.07,-48.99,-41.08,-,26.04,-3.77,-9.15,-13.15,54.54,-55.26,9.7,-10.18
20,Other Unusual Items,-,-37.77,17.95,19.82,186.84,-12.69,12.69,-,95.8,-6.33,6.33,-
21,Pretax Income,-105.7,-152.95,-64.05,13.67,82.92,84.5,200.03,88.07,8.33,152.38,180.81,186
22,Income Tax Expense,-63.94,-41.79,-18.3,-4.61,-5.97,4.79,24.97,6.36,-6.66,21.56,18.19,30.06
23,Earnings From Continuing Operations,-41.76,-111.17,-45.75,18.27,88.88,79.71,175.06,81.71,14.99,130.83,162.62,155.94
24,Minority Interest in Earnings,-16.59,4.24,6.44,5.9,15.5,0.67,3.37,7.4,9.22,0.9,-7.24,-5.13
25,Net Income,-58.35,-106.92,-39.31,24.17,104.38,80.38,178.42,89.1,24.21,131.73,155.38,150.8
26,Net Income to Common,-58.35,-106.92,-39.31,24.17,104.38,80.38,178.42,89.1,24.21,131.73,155.38,150.8
27,Net Income Growth,-,-,-,-72.87%,331.09%,-38.98%,14.83%,-40.91%,-,-,-,-
28,Shares Outstanding (Basic),1149,635,1818,1209,1162,1167,1159,1273,1053,1014,1036,1005
29,Shares Outstanding (Diluted),1149,635,1818,1209,1162,1167,1159,1273,1053,1014,1036,1005
30,Shares Change (YoY),-1.10%,-45.59%,56.85%,-5.05%,10.39%,15.09%,11.91%,26.61%,-,-,-,-
31,EPS (Basic),-0.05,-0.17,-0.02,0.02,0.09,0.07,0.15,0.07,0.02,0.13,0.15,0.15
32,EPS (Diluted),-0.05,-0.17,-0.02,0.02,0.09,0.07,0.15,0.07,0.02,0.13,0.15,0.15
33,EPS Growth,-,-,-,-71.43%,290.53%,-46.98%,2.62%,-53.33%,-,-,-,-
34,Free Cash Flow,-,-350.75,-134.89,-949.64,-768.04,-571.99,-186.6,-440.02,-242.45,-352.4,-107.24,-652.36
35,Free Cash Flow Per Share,-,-0.55,-0.07,-0.79,-0.66,-0.49,-0.16,-0.35,-0.23,-0.35,-0.10,-0.65
36,Dividend Per Share,-,-,-,-,0.040,-,-,-,-,-,-,-
37,Gross Margin,217.24%,13.60%,6.15%,25.24%,23.16%,30.92%,38.39%,33.14%,2.61%,47.86%,37.89%,44.13%
38,Operating Margin,-16.22%,-22.74%,-31.03%,-11.36%,-30.32%,15.33%,28.28%,12.58%,-43.02%,33.71%,23.25%,29.65%
39,Profit Margin,-8.13%,-28.76%,-12.77%,7.82%,17.32%,18.26%,31.30%,17.34%,5.52%,22.69%,26.66%,26.30%
40,Free Cash Flow Margin,-,-94.36%,-43.84%,-307.33%,-127.41%,-129.96%,-32.74%,-85.62%,-55.29%,-60.69%,-18.40%,-113.78%
41,EBITDA,-29.88,1.98,5.04,51.41,-96.3,142.65,248.59,139.82,-113.46,257.6,206.35,231.83
42,EBITDA Margin,-4.17%,0.53%,1.64%,16.64%,-15.97%,32.41%,43.61%,27.21%,-25.88%,44.37%,35.41%,40.43%
43,D&A For EBITDA,86.5,86.5,100.52,86.5,86.5,75.16,87.4,75.16,75.16,61.84,70.87,61.84
44,EBIT,-116.38,-84.52,-95.48,-35.09,-182.8,67.48,161.19,64.66,-188.62,195.75,135.48,169.98
45,EBIT Margin,-16.22%,-22.74%,-31.03%,-11.36%,-30.32%,15.33%,28.28%,12.58%,-43.02%,33.71%,23.25%,29.65%
46,Effective Tax Rate,-,-,-,-,-,5.67%,12.48%,7.22%,-,14.15%,10.06%,16.16%
47,Revenue as Reported,-,371.73,307.71,309,602.83,440.14,570.01,513.92,438.48,580.62,582.78,573.35
