,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,25790,24118,20565,19402,18142,22159,23514,28515,26430,21735,-,-,-
1,Market Cap Growth,8.84%,8.84%,-12.54%,-31.96%,-31.36%,1.95%,-,-,-,-,-,-,-
2,Enterprise Value,21239,19567,15559,14207,11425,15442,16420,21151,21811,17116,-,-,-
3,Last Close Price,21.44,20.05,17.15,16.18,15.10,18.44,19.57,23.73,23.03,18.94,-,-,-
4,PE Ratio,-,-,-,-,46.84,48.99,63.19,67.34,66.00,47.03,-,-,-
5,Forward PE,36.97,37.65,35.36,36.98,38.79,48.95,53.73,-,-,-,-,-,-
6,PS Ratio,15.12,14.14,12.92,11.69,9.44,10.42,11.98,13.56,12.49,9.99,-,-,-
7,PB Ratio,1.75,1.63,1.39,1.30,1.21,1.48,1.58,1.93,1.81,1.50,-,-,-
8,P/TBV Ratio,1.66,1.66,1.42,1.33,1.23,1.51,1.62,1.98,1.86,1.54,-,-,-
9,P/OCF Ratio,-,-,33.01,45.22,-,55.02,-,53.53,-,27.29,-,-,-
10,EV/Sales Ratio,12.45,11.47,9.78,8.56,5.94,7.26,8.37,10.06,10.31,7.87,-,-,-
11,EV/EBITDA Ratio,1347.66,-,-410.83,138.20,32.99,-,39.32,39.72,44.49,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,156.82,90.78,105.24,-,-,-,-
13,Debt / Equity Ratio,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.08,0.08,0.08,-,0.11,0.11
14,Debt / EBITDA Ratio,73.68,-,135.27,52.12,5.30,-,1.73,1.18,2.09,-,-,1.44,1.21
15,Asset Turnover,-,0.08,0.07,0.07,0.13,0.10,0.13,0.11,-,-,-,-,
16,Inventory Turnover,-,-,1.23,1.18,1.04,1.99,1.22,1.45,1.41,-,-,-,-
17,Quick Ratio,-,-,3.74,4.44,4.94,4.81,5.17,5.20,6.09,6.81,-,6.10,-
18,Current Ratio,-,-,4.46,5.04,5.56,5.28,5.80,5.72,6.69,7.50,-,6.91,-
19,Return on Equity (ROE),-1.13%,-2.99%,-1.22%,0.49%,2.38%,2.15%,4.77%,2.24%,-,-,6.22%,-,
20,Return on Assets (ROA),-,-1.16%,-1.31%,-0.48%,-2.48%,0.92%,2.22%,0.90%,-,-,-,-,
21,Return on Capital (ROIC),-1.83%,-1.32%,-1.48%,-0.54%,-2.85%,1.06%,2.54%,1.03%,-,-,2.92%,-,
22,Return on Capital Employed (ROCE),-,-,-,-,-,-,0.64%,1.42%,1.27%,-,-,2.46%,-
23,Earnings Yield,-0.70%,-0.75%,-0.09%,0.87%,2.14%,2.04%,1.58%,1.49%,1.52%,2.13%,-,-,-
24,FCF Yield,-,-10.71%,-12.50%,-13.65%,-8.88%,-6.13%,-4.28%,-4.32%,-6.23%,-,-,-,
25,Dividend Yield,0.19%,-,-,-,-,0.22%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,-,-,22.48%,5.38%,7.71%,3.72%,7.47%,30.00%,9.00%,7.88%,7.97%
27,Buyback Yield / Dilution,-1.05%,1.10%,45.59%,-56.85%,5.05%,-10.39%,-15.09%,-11.91%,-26.61%,-,-,-,-
28,Total Shareholder Return,-0.86%,1.10%,45.59%,-56.85%,5.05%,-10.17%,-15.09%,-11.91%,-26.61%,-,-,-,-
