,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,397.92,152.07,142.7,223.34,489.82,110.07,98.35,105.55,-,-,-
1,Short-Term Investments,-,-,921.85,-,-,-,3.81,-,-,-,-,-
2,Cash & Short-Term Investments,397.92,397.92,1074,142.7,223.34,489.82,113.88,98.35,105.55,-,-,156.33
3,Cash Growth,78.17%,-18.76%,843.04%,45.10%,111.58%,-,-,-37.09%,-,-,-,-
4,Accounts Receivable,-,191.96,189.55,158.08,180.71,112.09,146.93,134.18,117.8,-,-,-
5,Other Receivables,-,1.2,24.21,41.48,1.61,24.35,13.47,13.3,1.61,-,-,-
6,Receivables,-,193.15,213.77,199.56,182.32,136.44,160.4,147.48,119.41,-,-,-
7,Inventory,-,156.94,154.32,160.66,155.47,154.57,139.97,137.7,148.49,-,-,-
8,Other Current Assets,-,692.95,26.64,967.42,958.92,755.92,7.49,9.84,25.06,-,-,-
9,Total Current Assets,-,1441,1469,1470,1520,1537,421.74,393.37,398.51,-,-,-
10,"Property, Plant & Equipment",-,52.98,49.87,37.98,37.7,38.77,40.64,43.5,29.75,-,-,-
11,Other Intangible Assets,-,21.87,22.06,22.09,22.27,22.26,22.38,22.54,22.71,-,-,-
12,Long-Term Deferred Tax Assets,-,5.55,5.01,4.62,4.61,3.85,2.71,2.4,2.41,-,-,-
13,Long-Term Deferred Charges,-,3.51,4.52,5.59,6.58,7.87,8.93,8.53,11.15,-,-,-
14,Other Long-Term Assets,-,0.22,-,1.91,0.04,0.64,0.74,0.03,7.46,-,-,-
15,Total Assets,-,1525,1550,1543,1591,1610,497.14,470.39,472,-,-,-
16,Accounts Payable,-,42.56,31.8,45.65,37.18,35.41,24.31,11.18,30,-,-,-
17,Accrued Expenses,-,11.68,9.99,6.35,14.31,10.46,8.86,6.64,13.58,-,-,-
18,Short-Term Debt,-,-,17.81,0.1,20.21,20.01,40.03,26.03,22.35,-,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,11.46,5.1,5.11,2.07,-,-,-
20,Current Portion of Leases,-,4.42,5.9,5.41,6.8,-,4.6,2.62,2.25,-,-,-
21,Current Income Taxes Payable,-,1.29,-,2.56,0.67,1.05,0.31,2.23,6.93,-,-,-
22,Current Unearned Revenue,-,0.85,0.3,0.12,0.12,0.02,0.04,0.08,0.03,-,-,-
23,Other Current Liabilities,-,4.27,22.24,3.08,6.13,7.75,5.66,5.72,7.26,-,-,-
24,Total Current Liabilities,-,65.07,88.03,63.26,85.41,86.16,88.92,59.62,84.47,-,-,-
25,Long-Term Debt,-,-,-,-,-,25.5,45.15,51.16,31.19,-,-,-
26,Long-Term Leases,-,2.04,2.21,2,1.73,5.2,6.92,8.62,11.06,-,-,-
27,Long-Term Unearned Revenue,-,5.45,3.43,4.81,5.18,3,0.3,-,-,-,-,-
28,Other Long-Term Liabilities,-,0.03,-,-,-,1.53,1.53,1.53,1.53,-,-,-
29,Total Liabilities,-,72.59,93.67,70.07,92.32,121.38,142.82,120.93,128.26,-,-,-
30,Common Stock,-,68,68,68,68,68,51,51,51,-,-,-
31,Additional Paid-In Capital,-,1322,1322,1322,1321,1321,202.31,201.82,198.84,-,-,-
32,Retained Earnings,-,112.32,112.15,118.82,109.65,99.91,101.01,96.63,93.9,-,-,-
33,Treasury Stock,-,-49.92,-45.48,-35.89,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1453,1453,1456,1472,1499,1489,354.32,349.45,343.74,-,-,271.58
35,Total Liabilities & Equity,-,1525,1550,1543,1591,1610,497.14,470.39,472,-,-,-
36,Total Debt,6.46,6.46,25.92,7.5,28.73,62.17,101.81,93.55,68.93,-,-,46.51
37,Net Cash (Debt),391.46,391.46,1048,135.2,194.61,427.65,12.07,4.81,36.63,-,-,109.82
38,Net Cash Growth,101.16%,-8.46%,8582.85%,2712.32%,431.29%,-,-,-95.62%,-,-,-,-
39,Net Cash Per Share,6.27,5.75,17.03,1.92,2.63,7.23,0.23,0.10,0.72,-,-,2.17
40,Filing Date Shares Outstanding,62.43,66.56,66.72,67,67,68,51,51,51,51.68,51.17,50.63
41,Total Common Shares Outstanding,66.56,66.56,66.72,67,68,68,51,51,51,51.68,51.17,50.63
42,Working Capital,-,1376,1381,1407,1435,1451,332.82,333.75,314.04,-,-,-
43,Book Value Per Share,21.82,21.82,21.83,21.98,22.04,21.89,6.95,6.85,6.74,-,-,5.48
44,Tangible Book Value,1431,1431,1434,1450,1477,1467,331.94,326.91,321.03,-,-,271.36
45,Tangible Book Value Per Share,21.49,21.49,21.50,21.65,21.72,21.57,6.51,6.41,6.29,-,-,5.48
46,Machinery,-,-,34.62,-,35.62,-,33.49,19.17,16.43,-,-,-
47,Construction In Progress,-,-,15.37,-,1.1,-,0.76,15.51,0.72,-,-,-
