,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,64.78,65.89,54.7,62.89,58.16,48.73,57.4,57.36,37.98,65.62,82.7,59.59
1,Other Revenue,-,-8.4,8.4,-,13.93,-4.33,4.33,-,16.78,-6.1,3.19,2.9
2,Revenue,64.78,57.49,63.1,62.89,72.09,44.41,61.72,57.36,54.76,59.52,85.89,62.49
3,Revenue Growth (YoY),-10.13%,29.47%,2.23%,9.64%,31.64%,-25.39%,-28.14%,-8.22%,-,-,-,-
4,Cost of Revenue,-108.27,29.14,40.95,38.18,54.94,22.55,41.75,33.94,40.27,30.21,44.74,33.88
5,Gross Profit,173.06,28.35,22.14,24.71,17.15,21.85,19.97,23.42,14.49,29.31,41.16,28.62
6,"Selling, General & Admin",-46.95,16.84,16.54,13.57,15.51,15.17,11.53,14.27,11.84,8.63,6.84,6.82
7,Research & Development,-33.21,11.28,13.58,8.35,8.13,8.03,7.33,6.16,3.76,6.13,6,6.47
8,Other Operating Expenses,242.24,-3.99,-1.55,-1.43,-3.01,-1.29,-3.01,-1.02,-1.05,-7.12,-5.65,-4.02
9,Operating Expenses,161.42,24.95,27.19,21.72,15.99,21.74,17.18,19.56,13,7.28,8.16,9.49
10,Operating Income,11.64,3.4,-5.04,2.99,1.17,0.12,2.79,3.86,1.5,22.04,33,19.12
11,Interest Expense,-20.54,-0.19,-0.18,-0.19,-0.31,-0.69,-0.81,-0.68,-0.07,-0.14,-0.26,-0.43
12,Interest & Investment Income,0.56,4.7,7.61,8.23,8.12,5.87,0.48,0.36,0.15,0.22,0.82,0.55
13,Currency Exchange Gain (Loss),-,-0.02,0.02,-,-0,-0.04,0.04,-,0.08,-0.03,0.03,-
14,Other Non Operating Income (Expenses),0.8,0.36,-0.62,-0.01,-1.73,0.1,-0.08,1.58,0.09,0.14,-0.19,-0.15
15,EBT Excluding Unusual Items,-7.55,8.25,1.79,11.02,7.25,5.36,2.41,5.12,1.74,22.24,33.4,19.1
16,Gain (Loss) on Sale of Investments,-0.62,0.62,-,-,-,-,-,-,0.03,0.13,-0.08,0.08
17,Gain (Loss) on Sale of Assets,0,-,-,-0,-1.07,-,0.02,0.12,-,0.18,-,-0
18,Asset Writedown,7.45,-7.44,1.15,-1.15,0.92,-7.61,2.35,-2.35,1.97,-3.38,-,-
19,Other Unusual Items,-0.83,-1.81,2.6,0.03,2.32,-0.06,0.06,-,3.91,-0,0,-
20,Pretax Income,-1.55,-0.37,5.54,9.9,9.42,-2.31,4.84,2.89,7.65,19.16,33.32,19.18
21,Income Tax Expense,-1.29,-0.54,-1.14,0.74,0.56,-1.21,-0.24,-0.03,0.61,2.04,4.21,1.96
22,Net Income,-0.26,0.17,6.68,9.17,8.85,-1.1,5.08,2.92,7.04,17.12,29.11,17.22
23,Net Income to Common,-0.26,0.17,6.68,9.17,8.85,-1.1,5.08,2.92,7.04,17.12,29.11,17.22
24,Net Income Growth,-,-,31.38%,213.95%,25.72%,-,-82.53%,-83.04%,-,-,-,-
25,Shares Outstanding (Basic),62,68,62,71,74,59,51,49,51,52,51,51
