,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2602,2310,2327,2253,2509,3531,3737,-,-,-,-,-,-
1,Market Cap Growth,-34.58%,-34.58%,-37.73%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2211,1918,1279,2118,2082,3103,3725,-,-,-,-,-,-
3,Last Close Price,39.09,34.70,34.88,33.42,36.67,51.60,54.62,-,-,-,-,-,-
4,PE Ratio,162.88,-,93.59,95.50,114.06,224.14,-,-,-,-,-,-,-
5,PS Ratio,10.34,9.30,9.11,9.29,10.41,14.99,17.12,-,-,-,-,-,-
6,PB Ratio,1.79,1.59,1.60,1.55,1.70,2.36,2.51,-,-,-,-,-,-
7,P/TBV Ratio,1.61,1.61,1.63,1.57,1.73,2.39,2.55,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-69.45,-43.46,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-123.23,-57.06,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.90,7.73,5.01,8.73,8.63,13.17,17.07,-,-,-,-,-,-
11,EV/EBITDA Ratio,131.17,112.51,194.41,-,196.03,275.87,337.62,-,-,-,-,-,-
12,EV/EBIT Ratio,170.13,147.64,506.93,-,294.72,391.19,451.04,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-38.18,-40.85,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.02,0.01,0.02,0.04,0.29,0.27,0.20,-,-,0.17
15,Debt / EBITDA Ratio,0.38,0.13,0.37,-,0.47,0.81,16.73,3.62,5.10,4.33,-,-,0.59
16,Debt / FCF Ratio,-,-,-0.19,-0.50,-,-,-,-4.13,-,-1.21,-,-,-
17,Asset Turnover,-,0.15,0.16,0.16,0.18,0.17,0.51,0.49,-,-,-,-,
18,Inventory Turnover,-,-,0.75,1.04,0.97,1.42,0.61,1.20,0.95,-,-,-,-
19,Quick Ratio,-,-,9.08,14.63,5.41,4.75,7.27,3.08,4.12,2.66,-,-,-
20,Current Ratio,-,-,22.14,16.68,23.24,17.80,17.84,4.74,6.60,4.72,-,-,-
21,Return on Equity (ROE),-0.07%,0.05%,1.82%,2.47%,2.37%,-0.48%,5.78%,3.37%,-,-,-,-,
22,Return on Assets (ROA),-,0.55%,-0.81%,0.48%,0.18%,0.03%,1.44%,2.05%,-,-,-,-,
23,Return on Capital (ROIC),1.99%,0.58%,-0.85%,0.50%,0.19%,0.03%,1.55%,2.26%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,0.17%,-,0.48%,0.53%,0.54%,7.39%,14.70%,19.52%,-,-,-
25,Earnings Yield,0.61%,0.68%,1.07%,1.05%,0.88%,0.45%,0.37%,-,-,-,-,-,-
26,FCF Yield,-,-1.44%,-2.30%,-2.00%,-1.73%,-0.39%,-,-,-,-,-,-,
27,Dividend Yield,0.49%,-,-,-,-,0.39%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,8009.61%,1.11%,1.11%,-,-,16.10%,22.29%,4.69%,0.77%,0.91%,2.33%
29,Buyback Yield / Dilution,-12.54%,15.79%,-15.15%,-19.77%,-44.90%,-45.90%,-14.50%,-0.40%,3.89%,-,-,-,-
30,Total Shareholder Return,-12.05%,15.79%,-15.15%,-19.77%,-44.90%,-45.51%,-14.50%,-0.40%,3.89%,-,-,-,-
