,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Market Capitalization,2802143,3138871,3506211,2966975,2545476,2368870,2642020,1984952,1769246,1927583,2246552,1655483,1630125,2450018,2446395,2553000,1585850,1193700,860200,746350,805000,Upgrade
1,Market Cap Growth,32.50%,32.50%,32.71%,49.47%,43.87%,22.89%,17.60%,19.90%,8.53%,-21.32%,-8.17%,-35.16%,2.79%,105.25%,184.40%,242.06%,97.00%,38.40%,-4.83%,-26.25%,-18.13%,Upgrade
2,Enterprise Value,5284755,5639928,5728189,5268152,4793744,4529515,4527399,3487457,2921841,2960206,3944299,2999290,3072830,3672185,3330837,3419415,2426076,1972439,1690437,1481480,1623666,Upgrade
3,Last Close Price,119000.00,133300.00,146398.32,121549.17,104281.47,97046.40,105681.48,79206.36,70598.96,76917.16,87415.14,120126.17,118286.17,134462.97,134264.16,145521.51,90393.77,68041.14,47832.17,40060.42,43208.47,Upgrade
4,PE Ratio,4.59,5.20,5.62,4.97,4.36,3.96,4.71,3.68,3.64,4.35,5.27,3.97,4.09,6.80,6.30,6.88,4.72,6.94,5.16,5.03,-,Upgrade
5,PS Ratio,0.29,0.33,0.36,0.33,0.31,0.31,0.36,0.27,0.26,0.30,0.36,0.28,0.29,0.46,0.44,0.48,0.32,0.26,0.19,0.17,0.19,Upgrade
6,PB Ratio,0.90,1.01,1.13,0.94,0.86,0.85,0.96,0.71,0.67,0.80,0.93,1.11,1.19,2.04,2.11,2.14,1.47,1.26,0.95,0.82,0.96,Upgrade
7,P/TBV Ratio,1.03,1.03,1.16,0.96,0.88,0.88,0.99,0.73,0.69,0.82,0.96,1.16,1.25,2.16,2.24,2.26,1.56,1.33,1.01,0.87,1.03,Upgrade
8,P/FCF Ratio,-,-29.95,-,-17.72,-,-,-,-,-,-,-,-,-3.59,-,-,-,-19.76,-,4.42,-,-77.01,Upgrade
