,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,1328853,2119367,2830857,3374777,1281158,1524969,2135419,2805864,975414,1345951,1782008,2258649,774930,1143281,1532207,1862772,1023517,929094,1107064,1551913,Upgrade
1,Revenue Growth (YoY),3.72%,38.98%,32.57%,20.28%,31.35%,13.30%,19.83%,24.23%,25.87%,17.73%,16.30%,21.25%,-24.29%,23.05%,38.40%,20.03%,13.75%,16.83%,9.74%,13.25%,Upgrade
2,Cost of Revenue,944459,1682056,2259684,2697194,966525,1099579,1547757,2164928,654459,992822,1262346,1587519,520935,842229,1076686,1358776,686593,615612,753560,1038100,Upgrade
3,Gross Profit,384394,437312,571173,677583,314633,425390,587662,640936,320955,353128,519661,671130,253995,301052,455521,503996,336925,313482,353504,513813,Upgrade
4,"Selling, General & Admin",259559,279929,347997,445062,191371,280488,368060,358803,218401,222907,343650,448989,188312,188646,304655,322726,234884,220317,243029,339424,Upgrade
5,Operating Expenses,259559,279929,347997,445062,191371,280488,368060,358803,218401,222907,343650,448989,188312,188646,304655,322726,234884,220317,243029,339424,Upgrade
6,Operating Income,124835,157383,223177,232521,123262,144902,219602,282133,102554,130221,176011,222142,65683,112407,150866,181270,102041,93164,110475,174389,Upgrade
7,Interest Expense,-20834,-,-19821,-25959,-23275,-,-28522,-21373,-15898,-17468,-14637,-17474,-14806,-13330,-11281,-14431,-14383,-19383,-16930,-21976,Upgrade
8,Interest & Investment Income,2323,-,365.08,2207,3325,-,3355,8341,1821,-,1628,-,2706,-,1445,-,550.98,-,4221,-,Upgrade
9,Currency Exchange Gain (Loss),-,-,4009,-1584,-,-,-,-24218,-,470.96,-,1892,-,1374,-,3025,-,492.41,-,3066,Upgrade
10,Other Non Operating Income (Expenses),-24218,-13779,0.02,162.35,-890.79,-28577,-2141,16510,-14093,-1324,-248.44,860.74,-204.39,240.35,-1523,-7911,-283.34,2731,-2598,11482,Upgrade
11,EBT Excluding Unusual Items,82106,143604,207729,207347,102422,116325,192295,261394,74384,111900,162753,207421,53379,100691,139506,161952,87926,77005,95167,166962,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-162.35,-,-,-,-1702,-,-,-,52.58,-,-,-,-703.75,-,-703.75,-,-827.81,Upgrade
13,Other Unusual Items,-,-,-,-,-,-,-,113.9,-,-,-,571.5,-,-,-,-,-,3245,-,-359278,Upgrade
14,Pretax Income,82106,143604,207729,207185,102422,116325,192295,259807,74384,111900,162753,208045,53379,100691,139506,161249,87926,79547,95167,-43144,Upgrade
15,Income Tax Expense,5492,6334,13067,12664,5535,5948,9808,50860,15257,22679,34220,41915,11208,20738,29519,32840,18240,16639,20086,-7465,Upgrade
16,Net Income,76614,137270,194662,194521,96887,110378,182486,208947,59127,89221,128533,166130,42171,79953,109988,128408,69685,62908,75081,-35679,Upgrade
17,Net Income to Common,76614,137270,194662,194521,96887,110378,182486,208947,59127,89221,128533,166130,42171,79953,109988,128408,69685,62908,75081,-35679,Upgrade
18,Net Income Growth,-20.92%,24.36%,6.67%,-6.90%,63.86%,23.71%,41.98%,25.77%,40.21%,11.59%,16.86%,29.38%,-39.48%,27.10%,46.49%,-,8.10%,41.54%,44.56%,-,Upgrade
19,Shares Outstanding (Basic),24,24,24,24,24,24,23,23,23,18,12,12,12,12,12,11,11,11,12,11,Upgrade
20,Shares Outstanding (Diluted),24,24,24,24,24,24,23,23,23,18,12,12,12,12,12,11,11,11,12,11,Upgrade
21,Shares Change (YoY),-0.00%,-0.02%,2.61%,2.61%,2.62%,31.75%,90.06%,90.04%,89.99%,53.55%,-0.00%,5.00%,5.01%,1.22%,5.00%,0.00%,0.00%,-0.00%,0.00%,-0.00%,Upgrade
22,EPS (Basic),3254.00,5830.00,8267.00,8261.00,4115.00,4687.00,7952.00,9105.62,2577.00,4991.62,10645.00,13758.18,3492.00,6868.45,9108.71,11165.95,6059.59,5470.23,6528.78,-3102.55,Upgrade
23,EPS (Diluted),3254.00,5830.00,8267.00,8261.00,4115.00,4687.00,7952.00,9105.62,2577.00,4991.62,10645.00,13758.18,3492.00,6868.45,9108.71,11165.95,6059.59,5470.22,6528.78,-3102.93,Upgrade
24,EPS Growth,-20.92%,24.39%,3.96%,-9.28%,59.68%,-6.10%,-25.30%,-33.82%,-26.20%,-27.33%,16.87%,23.22%,-42.37%,25.56%,39.52%,-,8.10%,41.54%,44.56%,-,Upgrade
25,Free Cash Flow,74433,-225770,74515,-27990,-60938,-152983,-453046,-367282,-67014,-255223,-354219,93134,-214067,-314965,-18448,19541,-81817,81552,-99524,84747,Upgrade
26,Free Cash Flow Per Share,3161.37,-9588.64,3164.56,-1188.69,-2588.16,-6496.18,-19741.89,-16005.66,-2920.76,-14278.95,-29335.99,7712.99,-17725.78,-27057.61,-1527.79,1699.18,-7114.56,7091.51,-8654.23,7369.28,Upgrade
27,Dividend Per Share,-,2500.000,-,2500.000,-,2500.000,-,2500.000,-,2500.000,-,2500.000,-,2500.000,-,2500.000,-,2500.000,-,2500.000,Upgrade
28,Gross Margin,28.93%,20.63%,20.18%,20.08%,24.56%,27.89%,27.52%,22.84%,32.90%,26.24%,29.16%,29.71%,32.78%,26.33%,29.73%,27.06%,32.92%,33.74%,31.93%,33.11%,Upgrade
29,Operating Margin,9.39%,7.43%,7.88%,6.89%,9.62%,9.50%,10.28%,10.06%,10.51%,9.68%,9.88%,9.84%,8.48%,9.83%,9.85%,9.73%,9.97%,10.03%,9.98%,11.24%,Upgrade
30,Profit Margin,5.77%,6.48%,6.88%,5.76%,7.56%,7.24%,8.55%,7.45%,6.06%,6.63%,7.21%,7.36%,5.44%,6.99%,7.18%,6.89%,6.81%,6.77%,6.78%,-2.30%,Upgrade
31,Free Cash Flow Margin,5.60%,-10.65%,2.63%,-0.83%,-4.76%,-10.03%,-21.22%,-13.09%,-6.87%,-18.96%,-19.88%,4.12%,-27.62%,-27.55%,-1.20%,1.05%,-7.99%,8.78%,-8.99%,5.46%,Upgrade
32,EBITDA,159112,176533,246825,244594,149149,165595,244692,306097,126737,154623,200811,229139,108701,137173,173092,206372,122198,122256,125313,196408,Upgrade
33,EBITDA Margin,11.97%,8.33%,8.72%,7.25%,11.64%,10.86%,11.46%,10.91%,12.99%,11.49%,11.27%,10.14%,14.03%,12.00%,11.30%,11.08%,11.94%,13.16%,11.32%,12.66%,Upgrade
34,D&A For EBITDA,34277,19150,23648,12074,25887,20693,25091,23963,24183,24403,24800,6998,43017,24766,22225,25101,20157,29091,14838,22019,Upgrade
35,EBIT,124835,157383,223177,232521,123262,144902,219602,282133,102554,130221,176011,222142,65683,112407,150866,181270,102041,93164,110475,174389,Upgrade
36,EBIT Margin,9.39%,7.43%,7.88%,6.89%,9.62%,9.50%,10.28%,10.06%,10.51%,9.68%,9.88%,9.84%,8.48%,9.83%,9.85%,9.73%,9.97%,10.03%,9.98%,11.24%,Upgrade
37,Effective Tax Rate,6.69%,4.41%,6.29%,6.11%,5.40%,5.11%,5.10%,19.58%,20.51%,20.27%,21.03%,20.15%,21.00%,20.60%,21.16%,20.37%,20.75%,20.92%,21.11%,-,Upgrade
38,Revenue as Reported,1328853,2119367,2830857,3374777,1281158,1524969,2135419,2805864,975414,1345951,1782008,2258649,774930,1143281,1532207,1862772,1023517,929094,1107064,1551913,Upgrade
