,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q2 2018,Q1 2018
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,571.12,573.27,555.45,623.64,582.41,570.91,657.37,325.86,332.86,484.89,216.72,219.67,538.45,-,-,-,80.68,80.68
1,Trading Asset Securities,200.51,180.51,230.34,180.4,200.73,300.04,301.08,253.7,301.6,151.25,301.22,301.25,15.09,-,-,-,-,-
2,Cash & Short-Term Investments,771.63,753.78,785.8,804.03,783.14,870.95,958.46,579.56,634.46,636.15,517.94,520.92,553.54,-,-,111.55,80.68,80.68
3,Cash Growth,-1.47%,-13.45%,-18.01%,38.73%,23.43%,36.91%,85.05%,11.26%,14.62%,-,-,366.98%,586.07%,-,-,-,-,-
4,Accounts Receivable,177.33,172.96,164.84,197.78,201.48,189.79,183.7,189.65,172.95,174.02,226.14,192.84,151.45,-,-,-,109.77,109.77
5,Other Receivables,4.36,4.6,4.51,6.53,4.12,2.96,3.99,3.09,4.48,3.78,1.56,2.52,1.9,-,-,-,0.47,0.47
6,Receivables,181.68,177.56,169.35,204.31,205.6,192.75,187.69,192.74,177.43,177.8,227.7,195.36,153.35,-,-,-,110.24,110.24
7,Inventory,105.95,95.55,93.71,78.94,89.5,95.89,103.81,119.84,128.93,121.56,90.79,82.11,73.36,-,-,-,56.08,56.08
8,Other Current Assets,3.9,6.39,3.21,3.25,1.87,4.73,4.3,5.97,7.61,9.98,7.77,4.96,5.77,-,-,-,1.77,1.77
9,Total Current Assets,1063,1033,1052,1091,1080,1164,1254,898.11,948.43,945.48,844.21,803.36,786.01,-,-,-,248.78,248.78
10,"Property, Plant & Equipment",349.66,333.99,316.85,265.48,248.03,204.05,146.55,102.4,92.44,91.59,79.76,77.94,77.23,-,-,-,88.68,88.68
11,Long-Term Investments,26,26,26,26,26,26,12,12,12,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,26.95,26.92,27.21,27.18,27.46,27.41,27.75,28.06,28.39,17.1,17.44,17.7,17.97,-,-,-,17.37,17.37
13,Long-Term Deferred Tax Assets,11.15,10.14,8.84,7.07,5.89,5.22,4.31,10.33,7.53,5.53,4.99,4.71,3.93,-,-,-,1.81,1.81
14,Long-Term Deferred Charges,3.72,2.49,1.41,1.56,1.26,1.11,1.17,1.17,1.06,0.97,0.38,0.44,0.65,-,-,-,-,-
15,Other Long-Term Assets,102.89,100.08,98.93,94.5,94.15,61.62,61.87,84.21,8.11,7.08,5.87,5.4,5.44,-,-,-,3.61,3.61
16,Total Assets,1584,1533,1531,1512,1483,1490,1508,1136,1098,1068,952.64,909.55,891.24,-,-,-,360.26,360.26
17,Accounts Payable,75.24,62.99,82.26,96.76,99.56,113.44,135.13,117.89,140.09,151.08,91.52,91.02,84.54,-,-,-,37.38,37.38
18,Accrued Expenses,15.14,9.21,19.59,15.51,14.03,9.09,27.92,23.47,21.11,12.57,16.65,11.94,6.69,-,-,-,8.68,8.68
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.6,29.6
20,Current Portion of Leases,-,5.45,5.51,6.4,2.45,-,2.44,2.46,2.37,1.19,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,-,6.48,3.49,6.34,5.9,7.21,8.97,12.76,9.29,7.58,8.57,5.31,3.91,-,-,-,3.3,3.3
22,Current Unearned Revenue,3.87,2.83,0.75,0.77,0.74,1.02,0.74,0.76,0.73,0.7,0.71,1.43,0.77,-,-,-,-,-
23,Other Current Liabilities,31.97,1.24,1.99,1.07,8.55,6.17,6.55,17.47,7.93,3.15,2.89,2.56,4.42,-,-,-,2.24,2.24
24,Total Current Liabilities,126.22,88.22,113.59,126.85,131.23,136.91,181.74,174.81,181.52,176.26,120.35,112.26,100.33,-,-,-,81.19,81.19
25,Long-Term Debt,253.93,248.48,243.04,239.46,234.14,229.1,224.11,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,20.91,22.21,24.28,13.41,6.59,7.23,7.96,4.88,5.48,3.77,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,10.52,10.82,10.88,9.73,9.08,10.14,10.47,-,-,-,-,-,-,-,-,-,-,-
28,Total Liabilities,411.59,369.73,391.8,389.44,381.04,383.39,424.28,179.69,187.01,180.03,120.35,112.26,100.33,-,-,-,81.19,81.19
29,Common Stock,81.26,80,80,80,80,80,80,80,80,80,80,80,80,-,-,-,60,60
30,Additional Paid-In Capital,518.57,493.66,493.63,493.63,493.6,493.6,493.6,493.6,493.6,493.6,493.6,493.6,515.83,-,-,-,141.01,141.01
31,Retained Earnings,499.42,491.99,468.36,451.82,430.69,435.13,412.24,381.84,336.44,313.35,257.69,222.77,194.14,-,-,-,77.01,77.01
32,Treasury Stock,-24.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,96.49,96.46,96.58,96.5,96.61,96.62,96.8,0.2,-0.06,-0.25,-,-,-,-,-,-,-,-
34,Total Common Equity,1171,1162,1139,1122,1101,1105,1083,955.64,909.97,886.69,831.29,796.37,789.97,-,-,345.11,278.02,278.02
35,Minority Interest,1.08,1.04,0.94,0.94,0.97,1,0.98,0.96,0.97,1.03,1,0.93,0.94,-,-,-,1.04,1.04
36,Shareholders' Equity,1172,1163,1140,1123,1102,1106,1084,956.6,910.94,887.73,832.29,797.29,790.91,-,-,346.03,279.06,279.06
37,Total Liabilities & Equity,1584,1533,1531,1512,1483,1490,1508,1136,1098,1068,952.64,909.55,891.24,-,-,-,360.26,360.26
