,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q2 2018,Q1 2018
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Operating Revenue,128.43,114.47,91.62,124.34,126.07,117.47,158.33,171.54,154.28,132.95,146.76,140.36,91.64,101.47,104.49,67.99,75.5,75.5
1,Other Revenue,-,-,1.48,-0.78,0.78,-,2.25,-0.97,0.97,-,-0.84,0.84,-,-0.53,0.53,-,0.31,0.31
2,Revenue,128.43,114.47,93.1,123.56,126.85,117.47,160.58,170.58,155.25,132.95,145.92,141.21,91.64,100.94,105.02,67.99,75.8,75.8
3,Revenue Growth (YoY),1.25%,-2.55%,-42.02%,-27.56%,-18.29%,-11.65%,10.05%,20.80%,69.42%,31.72%,38.94%,107.69%,20.89%,33.16%,-,-,-,-
4,Cost of Revenue,84.38,75.42,66.83,76.95,93.95,79.89,120.02,96.82,99.57,86.78,86.65,88.67,55.03,57.53,67.75,41.63,45.19,45.19
5,Gross Profit,44.06,39.06,26.27,46.61,32.9,37.58,40.56,73.75,55.68,46.18,59.27,52.54,36.61,43.41,37.27,26.36,30.61,30.61
6,"Selling, General & Admin",10.19,9.56,11.23,11.28,10.59,7.73,12.06,11.77,18.57,9.21,9.36,10.12,9.5,8.1,7.49,6.49,6.42,6.42
7,Research & Development,6.49,4.61,6.22,5.32,6.9,3.77,4.42,4.73,8.19,3.68,3.86,4.54,2.97,3.53,3.77,3.34,3.06,3.06
8,Other Operating Expenses,1.15,0.43,0.95,0.56,-0.1,-0.86,1.95,1.41,0.83,0.91,1.03,0.75,0.76,0.23,0.43,0.29,1.13,1.13
9,Operating Expenses,18.22,14.67,16.48,19.24,16.72,11.35,19.2,18.08,29.44,11.92,21.05,15.1,13.64,12.73,12.72,9.02,10.71,10.71
10,Operating Income,25.84,24.38,9.79,27.37,16.18,26.24,21.36,55.67,26.24,34.26,38.22,37.44,22.97,30.68,24.55,17.34,19.9,19.9
11,Interest Expense,-1.37,-1.39,-4.47,-0.28,-0.11,-0.12,-0.26,-0.08,-0.08,-0.05,-,-,-,-,-0.05,-0.12,-0.27,-0.27
12,Interest & Investment Income,5.68,4.98,4.44,0.39,5.36,5.89,0.19,1.28,1.59,1.39,0.63,1.11,0.27,0.44,0.44,0.41,0.27,0.27
13,Currency Exchange Gain (Loss),-,-,4.89,-9.11,9.11,-,33.65,-22.27,22.27,-,2.72,-2.72,-,-2.42,2.42,-,0.05,0.05
14,Other Non Operating Income (Expenses),1.75,-0.1,-7.15,6.31,4.21,-4.21,-37.78,38.08,1.75,-2.14,-1.59,-0.79,0.74,-1.94,-2.01,1.97,-0.01,-0.01
15,EBT Excluding Unusual Items,31.9,27.87,7.5,24.7,34.75,27.79,17.14,72.68,51.77,33.46,39.98,35.04,23.98,26.75,25.35,19.6,19.95,19.95
16,Gain (Loss) on Sale of Investments,0.52,0.52,0.44,6.1,-3.02,1.16,7.4,-8.36,-1.42,1.74,1.22,1.17,0.09,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.06,-0.68,0.05,0.14,-,-,-0.03,0.01,-,0.03,-0.68,-0.05,-,-0.04,-0.01,-,-,-
18,Asset Writedown,-1.47,-0.96,9.1,-9.1,2.68,-2.68,10.63,-10.61,3.31,-3.33,-3.85,1.48,-1.48,-3.1,2.05,-2.05,-0,-0
19,Other Unusual Items,0,-0,0.95,1.79,-3.09,-,0,-0.99,0.99,-,4.27,-4.27,-,1.37,-1.37,-,-0.12,-0.12
20,Pretax Income,30.9,26.75,18.04,23.63,31.32,26.27,35.14,52.74,54.66,31.9,40.95,33.36,22.59,24.99,26.01,17.56,19.83,19.83
21,Income Tax Expense,3.44,3.02,1.49,2.53,3.79,3.37,4.71,7.34,7.64,4.5,5.95,4.74,3.32,3.55,3.61,2.47,2.98,2.98
22,Earnings From Continuing Operations,27.47,23.73,16.55,21.1,27.53,22.9,30.43,45.39,47.03,27.4,34.99,28.61,19.27,21.44,22.4,15.09,16.86,16.86
