,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Feb '25 Feb 21, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,574221,464370,865493,559242,855507,957036,1008593,786167,950299,975276,850393,941974,820659,597059,893210,856340,708859,725510,453146,457904,379406,Upgrade
1,Market Cap Growth,-51.48%,-51.48%,-14.19%,-28.86%,-9.98%,-1.87%,18.60%,-16.54%,15.80%,63.35%,-4.79%,10.00%,15.77%,-17.70%,97.11%,87.01%,86.83%,77.84%,27.00%,37.50%,41.21%,Upgrade
2,Enterprise Value,619268,474029,839401,533493,829758,939697,1008854,690701,888484,960016,899037,1047678,926363,737018,997844,933588,753203,774045,501681,536268,445406,Upgrade
3,Last Close Price,34500.00,27900.00,52000.00,33600.00,51400.00,57500.00,60800.00,66100.00,79900.00,82000.00,70565.36,78164.71,68098.04,49543.79,74118.30,71058.82,58820.92,60202.61,36804.75,37191.15,30815.52,Upgrade
4,PE Ratio,2428.27,-67.87,-66.28,-,-,-,-,-,-,41.32,45.86,85.51,-,-,-,-,202.32,138.60,81.31,83.65,44.88,Upgrade
5,PS Ratio,0.36,0.44,1.00,0.62,0.91,0.89,0.71,0.44,0.41,0.37,0.32,0.37,0.39,0.34,0.61,0.69,0.63,0.70,0.46,0.49,0.41,Upgrade
6,PB Ratio,2.65,2.14,2.42,2.57,3.93,4.18,4.34,4.47,5.20,5.23,4.30,4.75,-,3.41,4.98,4.59,3.56,3.65,-,2.16,1.79,Upgrade
7,P/TBV Ratio,2.15,2.15,2.43,2.58,3.95,4.20,4.36,4.50,5.23,5.26,4.32,4.78,-,3.43,5.01,4.62,3.59,3.67,-,2.17,1.80,Upgrade
8,P/FCF Ratio,-,-,-,-,-,31.89,-,5.17,6.43,7.57,8.08,-,138.38,-19.25,-,-23.04,-,-,-,58.94,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,31.74,-,5.16,6.42,7.56,8.07,-,105.27,-20.52,-,-23.94,-,-,-,48.35,-,Upgrade
10,EV/Sales Ratio,0.43,0.45,0.97,0.59,0.89,0.87,0.72,0.38,0.38,0.37,0.33,0.41,0.44,0.42,0.69,0.75,0.67,0.75,0.51,0.57,0.48,Upgrade
11,EV/EBITDA Ratio,125.06,23.68,68.84,23.49,25.71,25.62,21.03,12.91,13.88,13.49,12.42,16.18,17.87,16.06,27.27,29.09,24.24,28.65,18.83,20.10,16.84,Upgrade
12,EV/EBIT Ratio,13.78,29.75,104.10,29.08,29.89,29.38,23.41,14.23,15.05,14.49,13.32,17.51,19.78,18.10,32.17,35.77,30.46,38.00,25.23,27.04,22.99,Upgrade
13,EV/FCF Ratio,-6.07,-,-,-,-,31.31,-,4.54,6.01,7.45,8.54,-,156.21,-23.76,-,-25.12,-,-,-,69.03,-,Upgrade
14,Debt / Equity Ratio,1.36,1.36,0.54,1.03,1.03,0.90,0.77,1.66,1.65,1.30,1.19,1.43,-,1.97,1.62,1.45,1.13,0.96,-,0.89,0.86,Upgrade
15,Debt / EBITDA Ratio,7.66,7.13,30.80,14.08,13.51,20.65,3.69,5.39,8.80,4.39,3.34,2.95,-,5.73,7.32,6.06,5.74,8.36,-,4.68,7.95,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,6.89,-,1.92,2.04,1.88,2.23,-,-,-11.09,-,-7.27,-,-,-,24.41,-,Upgrade
17,Asset Turnover,-,1.01,1.60,1.50,1.21,1.28,1.62,2.06,2.80,3.15,-,-,3.31,2.75,2.53,2.21,-,-,1.96,1.80,Upgrade,
18,Quick Ratio,1.03,1.03,0.87,0.91,0.91,0.91,0.92,1.01,1.19,1.18,1.19,1.15,-,1.05,1.03,0.90,0.96,0.94,-,0.96,0.95,Upgrade
19,Current Ratio,1.06,1.06,0.93,0.98,0.98,0.96,0.95,1.02,1.21,1.20,1.21,1.17,-,1.07,1.06,0.92,0.98,0.96,-,0.98,0.97,Upgrade
20,Return on Equity (ROE),-,2.34%,-10.07%,-10.18%,-6.22%,-3.44%,-15.54%,-8.11%,0.55%,0.26%,-,-,-10.82%,-16.16%,-25.28%,0.42%,-,-,1.75%,3.68%,Upgrade,
21,Return on Assets (ROA),-,0.24%,1.11%,1.20%,0.58%,4.17%,4.21%,2.43%,4.25%,5.35%,-,-,4.78%,3.30%,3.99%,3.65%,-,-,3.90%,1.90%,Upgrade,
