,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,182209,75628,119557,119557,106757,50620,124513,237468,178681,127668,112902,-,138633,81003,100042,77445,78077,-,77284,39826,Upgrade
1,Short-Term Investments,67076,108929,130333,130333,125606,145328,166907,159006,125672,122526,122746,-,99752,70362,65677,69521,69254,-,63794,63369,Upgrade
2,Cash & Short-Term Investments,249284,184557,249890,249890,232363,195948,291421,396474,304353,250194,235649,-,238385,151364,165719,146967,147331,-,141078,103195,Upgrade
3,Cash Growth,7.28%,-5.81%,-14.25%,-36.97%,-23.65%,-21.68%,23.67%,-,27.67%,65.29%,42.20%,-,61.80%,-,17.47%,42.42%,33.40%,-,123.61%,77.12%,Upgrade
4,Accounts Receivable,206301,100737,125586,125586,114936,128896,153137,193958,249684,289451,351661,-,291413,275730,219887,199548,162691,-,158333,151986,Upgrade
5,Other Receivables,11758,16626,17885,17885,17426,17295,19472,20110,21221,23524,21955,-,22239,22406,20414,25832,26062,-,32026,45286,Upgrade
6,Receivables,218059,117363,143470,143470,132362,146191,172608,214067,270905,312975,373615,-,313652,298136,240301,225380,188752,-,190360,197271,Upgrade
7,Prepaid Expenses,1967,20627,3476,3476,994.91,1078,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Other Current Assets,12266,12.4,26292,26292,17271,8222,7743,8429,12733,10132,8241,-,10603,11495,9108,9823,9370,-,7686,7690,Upgrade
9,Total Current Assets,481576,322560,423128,423128,382991,351439,471772,618971,587992,573302,617505,-,562640,460996,415127,382170,345454,-,339123,308156,Upgrade
10,"Property, Plant & Equipment",25129,25746,29201,29201,29707,30601,31750,32943,34174,35262,36492,-,37421,38531,39280,39298,40587,-,44253,45890,Upgrade
11,Long-Term Investments,164092,359210,199152,199152,217332,223683,197047,106665,115526,125389,135631,-,163249,175329,184661,165541,170658,-,170518,170518,Upgrade
12,Other Intangible Assets,1110,1015,1019,1019,1028,1045,1065,1084,1104,1066,1084,-,1118,1136,1153,1170,1197,-,1261,1292,Upgrade
13,Other Long-Term Assets,135.07,107.5,111.61,111.61,420.67,468.45,1960,1148,963.47,1221,1316,-,1004,1109,1319,816.78,1187,-,1936,2178,Upgrade
14,Total Assets,672042,708639,652612,652612,631478,607237,703593,760811,739760,736240,792028,-,765431,677100,641540,588996,559083,-,557091,528035,Upgrade
15,Accounts Payable,126065,132731,177901,177901,161512,176133,196242,203756,228318,245223,253008,-,217866,192722,171670,152053,139753,-,138722,123597,Upgrade
16,Accrued Expenses,25666,11392,19958,19958,10768,6833,18871,50943,56294,41370,28424,-,12309,2039,529.84,61.2,464.72,-,896.99,1016,Upgrade
17,Short-Term Debt,294331,194216,223798,223798,206614,178610,232447,241860,183477,175959,225401,-,285362,232677,270353,224215,191676,-,189612,181559,Upgrade
18,Current Income Taxes Payable,5715,2320,2951,2951,6234,4374,6075,8821,5621,6037,12964,-,7325,2945,3733,5096,5576,-,3780,3259,Upgrade
19,Other Current Liabilities,1089,7993,7465,7465,14489,5343,7541,7162,15204,6649,7787,-,4899,5861,6550,6682,20527,-,11624,7078,Upgrade
20,Total Current Liabilities,452867,348652,432073,432073,399615,371293,461176,512542,488914,475238,527585,-,527761,436242,452835,388107,357996,-,344635,316508,Upgrade
21,Long-Term Debt,-,-,-,-,-,-,59234,59148,59061,58975,58891,-,58728,58647,-,-,-,-,-,-,Upgrade
22,Other Long-Term Liabilities,2376,2075,3044,3044,3006,3499,7347,6320,5240,4152,7298,-,3896,2862,2000,2000,2405,-,-,-,Upgrade
23,Total Liabilities,455243,350728,435117,435117,402622,374792,527758,578010,553215,538364,593775,-,590385,497751,454835,390107,360401,-,344635,316508,Upgrade
24,Common Stock,166995,166995,166995,166995,166995,166995,119490,119490,119490,119490,119490,-,119490,119490,119490,119490,119490,-,119490,119490,Upgrade
25,Additional Paid-In Capital,57826,57826,57826,57826,57826,57826,45544,45544,45544,45544,45544,-,45544,45544,45544,45544,45544,-,45544,45544,Upgrade
26,Retained Earnings,-19205,121907,-18509,-18509,-7147,-3559,-913.61,6052,9795,21127,21504,-,-1702,2600,10488,22672,22465,-,37239,36309,Upgrade
27,Treasury Stock,-817.21,-817.21,-817.21,-817.21,-817.21,-817.21,-817.21,-817.21,-817.21,-817.21,-817.21,-,-817.21,-817.21,-817.21,-817.21,-817.21,-,-817.21,-817.21,Upgrade
28,Comprehensive Income & Other,12000,12000,12000,12000,12000,12000,12532,12532,12532,12532,12532,-,12532,12532,12000,12000,12000,-,11000,11000,Upgrade
29,Shareholders' Equity,216799,357911,217495,217495,228857,232445,175836,182802,186544,197876,198253,-,175047,179349,186705,198889,198682,-,212456,211526,Upgrade
30,Total Liabilities & Equity,672042,708639,652612,652612,631478,607237,703593,760811,739760,736240,792028,-,765431,677100,641540,588996,559083,-,557091,528035,Upgrade
31,Total Debt,294331,194216,223798,223798,206614,178610,291682,301008,242538,234934,284293,-,344089,291323,270353,224215,191676,-,189612,181559,Upgrade
32,Net Cash (Debt),-45047,-9659,26092,26092,25749,17339,-260.85,95466,61816,15260,-48644,-,-105705,-139959,-104634,-77248,-44344,-,-48535,-78364,Upgrade
33,Net Cash Growth,-,-,-,-72.67%,-58.35%,13.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Net Cash Per Share,-2706.48,-580.30,1639.94,1589.73,1600.38,1222.87,-22.32,8289.92,5197.37,-,-4071.98,-,-9128.01,-11959.86,-8888.34,-5552.57,-3171.02,-,-4080.74,-5619.65,Upgrade
