,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,6091,11079,9932,17926,6498,29997,13638,23652,14925,26491,Upgrade
1,Revenue Growth (YoY),-38.67%,-38.20%,52.85%,-40.24%,-52.35%,26.82%,-8.62%,-10.72%,-6.39%,10.85%,Upgrade
2,Cost of Revenue,5554,11677,9172,16903,5638,22878,9091,16675,10903,19240,Upgrade
3,Gross Profit,537.29,-598.32,759.94,1023,860.03,7118,4548,6977,4022,7251,Upgrade
4,"Selling, General & Admin",352.53,583.99,492.56,917.27,790.16,889.38,1278,1477,1217,1501,Upgrade
5,Other Operating Expenses,2322,-225.54,899.97,1579,224.56,311.32,243.68,209.47,175.64,-,Upgrade
6,Operating Expenses,2675,358.46,1393,2496,1015,1201,1522,1686,1393,1501,Upgrade
7,Operating Income,-2138,-956.78,-632.58,-1474,-154.69,5918,3026,5291,2629,5750,Upgrade
8,Interest Expense,-581.16,-695.79,-552.51,-640.37,-199.83,-403.16,-422.86,-637.54,-543.63,-1011,Upgrade
9,Interest & Investment Income,11.47,41.39,27.36,32.15,60.22,216.94,283.57,242.61,233.89,354.68,Upgrade
10,Earnings From Equity Investments,-58.09,487.15,-72.28,-663,46.36,134.92,211.11,678.27,-233.21,1062,Upgrade
11,Currency Exchange Gain (Loss),24.4,-39.08,-,88.73,-,-2.94,2.94,158.8,6.27,-9.92,Upgrade
12,Other Non Operating Income (Expenses),40.87,166.88,61.26,126.71,163.33,235.82,132.4,276.69,103.26,647.12,Upgrade
13,EBT Excluding Unusual Items,-2700,-996.23,-1169,-2530,-84.62,6099,3234,6010,2195,6794,Upgrade
14,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-181.83,Upgrade
15,Gain (Loss) on Sale of Investments,-,-2069,9.96,-5212,-,0.24,3.1,-,812.04,18.14,Upgrade
16,Gain (Loss) on Sale of Assets,40.79,42.68,28.36,-834.57,-,-1.02,-,60.34,38.93,5.81,Upgrade
17,Asset Writedown,-,119.86,0.85,-139.38,-,-261.72,60.02,18.82,-,4.69,Upgrade
18,Other Unusual Items,-,154.66,-,7.08,158.16,-6.24,13.48,-12.67,-,8.16,Upgrade
19,Pretax Income,-2659,-2748,-1130,-8708,73.54,5831,3310,6076,3046,6648,Upgrade
20,Income Tax Expense,172.06,186.81,280.1,869.02,42.39,3000,1387,2521,1236,2788,Upgrade
21,Earnings From Continuing Operations,-2831,-2935,-1410,-9577,31.15,2831,1923,3555,1811,3861,Upgrade
22,Minority Interest in Earnings,-186.52,117.72,-279.81,-309.35,-7.39,-1199,-294.44,-150.58,-274.24,-241.84,Upgrade
23,Net Income,-3018,-2817,-1689,-9886,23.75,1631,1629,3405,1537,3619,Upgrade
24,Net Income to Common,-3018,-2817,-1689,-9886,23.75,1631,1629,3405,1537,3619,Upgrade
25,Net Income Growth,-,-,-,-,-98.54%,-52.09%,6.01%,-5.92%,-3.60%,12.56%,Upgrade
26,Shares Outstanding (Basic),2102,2102,2102,2102,2078,1985,1940,1942,1942,1942,Upgrade
27,Shares Outstanding (Diluted),2102,2102,2102,2102,2078,1985,1940,1942,1942,1942,Upgrade
28,Shares Change (YoY),-,0.01%,1.16%,5.89%,7.11%,2.20%,-0.11%,-0.03%,3.80%,5.92%,Upgrade
29,EPS (Basic),-1.44,-1.34,-0.80,-4.70,0.01,0.82,0.84,1.75,0.79,1.86,Upgrade
30,EPS (Diluted),-1.44,-1.34,-0.80,-4.70,0.01,0.82,0.84,1.75,0.79,1.86,Upgrade
31,EPS Growth,-,-,-,-,-98.64%,-53.12%,6.12%,-5.89%,-6.91%,6.52%,Upgrade
32,Free Cash Flow,631.38,1670,2575,3181,-3700,1365,-1250,-1400,2578,3500,Upgrade
33,Free Cash Flow Per Share,0.30,0.79,1.22,1.51,-1.78,0.69,-0.64,-0.72,1.33,1.80,Upgrade
34,Operating Margin,-35.09%,-8.64%,-6.37%,-8.22%,-2.38%,19.73%,22.19%,22.37%,17.61%,21.71%,Upgrade
35,Profit Margin,-49.55%,-25.43%,-17.01%,-55.15%,0.37%,5.44%,11.94%,14.39%,10.30%,13.66%,Upgrade
36,Free Cash Flow Margin,10.37%,15.08%,25.92%,17.74%,-56.94%,4.55%,-9.16%,-5.92%,17.27%,13.21%,Upgrade
37,EBITDA,-2070,-911.18,-572.46,-1415,-94.24,5973,3101,5353,2695,5770,Upgrade
38,D&A For EBITDA,67.36,45.59,60.12,58.7,60.45,55.04,74.42,62.51,65.72,19.59,Upgrade
39,EBIT,-2138,-956.78,-632.58,-1474,-154.69,5918,3026,5291,2629,5750,Upgrade
