,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,251,317,350,581,613,684,786,1084,705,629,666,Upgrade
1,Market Cap Growth,-45.41%,-45.41%,-42.82%,-14.94%,-22.00%,-36.96%,11.41%,72.50%,5.85%,-35.06%,-42.39%,Upgrade
2,Enterprise Value,1785,1987,1887,2045,1989,2039,1727,2061,1731,1755,1574,Upgrade
3,Last Close Price,0.16,0.20,0.22,0.37,0.39,0.43,0.49,0.68,0.48,0.47,0.47,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,20.76,-,11.88,-,Upgrade
5,PS Ratio,0.41,0.51,0.53,0.87,0.90,1.06,1.01,1.30,0.89,0.67,0.65,Upgrade
6,PB Ratio,0.08,0.10,0.11,0.18,0.17,0.19,0.19,0.27,0.18,0.17,0.19,Upgrade
7,P/TBV Ratio,0.10,0.10,0.11,0.18,0.17,0.19,0.20,0.28,0.19,0.17,0.19,Upgrade
8,P/FCF Ratio,1.07,1.35,1.58,15.92,-,-,-,-,3.92,11.71,-,Upgrade
9,P/OCF Ratio,1.16,1.16,1.34,7.73,11.54,-7.67,-,5.08,3.10,6.00,3.58,Upgrade
10,EV/Sales Ratio,2.88,3.21,2.85,3.05,2.91,3.17,2.21,2.46,2.17,1.88,1.53,Upgrade
11,EV/EBITDA Ratio,55.52,55.52,26.47,21.43,18.93,23.68,10.04,13.30,11.65,8.03,7.60,Upgrade
12,EV/EBIT Ratio,-,-,658.78,-299.76,-,110.02,-,26.81,-,11.55,11.46,Upgrade
13,EV/FCF Ratio,7.61,8.48,8.52,56.00,-,-,-,-,9.63,32.69,-,Upgrade
14,Debt / Equity Ratio,0.56,0.56,0.60,0.60,0.52,0.48,0.44,0.44,0.45,0.48,0.51,Upgrade
15,Debt / FCF Ratio,7.53,7.53,8.32,52.59,-,-,-,-,9.60,32.94,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,0.08%,-0.16%,-,0.39%,-,1.50%,-,3.32%,2.95%,Upgrade
17,Earnings Yield,-89.25%,-70.69%,-71.42%,-26.37%,-28.67%,-31.07%,0.49%,4.82%,11.49%,8.42%,2.12%,Upgrade
18,FCF Yield,93.25%,73.86%,63.24%,6.28%,-7.82%,-32.39%,-28.59%,5.11%,25.50%,8.54%,18.66%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-0.01%,-4.67%,-24.92%,-19.43%,-0.05%,0.04%,-0.00%,Upgrade,
20,Total Shareholder Return,-,-,-,-0.01%,-4.67%,-24.92%,-19.43%,-0.05%,0.04%,-0.00%,Upgrade,
