,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,70,72,338,369,375,465,945,1905,2925,4230,5025
1,Market Cap Growth,-80.58%,-80.58%,-10.00%,-20.65%,-60.32%,-75.59%,-67.69%,-54.96%,-41.79%,-,-
2,Enterprise Value,625,711,1064,1026,1138,1262,1663,2637,3509,4775,5899
3,Last Close Price,0.05,0.05,0.23,0.25,0.25,0.31,0.63,1.27,1.95,2.82,3.33
4,PE Ratio,-,-,-3.83,-,-,-1.62,-,22.97,74.71,53.71,43.65
5,PS Ratio,0.24,0.24,1.12,1.24,1.11,1.34,2.59,5.24,8.55,12.90,14.82
6,PB Ratio,0.05,0.05,0.23,0.26,0.23,0.25,0.45,0.82,1.30,2.05,2.39
7,P/FCF Ratio,0.36,0.36,2.29,3.58,2.42,2.74,6.22,18.37,46.76,51.56,46.37
8,P/OCF Ratio,0.36,0.36,2.29,3.58,2.42,2.74,6.22,18.37,46.76,51.56,46.37
9,EV/Sales Ratio,2.13,2.42,3.53,3.44,3.37,3.63,4.56,7.26,10.26,14.56,17.40
10,EV/EBITDA Ratio,2.99,3.43,5.31,5.72,5.25,5.03,6.71,10.93,14.53,21.57,26.85
11,EV/EBIT Ratio,3.04,3.46,5.41,5.77,5.28,5.10,6.73,10.96,14.56,21.56,26.90
12,EV/FCF Ratio,3.59,3.59,7.20,9.94,7.34,7.43,10.95,25.43,56.11,58.20,54.44
13,Debt / Equity Ratio,0.86,0.86,0.82,0.86,0.63,0.57,0.52,0.40,0.42,0.41,0.41
14,Debt / FCF Ratio,5.82,5.82,8.17,12.02,6.54,6.25,7.28,8.93,15.24,10.22,7.87
15,Earnings Yield,-135.74%,-132.91%,-26.11%,-77.98%,-50.86%,-61.70%,-26.95%,4.35%,1.34%,1.86%,2.29%
16,FCF Yield,276.28%,276.28%,43.74%,27.95%,41.34%,36.53%,16.08%,5.44%,2.14%,1.94%,2.16%
17,Buyback Yield / Dilution,0.11%,0.21%,-,-,-,-,-,-,-16.38%,-26.01%,-
18,Total Shareholder Return,0.11%,0.21%,-,-,-,-,-,-,-16.38%,-26.01%,-
