,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Rental Revenue,129.41,144.27,129.1,146.43,152,144.4,153.03,149.03,138.91,159.99
1,Total Revenue,129.41,144.27,129.1,146.43,152,144.4,153.03,149.03,138.91,159.99
2,Revenue Growth (YoY,0.24%,-1.47%,-15.06%,1.41%,-0.68%,-3.11%,10.17%,-6.85%,-2.93%,-
3,Property Expenses,21.52,21.79,21.42,23.11,24.6,19.09,21.48,15.87,10.96,16.41
4,"Selling, General & Administrative",20.39,27.98,25.9,28.5,23.88,28.98,34.03,33.07,32.27,43.76
5,Provision for Loan Losses,-,-1.35,-,-1.93,-,-,-,-,-,-
6,Other Operating Expenses,-7.22,-8.47,0.09,1.74,-4.3,-6.97,-0.24,-2.33,-5.04,-1.15
7,Total Operating Expenses,34.69,47.56,47.41,63.56,44.18,40.91,55.28,46.78,38.19,58.85
8,Operating Income,94.72,96.71,81.69,82.87,107.82,103.48,97.76,102.26,100.72,101.14
9,Interest Expense,-28.73,-32.96,-29.03,-25.19,-26.6,-23.33,-24.4,-24.59,-27.27,-27.33
10,Interest & Investment Income,1.89,2.23,1.76,1.85,0.31,0.27,0.08,0.15,1.48,0.94
11,Currency Exchange Gain (Loss),-,0.09,-,1.08,-,-0.69,-,-0.81,-,2.11
12,Other Non-Operating Income,-,0.64,-,0.61,-,-7.62,-,-4,-,-0.6
13,EBT Excluding Unusual Items,67.87,66.71,54.42,61.23,81.52,72.12,73.43,73,74.93,76.26
14,Gain (Loss) on Sale of Investments,-,0.23,-,1.12,-,-,-,-,-,0.16
15,Gain (Loss) on Sale of Assets,-,1.54,-,-4.69,-,-0.01,-,-,-,-
16,Asset Writedown,-184.36,-59.46,-157.94,-293.79,-55.97,-405.64,4.12,-33.12,-46.15,7.26
17,Other Unusual Items,-,3.41,-,2.23,-,-,-,-,-,-
18,Pretax Income,-116.49,12.43,-103.52,-233.9,25.55,-333.53,77.55,39.88,28.77,83.68
19,Income Tax Expense,-25.2,9.77,-20.59,-50.01,9.1,-75.99,25.58,23.11,13.63,28.51
20,Earnings From Continuing Operations,-91.29,2.66,-82.93,-183.88,16.45,-257.55,51.97,16.77,15.14,55.16
21,Minority Interest in Earnings,-0.19,0.18,0.1,0.43,-1.71,-2.14,0.22,0.01,1.05,0.43
22,Net Income,-91.48,2.84,-82.83,-183.45,14.75,-259.68,52.19,16.78,16.19,55.6
23,Net Income to Common,-91.48,2.84,-82.83,-183.45,14.75,-259.68,52.19,16.78,16.19,55.6
24,Net Income Growth,-,-,-,-,-71.74%,-,222.38%,-69.82%,-65.78%,-
25,Basic Shares Outstanding,1497,1500,1500,1500,1500,1500,1500,1500,1500,1289
26,Diluted Shares Outstanding,1497,1500,1500,1500,1500,1500,1500,1500,1500,1289
27,Shares Change (YoY),-0.21%,-,-,-,-,-,-,16.38%,26.01%,-
28,EPS (Basic),-0.06,0.00,-0.06,-0.12,0.01,-0.17,0.03,0.01,0.01,0.04
29,EPS (Diluted),-0.06,0.00,-0.06,-0.12,0.01,-0.17,0.03,0.01,0.01,0.04
30,EPS Growth,-,-,-,-,-71.74%,-,222.38%,-74.07%,-72.84%,-
31,Operating Margin,73.20%,67.03%,63.28%,56.60%,70.93%,71.67%,63.88%,68.61%,72.51%,63.21%
32,Profit Margin,-70.70%,1.97%,-64.16%,-125.29%,9.70%,-179.84%,34.10%,11.26%,11.65%,34.75%
33,Free Cash Flow Margin,58.47%,75.27%,19.69%,47.83%,44.15%,53.95%,29.97%,27.08%,8.86%,39.05%
34,EBITDA,95.42,97.3,84.39,81.5,110.33,103.69,98.29,102.35,100.98,100.83
35,D&A For Ebitda,0.7,0.59,2.7,-1.37,2.52,0.2,0.53,0.09,0.26,-0.31
36,EBIT,94.72,96.71,81.69,82.87,107.82,103.48,97.76,102.26,100.72,101.14
