,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1557,2504,3606,4817,4955,6394,8581,10546,6928,8319,7247
1,Market Cap Growth,-48.02%,-48.02%,-27.22%,-24.66%,-42.26%,-39.37%,23.86%,26.78%,-4.40%,-,-
2,Enterprise Value,1692,2820,3653,4875,4959,5899,7145,10152,6917,7812,7362
3,Last Close Price,0.52,0.91,1.31,1.75,1.80,2.31,3.10,3.81,2.68,3.47,2.99
4,PE Ratio,-,-,-,-35.29,-,-,11.43,10.86,8.32,27.50,-
5,Forward PE,12.10,4.35,6.12,7.48,6.39,6.52,5.74,7.69,5.70,9.36,-
6,PS Ratio,0.58,1.01,1.26,1.48,1.61,1.81,1.77,2.05,1.53,2.35,2.13
7,PB Ratio,0.24,0.42,0.57,0.77,0.77,0.93,1.21,1.55,1.22,1.90,1.75
8,P/TBV Ratio,0.62,0.62,0.80,1.09,1.09,1.31,1.68,2.02,1.67,2.86,2.72
9,P/FCF Ratio,-,-33.93,-,12.52,-274.77,-,20.07,18.40,9.62,24.62,21.09
10,P/OCF Ratio,-,-35.21,-,12.05,-2765.20,-,19.66,18.20,9.55,24.37,20.87
11,PEG Ratio,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.12,0.20,-
12,EV/Sales Ratio,0.68,1.14,1.27,1.50,1.62,1.67,1.47,1.97,1.52,2.21,2.17
13,EV/EBITDA Ratio,9.05,16.18,27.69,45.91,29.73,22.18,10.03,12.45,11.48,24.09,20.83
14,EV/EBIT Ratio,100.88,139.65,446.84,-,56.10,32.78,11.62,14.26,13.68,30.53,-
15,EV/FCF Ratio,-22.93,-38.21,-,12.67,-275.00,-,16.71,17.72,9.60,23.12,21.42
16,Debt / Equity Ratio,0.09,0.09,0.09,0.07,0.09,0.14,0.14,0.09,0.10,0.15,0.13
17,Debt / FCF Ratio,-,-7.26,-,1.18,-30.51,-,2.27,1.02,0.79,1.94,1.55
18,Return on Capital Employed (ROCE),0.34%,0.34%,0.13%,-,1.35%,2.59%,8.27%,10.03%,8.75%,5.54%,-
19,Earnings Yield,-21.61%,-13.44%,-0.61%,-2.83%,-4.68%,3.60%,8.75%,9.20%,12.02%,3.64%,3.83%
20,FCF Yield,-4.74%,-2.95%,1.32%,7.99%,-0.36%,1.07%,4.98%,5.43%,10.40%,4.06%,4.74%
21,Buyback Yield / Dilution,0.16%,0.02%,0.31%,0.56%,0.41%,-7.11%,-17.60%,-10.90%,-19.16%,-29.45%,-9.92%
22,Total Shareholder Return,0.16%,0.02%,0.31%,0.56%,0.41%,-7.11%,-17.60%,-10.90%,-19.16%,-29.45%,-9.92%
