,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,373.69,827.36,787.66,1258,514.62,1240,-,648.13,-,176.19,-
1,Trading Asset Securities,531.74,200.8,350,200.03,570,-,-,-,-,-,-
2,Cash & Short-Term Investments,905.43,1028,1138,1458,1085,1240,648.13,648.13,-,176.19,412.43
3,Cash Growth,-16.52%,-17.08%,75.53%,125.03%,-,603.78%,57.15%,-,-,-,-
4,Accounts Receivable,1740,1695,1452,1460,1402,1271,-,1098,-,809.25,-
5,Other Receivables,24.36,24.18,25.45,24.87,26.72,27.33,-,25.63,-,-,-
6,Receivables,1764,1720,1477,1484,1428,1299,-,1123,-,809.25,-
7,Inventory,390.66,408.57,419.54,478.66,480.36,588.32,-,463.09,-,623.36,-
8,Prepaid Expenses,-,-,-,0.06,-,-,-,0.13,-,4.1,-
9,Other Current Assets,72.87,16.41,39.32,23.97,45.56,50.3,-,70.05,-,100.16,-
10,Total Current Assets,3133,3173,3074,3446,3039,3178,-,2305,-,1713,-
11,"Property, Plant & Equipment",150.04,146.05,145.87,149.7,136.62,140.9,-,144.24,-,149.15,-
12,Long-Term Investments,12.12,10.64,11.63,12.83,11.71,11.55,-,11.1,-,10.79,-
13,Other Intangible Assets,15.18,15.66,15.55,15.55,12.3,12.58,-,11.72,-,11.46,-
14,Long-Term Accounts Receivable,50.02,45.95,45.03,44.03,49.04,45.85,-,47.84,-,102.21,-
15,Long-Term Deferred Tax Assets,69.97,68.5,63.59,56.15,66.03,63.61,-,50.96,-,59.92,-
16,Other Long-Term Assets,12.43,12.7,12.96,13.22,17.23,17.58,-,19.25,-,20.19,-
17,Total Assets,3443,3472,3368,3737,3332,3470,-,2590,-,2067,-
18,Accounts Payable,1316,1290,1203,1377,1087,1031,-,1078,-,838.03,-
19,Accrued Expenses,23.6,20.68,14.84,76.32,22.28,31.82,-,86.6,-,23.11,-
20,Short-Term Debt,-,-,-,0.56,80.03,217.05,-,216.98,-,50.04,-
21,Current Portion of Leases,0.03,0.09,0.25,0.43,0.77,1.09,-,1.47,-,0.71,-
22,Current Income Taxes Payable,6.75,0.11,2.47,8.62,17.06,1.14,-,2.64,-,1.23,-
23,Current Unearned Revenue,204.19,236.44,220.4,320.07,289.1,362.07,-,344.13,-,398.73,-
24,Other Current Liabilities,24.61,77.16,20.83,28.36,26.72,40.93,-,31.78,-,40.58,-
25,Total Current Liabilities,1575,1625,1461,1811,1523,1685,-,1761,-,1352,-
26,Long-Term Leases,0.01,0.02,0.03,0.04,0.39,0.67,-,0.49,-,0.95,-
27,Long-Term Unearned Revenue,12.62,12.33,10.62,10.26,17.68,18.18,-,16.91,-,17.04,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,0.17,0.26,-,-,-,-,-
29,Other Long-Term Liabilities,25.03,26.67,30.62,33.31,31.27,30.89,-,35,-,31.65,-
30,Total Liabilities,1613,1664,1503,1855,1572,1735,-,1814,-,1402,-
31,Common Stock,163.47,163.47,163.47,163.47,163.47,163.47,-,122.6,-,122.6,-
32,Additional Paid-In Capital,1263,1263,1263,1263,1263,1263,-,333.82,-,333.82,-
33,Retained Earnings,387.1,366.07,422.81,438.55,318.52,293.91,-,306.46,-,196.64,-
34,Total Common Equity,1813,1792,1849,1865,1745,1720,762.87,762.87,-,653.05,679.46
35,Minority Interest,16.73,16.11,16.7,17.29,15.17,14.77,-,13.42,-,11.62,-
36,Shareholders' Equity,1830,1808,1866,1882,1760,1735,776.29,776.29,-,664.68,687.86
37,Total Liabilities & Equity,3443,3472,3368,3737,3332,3470,-,2590,-,2067,-
38,Total Debt,0.05,0.11,0.28,1.03,81.19,218.82,218.94,218.94,-,51.7,1.84
39,Net Cash (Debt),905.38,1028,1137,1457,1003,1021,429.2,429.2,-,124.48,410.59
40,Net Cash Growth,-9.77%,0.68%,165.00%,239.58%,-,720.30%,4.53%,-,-,-,-
41,Net Cash Per Share,8.72,4.99,7.23,8.47,6.63,7.96,3.50,2.24,-,1.02,-
42,Filing Date Shares Outstanding,163.47,163.47,163.47,163.47,163.47,163.47,122.6,122.6,59.71,122.6,-
43,Total Common Shares Outstanding,163.47,163.47,163.47,163.47,163.47,163.47,122.6,122.6,59.71,122.6,-
44,Working Capital,1558,1548,1612,1634,1516,1493,-,543.58,-,360.6,-
45,Book Value Per Share,11.09,10.96,11.31,11.41,10.67,10.52,6.22,6.22,-,5.33,5.54
46,Tangible Book Value,1798,1777,1833,1849,1732,1708,751.15,751.15,-,641.59,668.86
47,Tangible Book Value Per Share,11.00,10.87,11.22,11.31,10.60,10.45,6.13,6.13,-,5.23,5.46
48,Buildings,-,235.49,-,235.47,-,222.27,-,227.87,-,222.27,-
49,Machinery,-,77.37,-,75.89,-,81.25,-,70.42,-,76.18,-
50,Construction In Progress,-,15.75,-,12.68,-,-,-,0.52,-,-,-
