,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,282.25,390.59,244.81,704.48,442.03,348.03,176.6,726.48,388.22,402.59,51.49
1,Other Revenue,-2.1,2.1,-,4.77,-2.16,2.16,-,7.1,-2.9,1.43,1.46
2,Revenue,280.15,392.69,244.81,709.25,439.87,350.19,176.6,733.58,385.32,404.02,52.95
3,Revenue Growth (YoY),-36.31%,12.14%,38.62%,-3.32%,14.16%,-13.32%,233.50%,-,-,-,-
4,Cost of Revenue,172.02,306.34,191.83,507.62,331.56,237.21,132.06,539.87,273.47,298.21,33.06
5,Gross Profit,108.13,86.35,52.98,201.63,108.31,112.98,44.54,193.71,111.86,105.81,19.89
6,"Selling, General & Admin",47.22,51.62,50.23,55.24,49.1,54.2,60.37,57.18,48.48,51.37,40.73
7,Research & Development,36.27,34.68,33.68,37.6,31.14,30.45,29.38,33.27,28.26,27.56,29.63
8,Other Operating Expenses,-15.68,-2.63,-10.13,-0.8,-2.47,-0.84,-2.39,1.53,-0.56,-2.77,-1.98
9,Operating Expenses,95.26,88.14,79.89,100.81,83.65,93,86.84,107.15,88.35,79.27,69.3
10,Operating Income,12.88,-1.8,-26.91,100.81,24.66,19.97,-42.3,86.56,23.51,26.54,-49.4
11,Interest Expense,-0,-0,-0,-0.04,-0.67,-1.52,-1.51,-0.63,-0.7,-0.06,-0.02
12,Interest & Investment Income,6.46,5.44,3,11.74,6.04,1.85,2.05,4.45,0.77,0.15,1.12
13,Earnings From Equity Investments,-,-,-,-0.61,-,-,-,-0.25,-0.08,0.46,-0.13
14,Currency Exchange Gain (Loss),0.01,-0.01,-,0.81,0.13,-0.13,-,-1.02,-0.15,0.12,0.03
15,Other Non Operating Income (Expenses),1.6,-1.1,-0.11,-1.78,0.34,-0.4,-0.46,1.22,4.04,-3.68,-1.07
16,EBT Excluding Unusual Items,20.94,2.52,-24.02,110.95,30.5,19.78,-42.23,90.34,27.38,23.51,-49.48
17,Gain (Loss) on Sale of Investments,0.94,0.8,-,0.03,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-,-,-,-0.07,-,-,-,-0.15,0.03,-0.03,0.03
19,Asset Writedown,0.48,0.26,-0.26,5.41,-5.41,-0.16,0.16,3.49,-3.49,-,-
20,Other Unusual Items,-1.47,1.48,-0.01,21.23,-0.48,0.48,-,5.3,-0.24,-0.17,0.41
21,Pretax Income,20.89,5.06,-24.29,137.55,24.62,20.09,-42.06,98.98,23.69,23.31,-49.05
22,Income Tax Expense,-0.77,-5.11,-7.96,15.4,-0.39,-1.06,-10.17,10.19,0.86,2.29,-11.29
23,Earnings From Continuing Operations,21.65,10.17,-16.33,122.15,25.01,21.15,-31.9,88.79,22.83,21.02,-37.75
24,Minority Interest in Earnings,-0.63,0.11,0.59,-2.12,-0.4,-1.8,0,-0.29,-1.51,-3.41,-0.18
25,Net Income,21.03,10.28,-15.74,120.03,24.61,19.35,-31.89,88.5,21.32,17.61,-37.94
26,Net Income to Common,21.03,10.28,-15.74,120.03,24.61,19.35,-31.89,88.5,21.32,17.61,-37.94
27,Net Income Growth,-14.56%,-46.85%,-,35.63%,15.44%,9.87%,-,-,-,-,-
28,Shares Outstanding (Basic),104,206,157,172,151,128,123,192,60,123,-
29,Shares Outstanding (Diluted),104,206,157,172,151,128,123,192,60,123,-
30,Shares Change (YoY),-31.36%,60.72%,28.27%,-10.16%,153.39%,4.60%,-,-,-,-,-
31,EPS (Basic),0.20,0.05,-0.10,0.70,0.16,0.15,-0.26,0.46,0.36,0.14,-
32,EPS (Diluted),0.20,0.05,-0.10,0.70,0.16,0.15,-0.26,0.46,0.36,0.14,-
33,EPS Growth,24.48%,-66.93%,-,50.96%,-54.44%,5.04%,-,-,-,-,-
34,Free Cash Flow,-102.74,-86.3,-325.52,453.12,-5.75,-57.61,-327.59,373.41,-50.57,-45.97,-225.19
35,Free Cash Flow Per Share,-0.99,-0.42,-2.07,2.63,-0.04,-0.45,-2.67,1.95,-0.85,-0.37,-
36,Dividend Per Share,-,-,-,0.410,-,-,-,-,-,-,-
