,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,16687,11904,10138,10199,5762,5965,5323,-,-,-,-,-
1,Market Cap Growth,99.56%,99.56%,90.48%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,15798,10892,9018,9211,4774,4959,4904,-,-,-,-,-
3,Last Close Price,102.08,72.82,62.02,61.97,35.01,36.25,32.34,-,-,-,-,-
4,PE Ratio,120.34,87.78,72.84,-,43.62,59.31,54.72,-,-,-,-,-
5,Forward PE,95.40,62.33,56.34,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.03,7.32,5.67,5.85,3.44,3.51,3.23,-,-,-,-,-
7,PB Ratio,9.20,6.50,5.61,5.47,3.06,3.39,3.07,-,-,-,-,-
8,P/TBV Ratio,6.62,6.62,5.71,5.56,3.12,3.44,3.12,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,92.68,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,72.72,-,-,-,-,-,-,-
11,EV/Sales Ratio,9.71,6.69,5.05,5.28,2.85,2.92,2.98,-,-,-,-,-
12,EV/EBITDA Ratio,151.93,106.26,78.89,-,39.53,46.61,46.68,-,-,-,-,-
13,EV/EBIT Ratio,185.89,128.16,-,-,46.29,55.78,55.89,-,-,-,-,-
14,EV/FCF Ratio,-257.19,-,-,-,76.78,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.28,0.28,-,0.08,0.00
16,Debt / EBITDA Ratio,0.00,0.00,0.01,-,0.00,0.70,2.14,-,0.59,-,0.42,-
17,Debt / FCF Ratio,-,-,-,-,0.02,-,-,-,4.24,-,-,-
18,Asset Turnover,0.32,0.46,0.28,0.80,0.52,-,-,-,-,-,-,
19,Inventory Turnover,2.70,1.72,2.96,1.71,4.23,2.48,-,-,-,-,-,-
20,Quick Ratio,1.69,1.69,1.69,1.79,1.62,1.65,1.51,-,1.01,-,0.73,-
21,Current Ratio,1.99,1.99,1.95,2.10,1.90,2.00,1.89,-,1.31,-,1.27,-
22,Return on Equity (ROE),4.76%,2.21%,-3.49%,26.83%,5.72%,6.74%,-16.43%,-,-,12.43%,-,
23,Return on Assets (ROA),0.93%,-0.13%,-1.89%,7.13%,1.81%,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.77%,-0.24%,-3.59%,13.53%,3.25%,3.39%,-10.63%,-,-,9.44%,-,
25,Return on Capital Employed (ROCE),4.55%,4.55%,-,-,5.36%,4.91%,4.92%,-,10.52%,-,-3.20%,-
26,Earnings Yield,0.81%,1.14%,1.37%,1.45%,2.29%,1.69%,1.83%,-,-,-,-,-
27,FCF Yield,-0.37%,-0.52%,0.35%,0.63%,1.08%,-0.29%,-1.17%,-,-,-,-,-
28,Dividend Yield,0.40%,-,-,-,1.17%,-,-,-,-,-,-,-
29,Payout Ratio,49.49%,192.24%,258.63%,-,0.07%,3.13%,7.95%,-,0.67%,43.37%,-,-
30,Buyback Yield / Dilution,-7.69%,31.36%,-60.72%,-28.27%,10.16%,-153.39%,-4.60%,-,-,-,-,-
31,Total Shareholder Return,-7.29%,31.36%,-60.72%,-28.27%,11.33%,-153.39%,-4.60%,-,-,-,-,-
