,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,803,566,351,538,566,538,674,1149,531,574,811,Upgrade
1,Market Cap Growth,5.33%,5.33%,-37.97%,0%,-15.96%,-53.19%,26.86%,100.00%,-34.51%,-42.03%,-24.67%,Upgrade
2,Enterprise Value,723,491,462,855,805,566,584,1106,618,670,836,Upgrade
3,Last Close Price,1.12,0.79,0.49,0.75,0.79,0.75,0.94,1.60,0.74,0.72,1.02,Upgrade
4,PE Ratio,8.64,6.09,-,-2.05,-,-,-,3.45,4.03,-,-,Upgrade
5,Forward PE,2.67,3.16,36.67,60.00,-,-,2.35,4.10,9.04,-,8.71,Upgrade
6,PS Ratio,0.16,0.11,0.09,0.14,0.18,0.13,0.11,0.19,0.11,0.13,0.17,Upgrade
7,PB Ratio,0.96,0.67,0.53,0.73,0.83,0.56,0.57,0.91,0.49,0.44,0.61,Upgrade
8,P/TBV Ratio,0.68,0.68,0.54,0.73,0.84,0.56,0.57,0.91,0.49,0.44,0.61,Upgrade
9,P/FCF Ratio,2.08,1.47,0.67,3.07,-,1.25,0.98,1.52,0.88,1.32,1.39,Upgrade
10,P/OCF Ratio,1.42,1.42,0.65,2.52,-,1.09,0.90,1.40,0.80,1.15,1.25,Upgrade
11,PEG Ratio,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,Upgrade
12,EV/Sales Ratio,0.14,0.10,0.11,0.23,0.26,0.13,0.10,0.19,0.12,0.15,0.17,Upgrade
13,EV/EBITDA Ratio,1.35,2.65,-,-4.30,-,-,-,3.47,9.13,-6.39,-,Upgrade
14,EV/EBIT Ratio,4.61,3.36,-,-3.40,-,-,-,4.13,35.64,-,-,Upgrade
15,EV/FCF Ratio,1.87,1.27,0.88,4.88,-,1.31,0.85,1.46,1.02,1.54,1.43,Upgrade
16,Debt / Equity Ratio,0.70,0.70,0.70,0.76,1.12,2.06,1.29,1.45,0.82,1.20,0.94,Upgrade
17,Debt / FCF Ratio,1.51,1.51,0.87,3.20,-,4.58,2.24,2.43,1.48,3.59,2.14,Upgrade
18,Return on Capital Employed (ROCE),15.78%,15.81%,-,-28.96%,-,-,-,17.87%,1.33%,-,-,Upgrade
19,Earnings Yield,11.59%,16.43%,-11.93%,-48.89%,-94.26%,-57.30%,14.87%,28.95%,24.81%,-32.53%,-8.49%,Upgrade
20,FCF Yield,48.10%,68.17%,148.91%,32.57%,0.36%,80.07%,101.56%,65.73%,114.11%,75.59%,71.87%,Upgrade
21,Buyback Yield / Dilution,-,-,-,0.25%,0.13%,-0.12%,-,-,-,-,Upgrade,
22,Total Shareholder Return,-,-,-,0.25%,0.13%,-0.12%,-,-,-,-,Upgrade,
