,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1783,1741,1677,1866,2328,2312,2420,2388,-,-,-,-,-,-,-,-
1,Market Cap Growth,-24.69%,-24.69%,-30.68%,-21.86%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1279,1203,1101,1273,1735,1742,1831,2432,-,-,-,-,-,-,-,-
3,Last Close Price,15.37,15.01,14.46,15.77,19.67,19.53,20.44,19.86,-,-,-,-,-,-,-,-
4,PE Ratio,20.45,19.95,15.19,16.37,22.40,21.43,22.67,22.47,-,-,-,-,-,-,-,-
5,PS Ratio,2.38,2.32,2.29,2.62,3.28,3.28,3.39,3.22,-,-,-,-,-,-,-,-
6,PB Ratio,1.35,1.32,1.28,1.42,1.81,1.83,1.96,1.93,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.42,1.42,1.37,1.53,1.95,1.97,2.11,2.09,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,22.24,-,15.84,-,-,-,-,-,-,-,-
9,P/OCF Ratio,17.02,17.02,12.24,13.16,12.86,11.37,12.12,13.08,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.70,1.60,1.50,1.79,2.45,2.47,2.57,3.28,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,9.51,8.52,7.08,8.90,12.62,12.49,13.78,16.16,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,15.15,13.08,10.31,13.38,19.25,18.81,20.77,22.90,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-22.01,-,-,-,-,16.75,-,16.13,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.12,0.12,0.11,0.10,0.09,0.11,0.11,0.10,0.14,-,0.26,0.28,0.28,0.28,0.39,0.39
15,Debt / EBITDA Ratio,1.18,1.22,0.85,0.88,0.93,0.78,1.13,0.97,0.78,-,0.94,1.18,0.79,0.85,1.13,1.13
16,Debt / FCF Ratio,-,-,-,-,-,1.39,-,0.84,0.92,-,7.52,-,876.73,-14.41,-,-
17,Asset Turnover,0.45,0.51,0.42,0.49,0.44,0.48,0.51,-,-,-,-,0.89,0.92,0.80,-,
18,Inventory Turnover,4.77,4.89,4.96,4.13,4.95,4.08,4.50,3.57,-,-,-,-,4.26,4.39,3.71,-
19,Quick Ratio,2.58,2.58,3.16,3.45,3.32,3.32,3.27,3.64,1.43,-,1.01,-,0.80,0.80,0.71,0.71
20,Current Ratio,2.96,2.96,3.62,3.97,3.80,3.79,3.80,4.27,2.15,-,1.59,-,1.35,1.35,1.15,1.15
21,Return on Equity (ROE),1.74%,9.59%,8.54%,6.68%,9.34%,11.55%,7.25%,-,-,21.98%,13.85%,23.08%,24.50%,22.16%,-,
22,Return on Assets (ROA),3.08%,4.44%,4.09%,2.73%,5.69%,2.77%,4.12%,-,-,-,-,10.78%,10.19%,9.87%,-,
23,Return on Capital (ROIC),3.46%,4.91%,4.57%,3.06%,6.31%,3.10%,4.80%,-,-,10.74%,8.45%,13.91%,12.97%,12.39%,-,
24,Return on Capital Employed (ROCE),6.27%,6.83%,7.94%,7.08%,6.84%,7.16%,7.00%,8.16%,14.18%,-,19.91%,-,23.65%,17.13%,12.45%,6.23%
25,Earnings Yield,4.90%,5.01%,6.58%,6.11%,4.46%,4.67%,4.41%,4.45%,-,-,-,-,-,-,-,-
26,FCF Yield,-3.26%,-3.34%,0.07%,-0.65%,2.21%,4.50%,5.47%,6.31%,-,-,-,-,-,-,-,-
27,Dividend Yield,1.95%,-,-,-,1.53%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,42.46%,40.41%,103.42%,2.17%,3.85%,11.62%,95.32%,4.45%,2.15%,3.35%,5.36%,7.38%,5.83%,5.83%,7.62%,7.62%
29,Buyback Yield / Dilution,-14.71%,0.76%,-2.82%,-30.66%,-34.50%,-32.69%,-32.33%,-0.13%,-0.28%,-0.85%,2.10%,-1.69%,-,-,-,-
30,Total Shareholder Return,-12.75%,0.76%,-2.82%,-30.66%,-32.97%,-32.69%,-32.33%,-0.13%,-0.28%,-0.85%,2.10%,-1.69%,-,-,-,-
