,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,192.89,199.25,164.93,183.6,174.11,179.32,162.31,178.18,182.39,207.49,156.87,222.72,222.72,187.14,187.14
1,Other Revenue,-5.97,5.97,-,10.04,-5.21,5.21,-,10.74,-4.59,4.59,-,2.5,2.5,2.77,2.77
2,Revenue,186.91,205.22,164.93,193.63,168.9,184.52,162.31,188.92,177.79,212.09,156.87,225.22,225.22,189.91,189.91
3,Revenue Growth (YoY),10.67%,11.22%,1.62%,2.49%,-5.00%,-13.00%,3.46%,-16.12%,-21.06%,11.68%,-17.40%,-,-,-,-
4,Cost of Revenue,141.62,144.38,121.63,144,120.85,144.13,125.42,141.73,129.32,156.02,115.09,161.41,161.41,132.42,132.42
5,Gross Profit,45.29,60.84,43.3,49.63,48.05,40.4,36.88,47.19,48.47,56.06,41.78,63.81,63.81,57.49,57.49
6,"Selling, General & Admin",16.21,19.16,11.63,18.4,12.55,16.47,10.35,12.86,12.48,11.77,9.91,12.68,12.68,11.43,11.43
7,Research & Development,7.53,7.8,6.77,6.67,7.32,7.08,6.55,7.06,5.78,8.2,7.12,7.92,7.92,6.55,6.55
8,Other Operating Expenses,-0.16,2.8,0.18,1.63,-1.87,-2.39,0.8,4.65,0.46,0.64,1.48,0.85,0.85,1.9,1.9
