,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2861,1070,2506,1815,2655,3319,4357,4546,2818,4159,4147
1,Market Cap Growth,-41.04%,-41.04%,-5.61%,-45.31%,-39.06%,-27.00%,54.60%,9.31%,-32.05%,-,-
2,Enterprise Value,2035,128,1695,1033,2367,2828,3977,4113,2599,3501,3821
3,Last Close Price,1.76,0.74,1.73,1.22,1.72,2.12,2.72,2.82,1.76,2.57,2.51
4,PE Ratio,8.50,3.82,9.55,7.25,11.18,16.02,20.33,18.96,14.95,256.49,-
5,Forward PE,-,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.29,-,-
6,PS Ratio,0.72,0.32,0.74,0.57,0.85,1.04,1.30,1.44,0.98,1.58,1.59
7,PB Ratio,0.65,0.29,0.67,0.52,0.74,0.93,1.19,1.30,0.83,1.35,1.32
8,P/TBV Ratio,0.57,0.57,1.33,1.07,1.55,2.02,2.68,3.02,1.97,3.19,3.13
9,P/FCF Ratio,20.89,-,9.03,3.84,10.90,-,25.74,9.58,16.38,-,11.97
10,P/OCF Ratio,6.03,6.03,7.78,3.49,9.41,-,21.76,8.94,13.92,-,10.88
11,PEG Ratio,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.49,-,-
12,EV/Sales Ratio,0.62,0.04,0.50,0.32,0.76,0.89,1.19,1.30,0.90,1.33,1.46
13,EV/EBITDA Ratio,4.51,0.28,3.84,2.50,5.86,7.64,11.32,11.46,8.75,12.93,10.71
14,EV/EBIT Ratio,4.97,0.30,4.09,2.64,6.25,8.37,12.51,12.44,9.64,15.36,12.13
15,EV/FCF Ratio,14.86,-,6.11,2.18,9.72,-,23.50,8.67,15.10,-,11.03
16,Debt / Equity Ratio,0.24,0.24,0.10,0.16,0.11,0.24,0.14,0.19,0.15,0.25,0.10
17,Debt / FCF Ratio,6.43,-,1.37,1.18,1.62,-,3.10,1.43,2.91,-,0.94
18,Return on Capital Employed (ROCE),10.87%,10.87%,10.50%,10.57%,9.94%,8.14%,8.07%,8.82%,7.06%,6.90%,9.36%
19,Earnings Yield,9.78%,26.15%,10.47%,13.80%,8.94%,6.24%,4.92%,5.27%,6.69%,0.39%,7.42%
20,FCF Yield,4.79%,12.80%,11.07%,26.07%,9.17%,0.76%,3.88%,10.43%,6.11%,1.57%,8.36%
21,Dividend Yield,3.49%,-,5.30%,6.85%,4.82%,3.64%,2.92%,2.19%,2.99%,0.65%,-
22,Buyback Yield / Dilution,0.07%,-0.00%,0.15%,0.31%,0.16%,-1.01%,-1.34%,-0.26%,-0.53%,-41.10%,-115.48%
23,Total Shareholder Return,3.56%,-0.00%,5.45%,7.16%,4.98%,2.63%,1.57%,1.93%,2.46%,-40.45%,-115.48%
