,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1590,1225,1249,1021,985.81,834.63,873.57,788.61,884.33,910.87
1,Short-Term Investments,42.37,15.55,18.31,21.23,-,7.16,11.98,6.12,16.23,4.45
2,Cash & Short-Term Investments,1632,1240,1267,1042,985.81,841.79,885.54,794.74,900.56,915.32
3,Cash Growth,28.79%,19.05%,28.53%,23.77%,11.32%,5.92%,-1.67%,-13.17%,114.93%,682.22%
4,Accounts Receivable,390.59,532.16,491.04,566.8,448.48,553.12,436.82,431.84,324.25,390.48
5,Other Receivables,2.23,1.25,2.88,1.67,-,1.6,4.1,4.05,0.05,2.69
6,Receivables,392.83,533.41,493.92,568.47,448.48,554.72,440.92,435.89,324.3,393.17
7,Inventory,1354,1110,822.81,628.62,752.49,672.68,587.68,516.07,705.86,618.89
8,Other Current Assets,142.88,98.92,144.58,235.7,492.95,462.62,523.36,357.56,361.57,215.49
9,Total Current Assets,3522,2982,2728,2475,2680,2532,2437,2104,2292,2143
10,"Property, Plant & Equipment",88.19,91.45,81.44,83.1,70.71,71.7,77.74,86.57,75.72,83.78
11,Long-Term Investments,67.84,68.58,102.11,115.29,100.49,104.37,83.6,63.19,39.69,4.27
12,Goodwill,-,898.08,-,898.08,-,898.08,-,898.08,-,898.08
13,Other Intangible Assets,1636,737.8,1636,737.8,1636,756.24,1648,750.54,1636,737.8
14,Long-Term Deferred Tax Assets,14.07,6.93,5.82,5.37,4.87,5.17,4.39,4.46,3.95,3.46
15,Total Assets,5328,4785,4554,4314,4503,4367,4251,3907,4048,3870
16,Accounts Payable,602.94,506.57,300.88,324.05,314.14,492.66,304.07,245.37,188.53,339.19
17,Accrued Expenses,13.36,52.75,21.57,45.03,18.1,44.26,14.47,32.07,12.62,34.89
18,Short-Term Debt,799.82,319.9,497.07,329.5,416.74,153.73,250.71,236.31,697.12,273.53
19,Current Portion of Long-Term Debt,-,-,-,-,13.24,255.08,290.46,16.33,-,-
20,Current Portion of Leases,10.3,11.14,9.36,7.86,11.62,7.35,8.9,10.02,12.76,10.85
21,Current Income Taxes Payable,30.28,41.87,28.61,37.89,10.35,35.64,17.57,20.9,12.13,68.5
22,Current Unearned Revenue,37.79,80.04,115.82,56.94,66.3,44.25,178.84,37.25,43.14,42.79
23,Other Current Liabilities,198.16,186.87,159.7,143.9,110.2,122.94,69.61,92.74,71.89,92.21
24,Total Current Liabilities,1693,1199,1133,945.16,960.68,1156,1135,691,1038,861.97
25,Long-Term Debt,-,-,-,-,280.96,-,-,146.99,-,-
26,Long-Term Leases,9.83,13.29,9.18,12.57,14.72,11.5,13.41,12.45,5.77,6.31
27,Long-Term Deferred Tax Liabilities,188.69,186.75,207.56,203.08,205.32,206.55,197.93,197.39,195.9,195.81
28,Total Liabilities,1891,1399,1350,1161,1462,1374,1346,1048,1240,1064
29,Common Stock,4.64,4.64,4.64,4.64,4.64,4.63,4.63,4.53,4.57,4.57
30,Additional Paid-In Capital,2148,2224,2261,2329,2359,2416,2416,2416,2439,2439
31,Retained Earnings,1042,916.55,781.4,678.39,549.54,468.39,402.76,364.28,263.71,291.04
32,Treasury Stock,-,-,-,-,-,-,-,-,-1.23,-
33,Comprehensive Income & Other,199.65,199.45,155.59,141.56,124.54,90.11,75.52,66.61,116.4,83.92
34,Total Common Equity,3394,3345,3203,3153,3038,2979,2899,2851,2823,2819
35,Minority Interest,43.23,40.95,1.07,0.08,3.1,14.55,6.6,8.12,-14.92,-12.49
36,Shareholders' Equity,3437,3386,3204,3153,3041,2993,2905,2859,2808,2806
37,Total Liabilities & Equity,5328,4785,4554,4314,4503,4367,4251,3907,4048,3870
38,Total Debt,819.96,344.32,515.61,349.92,737.27,427.65,563.48,422.11,715.65,290.7
39,Net Cash (Debt),812.01,896.01,751.5,691.93,248.54,414.13,322.06,372.63,184.91,624.62
40,Net Cash Growth,8.05%,29.49%,202.37%,67.08%,-22.83%,11.14%,74.17%,-40.34%,-36.46%,435.25%
41,Net Cash Per Share,0.60,0.66,0.56,0.51,0.18,0.31,0.24,0.28,0.14,0.47
42,Filing Date Shares Outstanding,1355,1355,1355,1355,1355,1353,1353,1323,1333,1333
43,Total Common Shares Outstanding,1355,1355,1355,1355,1355,1353,1353,1323,1333,1333
44,Working Capital,1829,1783,1595,1529,1719,1376,1303,1413,1254,1281
45,Book Value Per Share,2.51,2.47,2.36,2.33,2.24,2.20,2.14,2.16,2.12,2.11
46,Tangible Book Value,1758,1709,1567,1518,1402,1325,1251,1203,1187,1183
47,Tangible Book Value Per Share,1.30,1.26,1.16,1.12,1.04,0.98,0.92,0.91,0.89,0.89
48,Machinery,-,204.89,-,185.12,-,210.45,-,194.11,-,177.57
49,Leasehold Improvements,-,7.66,-,7.34,-,4.56,-,3.82,-,-
