,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,20034,40147,29912,32970,39344,19635,8258,-,11237,-,10703,16509,-,9691,15387,31131,40375,17596,-,23505,Upgrade
1,Short-Term Investments,55000,10750,13750,16750,12700,6250,12250,-,20238,-,10243,10829,-,16357,16289,16289,16169,12095,-,14299,Upgrade
2,Trading Asset Securities,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,75784,50897,43662,49720,52044,25885,20508,-,31475,-,20946,27338,26048,26048,31676,47420,56544,29691,-,37804,Upgrade
4,Cash Growth,45.61%,96.63%,112.90%,-,65.35%,-,-2.09%,-,20.84%,-,-33.88%,-42.35%,-53.93%,-12.27%,-,25.44%,9.83%,35.54%,-,-13.46%,Upgrade
5,Accounts Receivable,33808,60415,32343,20082,25256,45760,26032,-,37951,-,23769,32922,-,48616,8216,7794,11920,51133,-,7733,Upgrade
6,Other Receivables,1199,4618,5081,4483,3524,5907,4427,-,3866,-,3049,2336,-,1764,2085,1232,2332,3104,-,1378,Upgrade
7,Receivables,37152,65033,37423,24565,28780,51667,30459,-,41817,-,26818,35258,-,50380,10301,9026,14252,54237,-,9111,Upgrade
8,Inventory,32597,59844,42487,35869,42490,78186,48345,-,52756,-,27567,28686,-,33295,35717,23045,25625,39423,-,23990,Upgrade
9,Prepaid Expenses,2623,4874,6837,4752,4366,4558,5226,-,5605,-,5820,5183,-,4029,5225,3713,5143,5106,-,3883,Upgrade
10,Other Current Assets,1404,1663,696.35,1721,3715,1678,891.16,-,763.42,-,1482,753.83,-,3000,2780,1801,1535,3395,-,2225,Upgrade
11,Total Current Assets,149560,182311,131105,116627,131395,161973,105429,-,132417,-,82632,97220,-,116752,85699,85005,103100,131852,-,77013,Upgrade
12,"Property, Plant & Equipment",16464,16482,16558,16614,16944,17293,17489,-,18221,-,19031,19417,-,20931,21299,21676,23092,23093,-,19869,Upgrade
13,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.24,Upgrade
14,Other Intangible Assets,1001,1090,865.62,1038,1210,1236,1046,-,1308,-,1569,1700,-,779.42,831.38,883.34,-,-,-,-,Upgrade
15,Other Long-Term Assets,9007,9652,9778,10286,11876,12291,11585,-,12192,-,13636,11093,-,8826,9462,12696,11781,11766,-,11099,Upgrade
16,Total Assets,176032,209535,158308,144564,161424,192793,135549,-,164138,-,116868,129430,-,147289,117292,120260,137973,166712,-,107996,Upgrade
17,Accounts Payable,47071,92981,47217,33915,43505,80983,40479,-,49057,-,39847,43120,-,74009,39914,23659,39014,84522,-,20901,Upgrade
18,Accrued Expenses,37062,31573,30922,26780,33825,31568,20628,-,28378,-,10620,14397,-,8319,14057,28909,27382,17109,-,25354,Upgrade
19,Current Income Taxes Payable,3016,2570,2230,543.22,2374,2702,1919,-,3708,-,10.51,1371,-,1047,1179,1327,5765,3094,-,706.09,Upgrade
20,Other Current Liabilities,5584,3985,3510,3460,3692,4408,3778,-,11241,-,2312,2155,-,2604,2234,3315,2213,3995,-,3736,Upgrade
21,Total Current Liabilities,92734,131110,83880,64698,83396,119661,66803,-,92384,-,52789,61044,-,85980,57384,57211,74373,108720,-,50697,Upgrade
22,Total Liabilities,92734,131110,83880,64698,83396,119661,66803,-,92384,-,52789,61044,-,85980,57384,57211,74373,108720,-,50697,Upgrade
23,Common Stock,39779,39779,39779,39779,39779,39779,39779,-,39779,-,39779,39779,-,39779,30600,30600,30600,30600,-,30600,Upgrade
