,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,1222,2011,-,-,-
1,Enterprise Value,1028,1937,-,-,-
2,Last Close Price,2.76,4.51,-,-,-
3,PE Ratio,13.05,31.77,-,-,-
4,PS Ratio,0.60,1.55,-,-,-
5,PB Ratio,2.05,3.40,-,-,-
6,P/TBV Ratio,4.47,4.47,-,-,-
7,P/FCF Ratio,8.54,37.46,-,-,-
8,P/OCF Ratio,13.08,31.45,-,-,-
9,EV/Sales Ratio,0.64,1.49,-,-,-
10,EV/EBITDA Ratio,6.97,21.18,-,-,-
11,EV/EBIT Ratio,10.44,24.24,-,-,-
12,EV/FCF Ratio,7.18,36.10,-,-,-
13,Debt / Equity Ratio,0.56,0.56,0.56,-,0.84
14,Debt / EBITDA Ratio,2.23,2.31,2.31,-,1.68
15,Debt / FCF Ratio,2.30,6.14,10.14,-,37.11
16,Asset Turnover,1.42,-,-,-,
17,Quick Ratio,1.96,1.96,1.96,-,-
18,Current Ratio,2.10,2.10,2.10,-,-
19,Return on Equity (ROE),10.89%,-,-,-,
20,Return on Assets (ROA),4.61%,-,-,-,
21,Return on Capital (ROIC),5.63%,-,-,-,
22,Return on Capital Employed (ROCE),12.85%,10.42%,7.72%,-,-
23,Earnings Yield,6.19%,3.15%,-,-,-
24,FCF Yield,11.70%,2.67%,-,-,-
25,Dividend Yield,2.54%,0.78%,-,-,-
26,Payout Ratio,0.00%,-,-,79.47%,79.47%
27,Total Shareholder Return,-128.91%,0.78%,-,-,-
