,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,372.7,372.7,230.68,230.68
1,Cost of Revenue,314.07,314.07,188.58,188.58
2,Gross Profit,58.63,58.63,42.1,42.1
3,"Selling, General & Admin",27.93,27.93,16.61,16.61
4,Research & Development,8.74,8.74,5.95,5.95
5,Operating Expenses,39.33,39.33,24.2,24.2
6,Operating Income,19.3,19.3,17.89,17.89
7,Interest Expense,-2.88,-2.88,-2.77,-2.77
8,Interest & Investment Income,1.21,1.21,0.29,0.29
9,Earnings From Equity Investments,-,-,-0.12,-0.12
10,Currency Exchange Gain (Loss),1.04,1.04,2.24,2.24
11,Other Non Operating Income (Expenses),-0.53,-0.53,-0.46,-0.46
12,EBT Excluding Unusual Items,18.13,18.13,17.07,17.07
13,Gain (Loss) on Sale of Investments,0.28,0.28,0.39,0.39
14,Pretax Income,18.41,18.41,17.46,17.46
15,Income Tax Expense,3.43,3.43,2.99,2.99
16,Net Income,14.98,14.98,14.47,14.47
17,Net Income to Common,14.98,14.98,14.47,14.47
18,Shares Outstanding (Basic),360,360,342,342
19,Shares Outstanding (Diluted),369,369,342,342
20,EPS (Basic),0.04,0.04,0.04,0.04
21,EPS (Diluted),0.04,0.04,0.04,0.04
22,Free Cash Flow,19.7,19.7,5.28,5.28
23,Free Cash Flow Per Share,0.05,0.05,0.02,0.02
24,Dividend Per Share,0.016,0.016,-,-
25,Gross Margin,15.73%,15.73%,18.25%,18.25%
26,Operating Margin,5.18%,5.18%,7.76%,7.76%
27,Profit Margin,4.02%,4.02%,6.27%,6.27%
28,Free Cash Flow Margin,5.28%,5.28%,2.29%,2.29%
29,EBITDA,21.93,21.93,20.63,20.63
30,EBITDA Margin,5.88%,5.88%,8.94%,8.94%
31,D&A For EBITDA,2.64,2.64,2.73,2.73
32,EBIT,19.3,19.3,17.89,17.89
33,EBIT Margin,5.18%,5.18%,7.76%,7.76%
34,Effective Tax Rate,18.65%,18.65%,17.10%,17.10%
