,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,6528,6528,4704,4704,4325,3752,3752
1,Revenue Growth (YoY),50.93%,73.97%,25.35%,-,-,-,-
2,Cost of Revenue,4185,4185,4100,4100,4426,3946,3946
3,Gross Profit,2343,2343,603.21,603.21,-100.78,-193.8,-193.8
4,"Selling, General & Admin",469.31,469.31,373.39,373.39,378.86,320.14,320.14
5,Other Operating Expenses,-196.88,-196.88,-12.87,-12.87,-203.48,-23.67,-23.67
6,Operating Expenses,269.26,269.26,363.7,363.7,173.76,298.1,298.1
7,Operating Income,2074,2074,239.51,239.51,-274.53,-491.9,-491.9
8,Interest Expense,-105.06,-105.06,-111.58,-111.58,-120.16,-113.24,-113.24
9,Interest & Investment Income,-,-,10.72,10.72,-,12.64,12.64
10,Earnings From Equity Investments,-0.27,-0.27,-0.2,-0.2,-0.05,-,-
11,Currency Exchange Gain (Loss),-3.71,-3.71,3.71,3.71,-,-,-
12,EBT Excluding Unusual Items,1965,1965,142.16,142.16,-394.74,-592.51,-592.51
13,Gain (Loss) on Sale of Investments,-0.45,-0.45,0.45,0.45,-2.68,2.68,2.68
14,Gain (Loss) on Sale of Assets,-39.12,-39.12,39.12,39.12,-31.24,31.24,31.24
15,Asset Writedown,-720.31,-720.31,714.13,714.13,609.09,-617.74,-617.74
16,Pretax Income,1205,1205,895.86,895.86,180.43,-1176,-1176
17,Income Tax Expense,-0.12,-0.12,0.17,0.17,-0.02,0.2,0.2
18,Earnings From Continuing Operations,1205,1205,895.69,895.69,180.45,-1177,-1177
19,Minority Interest in Earnings,-37.61,-37.61,-12.46,-12.46,22.6,85.91,85.91
20,Net Income,1168,1168,883.23,883.23,203.04,-1091,-1091
21,Net Income to Common,1168,1168,883.23,883.23,203.04,-1091,-1091
22,Net Income Growth,475.03%,-,-,-,-,-,-
23,Shares Outstanding (Basic),389,389,389,389,366,362,362
24,Shares Outstanding (Diluted),389,389,389,389,366,362,362
25,Shares Change (YoY),6.33%,7.38%,7.43%,-,-,-,-
26,EPS (Basic),3.00,3.00,2.27,2.27,0.56,-3.01,-3.01
27,EPS (Diluted),3.00,3.00,2.27,2.27,0.56,-3.01,-3.01
28,EPS Growth,440.82%,-,-,-,-,-,-
29,Free Cash Flow,-,-,581.79,581.79,-,-302.05,-302.05
30,Free Cash Flow Per Share,-,-,1.50,1.50,-,-0.83,-0.83
31,Gross Margin,35.90%,35.90%,12.82%,12.82%,-2.33%,-5.16%,-5.16%
32,Operating Margin,31.77%,31.77%,5.09%,5.09%,-6.35%,-13.11%,-13.11%
33,Profit Margin,17.89%,17.89%,18.78%,18.78%,4.69%,-29.06%,-29.06%
34,Free Cash Flow Margin,-,-,12.37%,12.37%,-,-8.05%,-8.05%
35,EBITDA,2219,2217,382.07,382.07,-150.98,-368.35,-368.35
36,EBITDA Margin,34.00%,33.95%,8.12%,8.12%,-3.49%,-9.82%,-9.82%
37,D&A For EBITDA,145.47,142.56,142.56,142.56,123.55,123.55,123.55
38,EBIT,2074,2074,239.51,239.51,-274.53,-491.9,-491.9
39,EBIT Margin,31.77%,31.77%,5.09%,5.09%,-6.35%,-13.11%,-13.11%
40,Effective Tax Rate,-,-,0.02%,0.02%,-,-,-
