,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,4492,4492,3490,3490,2545,-,-
1,Short-Term Investments,-,-,81.69,81.69,-,-,-
2,Trading Asset Securities,741.65,741.65,30.31,30.31,0.67,-,-
3,Cash & Short-Term Investments,5234,5234,3602,3602,2545,-,3251
4,Cash Growth,105.60%,-,10.77%,-,-,-,-
5,Accounts Receivable,11.42,11.42,5.94,5.94,7.3,-,-
6,Other Receivables,-,-,90.31,90.31,-,-,-
7,Receivables,11.42,11.42,102.55,102.55,7.3,-,-
8,Inventory,750.06,750.06,846.59,846.59,706.53,-,-
9,Prepaid Expenses,290.5,290.5,25.9,25.9,427.26,-,-
10,Other Current Assets,5480,5480,6035,6035,4440,-,-
11,Total Current Assets,11765,11765,10612,10612,8127,-,-
12,"Property, Plant & Equipment",9914,9914,9938,9938,9687,-,-
13,Long-Term Investments,10.22,10.22,4.76,4.76,5.15,-,-
14,Goodwill,14.73,14.73,14.73,14.73,14.73,-,-
15,Other Intangible Assets,6.03,6.03,5.01,5.01,2.92,-,-
16,Long-Term Deferred Tax Assets,0,0,0.01,0.01,0.01,-,-
17,Other Long-Term Assets,1345,1345,1273,1273,1098,-,-
18,Total Assets,23056,23056,21847,21847,18934,-,-
19,Accounts Payable,1945,1945,1984,1984,1891,-,-
20,Accrued Expenses,4697,4697,214.56,214.56,3802,-,-
21,Short-Term Debt,-,-,1.33,1.33,-,-,-
22,Current Portion of Long-Term Debt,2273,2273,4634,4634,3891,-,-
23,Current Portion of Leases,125.04,125.04,100.03,100.03,95.24,-,-
24,Current Income Taxes Payable,0.69,0.69,0.92,0.92,0.72,-,-
25,Current Unearned Revenue,-,-,69.06,69.06,-,-,-
26,Other Current Liabilities,22.93,22.93,3813,3813,10.03,-,-
27,Total Current Liabilities,9063,9063,10817,10817,9691,-,-
28,Long-Term Debt,2013,2013,1765,1765,2208,-,-
29,Long-Term Leases,2569,2569,2759,2759,2383,-,-
30,Long-Term Unearned Revenue,824.6,824.6,855.84,855.84,797.56,-,-
31,Total Liabilities,14471,14471,16197,16197,15079,-,-
32,Common Stock,388.88,388.88,388.88,388.88,388.88,-,-
33,Retained Earnings,-,-,3508,3508,-,-,-
34,Comprehensive Income & Other,8089,8089,1821,1821,3563,-,-
35,Total Common Equity,8478,8478,5718,5718,3952,-,4970
36,Minority Interest,107.7,107.7,-68.12,-68.12,-96.55,-,-
37,Shareholders' Equity,8585,8585,5650,5650,3855,-,5064
38,Total Liabilities & Equity,23056,23056,21847,21847,18934,-,-
39,Total Debt,6980,6980,9260,9260,8578,-,9058
40,Net Cash (Debt),-1747,-1747,-5658,-5658,-6032,-,-5807
41,Net Cash Per Share,-4.49,-4.49,-14.55,-14.55,-16.50,-,-16.04
42,Filing Date Shares Outstanding,388.67,388.67,388.88,388.88,365.55,361.96,361.96
43,Total Common Shares Outstanding,388.67,388.67,388.88,388.88,365.55,361.96,361.96
44,Working Capital,2702,2702,-205.41,-205.41,-1564,-,-
45,Book Value Per Share,21.81,21.81,14.70,14.70,10.81,-,13.73
46,Tangible Book Value,8457,8457,5698,5698,3934,-,4952
47,Tangible Book Value Per Share,21.76,21.76,14.65,14.65,10.76,-,13.68
