,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,13436,10947,18530,20766,20688,-,-,-
1,Enterprise Value,15394,16954,24537,27251,27164,-,-,-
2,Last Close Price,34.55,28.15,47.65,53.40,53.20,-,-,-
3,PE Ratio,3.08,2.51,5.33,21.99,-17.43,-,-,-
4,Forward PE,5.70,4.02,7.03,8.72,13.35,-,-,-
5,PS Ratio,0.56,0.46,0.83,1.11,1.15,-,-,-
6,PB Ratio,1.49,1.20,1.95,3.42,3.38,-,-,-
7,P/TBV Ratio,1.22,1.22,1.98,3.39,3.35,-,-,-
8,P/FCF Ratio,-,-,-,22.43,-855.78,-,-,-
9,P/OCF Ratio,-,-,-,12.64,24.22,-,-,-
10,EV/Sales Ratio,0.64,0.71,1.09,1.45,1.52,-,-,-
11,EV/EBITDA Ratio,3.54,3.06,7.83,103.60,-49.57,-,-,-
12,EV/EBIT Ratio,4.13,3.44,9.72,-88.24,-24.60,-,-,-
13,EV/FCF Ratio,-,-,-,29.44,-1123.66,-,-,-
14,Debt / Equity Ratio,0.81,0.81,0.81,1.64,1.64,2.23,-,1.79
15,Debt / EBITDA Ratio,1.34,0.79,0.79,5.00,5.00,-,-,-
16,Debt / FCF Ratio,-,-,-,10.75,-415.16,-,-,-
17,Asset Turnover,1.13,1.16,0.86,-,-,-,-,
18,Inventory Turnover,19.98,22.32,20.97,19.37,-,-,-,-
19,Quick Ratio,0.58,0.58,0.58,0.34,0.34,0.26,-,-
20,Current Ratio,1.30,1.30,1.30,0.98,0.98,0.84,-,-
21,Return on Equity (ROE),56.15%,67.73%,63.41%,-,-,-,-,
22,Return on Assets (ROA),22.49%,23.09%,2.74%,-,-,-,-,
23,Return on Capital (ROIC),33.31%,34.03%,4.02%,-,-,-,-,
24,Return on Capital Employed (ROCE),33.07%,33.07%,16.28%,-2.61%,-9.24%,-,-,-
25,Earnings Yield,32.49%,39.87%,18.75%,4.55%,-5.74%,-,-,-
26,FCF Yield,-,-,4.46%,-0.12%,-,-,-,
27,Buyback Yield / Dilution,-6.84%,-6.33%,-7.38%,-7.43%,-,-,-,-
28,Total Shareholder Return,-4.04%,-6.33%,-7.38%,-7.43%,-,-,-,-
