,Fiscal Quarter,Current,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+18 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Apr '23 Apr 1, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Apr '21 Apr 1, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Apr '20 Apr 1, 2020","Dec '19 Dec 31, 2019",+18 Quarters
0,Market Capitalization,11526723,12128118,12696101,10490989,8820449,7751304,5940439,4924751,4537186,7550839,7149910,13497960,16983918,7481551,8721990,9080117,7047768,7613002,7524684,5881972,11534317,Upgrade
1,Market Cap Growth,56.47%,56.47%,113.72%,113.03%,94.40%,2.65%,-16.92%,-63.51%,-73.29%,0.93%,-18.02%,48.65%,140.98%,-1.73%,15.91%,54.37%,-38.90%,-10.77%,1.43%,-26.33%,83.94%,Upgrade
2,Enterprise Value,12048694,13356763,14292621,7923725,6253185,4430430,2697353,2271654,1884088,3930523,3063438,9018947,14767370,5449467,7765788,9215859,6546741,7963633,7346036,5742828,11200305,Upgrade
3,Last Close Price,17250.00,18150.00,19000.00,15700.00,13200.00,11600.00,8571.36,7105.84,6546.63,9458.28,8730.29,16481.48,20737.83,13485.26,14106.39,15655.84,12879.75,13571.72,13058.71,10207.87,20017.23,Upgrade
4,PE Ratio,12.23,12.86,16.31,14.09,15.42,19.39,20.71,20.02,20.38,-,18.84,33.70,35.64,14.82,11.30,10.02,7.75,7.65,9.64,9.32,21.37,Upgrade
5,PS Ratio,2.10,2.21,2.94,2.76,3.00,3.74,2.73,2.35,1.82,2.93,2.77,4.90,7.64,3.60,2.39,2.05,1.54,1.65,2.37,2.63,6.69,Upgrade
6,PB Ratio,1.25,0.94,1.00,0.84,0.71,0.67,0.50,0.42,0.39,0.62,0.57,1.09,1.39,0.79,0.94,1.03,0.85,1.07,1.22,1.25,2.58,Upgrade
7,P/TBV Ratio,1.32,1.32,1.42,1.19,1.00,0.95,0.70,0.59,0.54,0.88,0.81,1.53,1.95,1.23,1.47,1.72,1.48,1.56,1.60,1.32,2.63,Upgrade
8,P/FCF Ratio,-,-4.18,-2.99,-,-,-,31.63,-7.14,-5.61,-,-,-,280.06,-,-,27.49,-241.59,-25.46,-,-18.99,-,Upgrade
9,P/OCF Ratio,-,-4.22,-3.07,-,-,-,13.22,-11.64,-6.83,-,-,-,274.88,-,-,27.24,-352.11,-26.25,-,-19.38,-,Upgrade
10,EV/Sales Ratio,2.20,2.44,3.31,2.08,2.13,2.14,1.24,1.09,0.75,1.52,1.19,3.27,6.64,2.62,2.13,2.09,1.43,1.72,2.31,2.57,6.49,Upgrade
11,EV/EBITDA Ratio,6.42,7.12,9.87,6.31,7.07,8.66,5.16,4.91,4.59,10.37,6.21,15.88,23.71,8.74,8.07,8.78,6.41,7.30,9.25,8.59,19.48,Upgrade
12,EV/EBIT Ratio,6.87,7.61,10.37,6.65,7.61,9.81,5.80,5.56,5.40,12.10,6.97,17.47,25.37,9.41,8.39,9.08,6.62,7.50,9.56,8.89,20.11,Upgrade
13,EV/FCF Ratio,-4.16,-4.61,-3.37,-,-,-,14.36,-3.29,-2.33,-,-,-,243.51,-,-,27.90,-224.41,-26.63,-,-18.54,-,Upgrade
14,Debt / Equity Ratio,-,-,-,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.12,0.07,0.04,0.04,0.01,0.05,0.19,0.24,0.33,0.27,0.21,Upgrade
15,Debt / EBITDA Ratio,-,-,-,0.02,0.02,0.77,0.07,0.06,0.06,7.40,10.43,1.44,0.79,0.57,0.30,0.60,2.38,0.88,2.57,1.90,1.03,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,0.14,-0.06,-0.05,-,-,-,8.60,-,-,1.45,-53.87,-5.75,-,-4.18,-,Upgrade
17,Asset Turnover,0.37,0.22,0.44,0.44,0.07,0.09,0.21,0.20,0.09,0.06,0.32,0.26,0.13,0.16,0.23,0.26,0.77,0.50,0.36,0.38,Upgrade,
18,Inventory Turnover,0.42,0.37,0.19,0.38,0.47,0.15,0.16,0.41,0.43,0.28,0.22,1.34,0.78,0.24,0.42,0.68,0.95,2.09,1.15,0.76,0.82,Upgrade
