,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Cash & Equivalents,14.1,27.54,48.68,47.3,-,-
1,Short-Term Investments,-,6.46,-,73.93,-,-
2,Cash & Short-Term Investments,14.1,34,48.68,121.23,-,-
3,Cash Growth,-71.04%,-71.95%,-,-,-,-
4,Receivables,264.97,281.78,244.91,214.76,-,-
5,Inventory,1.24,1.5,3.13,5.62,-,-
6,Prepaid Expenses,7.41,-,-,-,-,-
7,Other Current Assets,-,5.34,10.01,4.04,-,-
8,Total Current Assets,287.71,322.62,306.73,345.65,-,-
9,"Property, Plant & Equipment",4.18,5.44,5.53,4.82,-,-
10,Long-Term Investments,13.51,13.51,13.51,-,-,-
11,Other Intangible Assets,0.06,0.1,0.14,0.16,-,-
12,Long-Term Accounts Receivable,0.01,0.03,1.98,1.98,-,-
13,Long-Term Deferred Tax Assets,7.1,7.1,6.4,5.97,-,-
14,Other Long-Term Assets,-,1.97,-,0.11,-,-
15,Total Assets,312.57,350.77,334.29,358.69,-,-
16,Accounts Payable,55.18,59.34,63.41,55.68,-,-
17,Accrued Expenses,-,5.26,-,13.03,-,-
18,Short-Term Debt,5.01,5.01,10.31,10.37,-,-
19,Current Portion of Leases,0.91,1,0.87,1.57,-,-
20,Current Income Taxes Payable,1.74,6.17,3.84,4.98,-,-
21,Current Unearned Revenue,-,2.58,-,5.22,-,-
22,Other Current Liabilities,7.43,2.11,10.51,11.55,-,-
23,Total Current Liabilities,70.27,81.47,88.93,102.39,-,-
24,Long-Term Leases,0.45,0.91,1.43,0.21,-,-
25,Long-Term Deferred Tax Liabilities,0.01,0.01,-,-,-,-
26,Total Liabilities,70.74,82.39,90.36,102.6,-,-
27,Common Stock,15.65,15.65,15.65,15.65,-,-
28,Additional Paid-In Capital,175.31,175.31,175.31,175.31,-,-
29,Retained Earnings,31.7,62.44,47.24,36.95,-,-
30,Treasury Stock,-23.84,-23.84,-23.84,-,-,-
31,Comprehensive Income & Other,43.02,38.82,29.58,28.18,-,-
32,Shareholders' Equity,241.83,268.38,243.93,256.08,-,-
33,Total Liabilities & Equity,312.57,350.77,334.29,358.69,-,-
34,Total Debt,6.38,6.92,12.61,12.15,-,-
35,Net Cash (Debt),7.72,27.08,36.07,109.08,-,-
36,Net Cash Growth,-78.59%,-75.17%,-,-,-,-
37,Net Cash Per Share,0.04,0.13,0.16,0.57,-,-
38,Filing Date Shares Outstanding,214.34,214.34,214.34,225,189,631.7
39,Total Common Shares Outstanding,214.34,214.34,214.34,225,189,631.7
40,Working Capital,217.44,241.16,217.81,243.26,-,-
41,Book Value Per Share,1.13,1.25,1.14,1.14,-,-
42,Tangible Book Value,241.77,268.28,243.79,255.93,-,-
43,Tangible Book Value Per Share,1.13,1.25,1.14,1.14,-,-
44,Machinery,-,7.45,-,7.69,-,-
45,Leasehold Improvements,-,1.66,-,1.31,-,-
