,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Market Capitalization,561,225,326,452,315,-,-
1,Market Cap Growth,-50.24%,-50.24%,3.43%,-,-,-,-
2,Enterprise Value,552,195,287,329,286,-,-
3,Last Close Price,2.51,1.05,1.52,2.01,1.40,-,-
4,PE Ratio,-,-,11.60,12.77,9.78,-,-
5,PS Ratio,1.70,0.71,0.67,1.01,0.86,-,-
6,PB Ratio,2.07,0.87,1.10,1.72,1.09,-,-
7,P/TBV Ratio,0.87,0.87,1.10,1.72,1.09,-,-
8,EV/Sales Ratio,1.74,0.62,0.59,0.73,0.78,-,-
9,EV/EBITDA Ratio,-,-,7.72,8.02,7.67,-,-
10,EV/EBIT Ratio,-,-,8.10,8.32,7.99,-,-
11,Debt / Equity Ratio,0.03,0.03,0.03,0.05,0.05,-,-
12,Return on Capital Employed (ROCE),-,-,11.93%,14.91%,12.34%,-,-
13,Earnings Yield,-2.98%,-7.42%,8.62%,7.83%,10.23%,-,-
14,FCF Yield,-5.13%,-12.77%,-14.19%,-8.69%,-0.18%,-,-
15,Buyback Yield / Dilution,-2.25%,5.25%,-11.52%,-19.69%,69.46%,-,-
16,Total Shareholder Return,-2.25%,5.25%,-11.52%,-19.69%,69.46%,-,-
