,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,326.35,435.48,374.77,431.08,711.92,259.18,-,284.73,-,-,-,230.44,230.44,272.29,272.29
1,Short-Term Investments,-,299.76,-,270.5,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,326.35,735.24,374.77,701.58,711.92,259.18,284.73,284.73,-,-,230.44,230.44,230.44,272.29,272.29
4,Cash Growth,-54.16%,183.68%,31.62%,146.40%,-,-,23.56%,23.56%,-,-,-15.37%,-,-,-,-
5,Accounts Receivable,257,269.29,231.88,230.28,170.92,166.86,-,135.19,-,-,-,119.29,119.29,134.43,134.43
6,Other Receivables,2.11,2.06,2.05,1.08,2.05,3.23,-,1.3,-,-,-,1.42,1.42,1.6,1.6
7,Receivables,259.11,271.36,233.93,231.37,172.97,170.09,-,136.49,-,-,-,120.71,120.71,136.03,136.03
8,Inventory,134.77,118.04,123.88,106.05,116.98,125.39,-,112.53,-,-,-,103.66,103.66,111.11,111.11
9,Other Current Assets,416.88,12.32,333.97,6.23,9.03,16.37,-,8.96,-,-,-,7.6,7.6,5.63,5.63
10,Total Current Assets,1137,1137,1067,1045,1011,571.04,-,542.71,-,-,-,462.4,462.4,525.06,525.06
11,"Property, Plant & Equipment",158.3,131.58,124.5,120.63,119.88,122.17,-,128.95,-,-,-,132.75,132.75,104.12,104.12
12,Long-Term Investments,162.01,160.67,157.51,159.28,160.46,142.66,-,124.54,-,-,-,104.48,104.48,82.13,82.13
