,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,87.63,122.85,85.12,125.92,96.33,97.08,74.54,67.31,92.44,89.1,89.1,76.98,76.98,89.27,89.27
1,Other Revenue,-2.45,2.45,-,10.3,-4.75,4.75,-,10.43,-4.52,2.26,2.26,1.29,1.29,1.32,1.32
2,Revenue,85.19,125.29,85.12,136.22,91.59,101.83,74.54,77.74,87.93,91.35,91.35,78.27,78.27,90.59,90.59
3,Revenue Growth (YoY),-6.99%,23.04%,14.19%,75.22%,4.16%,11.46%,-18.40%,-0.68%,12.34%,0.84%,0.84%,-,-,-,-
4,Cost of Revenue,43.49,66.5,43.12,84.98,45.5,51.21,38.5,38.12,42.28,41.71,41.71,37.06,37.06,38.56,38.56
5,Gross Profit,41.7,58.8,42,51.25,46.09,50.61,36.04,39.63,45.65,49.64,49.64,41.21,41.21,52.04,52.04
6,"Selling, General & Admin",22.05,21.7,19.22,21.2,20.36,20.48,16.99,17.9,17.34,17.18,17.18,18.86,18.86,14.27,14.27
7,Research & Development,22.53,22.25,22.98,22.82,19.98,18.13,17.24,16.91,17.17,17.16,17.16,15.03,15.03,14.37,14.37
8,Other Operating Expenses,-11.63,-2.36,-0.14,5.6,-2.91,-7.16,-2.6,6.84,-3.7,-1,-1,-0.55,-0.55,-0.92,-0.92
9,Operating Expenses,31.8,42.17,42.91,52.96,37.84,33.27,32.34,42.21,29.8,34.16,34.16,32.26,32.26,27.86,27.86
10,Operating Income,9.9,16.63,-0.92,-1.71,8.24,17.34,3.69,-2.58,15.85,15.48,15.48,8.94,8.94,24.17,24.17
11,Interest Expense,-0.01,-0.47,-0.09,-0.61,-0.06,-0.12,-0.05,-0.27,-,-0.1,-0.1,-0.53,-0.53,-0.91,-0.91
12,Interest & Investment Income,2.86,2.92,3.26,5.45,2,0.77,1.08,0.91,1.02,0.8,0.8,0.94,0.94,0.85,0.85
13,Currency Exchange Gain (Loss),-0.04,0.04,-,0.17,-0.37,0.37,-,0.57,-0.33,0.16,0.16,-0.04,-0.04,-0.03,-0.03
