,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,15460,10644,11100,15140,14396,19900,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-46.51%,-46.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,15165,9937,10746,14440,13696,19653,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,38.65,26.61,27.71,37.80,35.94,49.68,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,295.61,206.97,192.76,279.45,280.28,483.00,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,35.21,24.65,25.33,36.50,35.62,57.57,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,11.40,7.84,8.38,12.00,11.48,16.09,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,7.92,7.92,8.48,12.15,11.62,16.28,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-541.27,-,-,-,546.51,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-2136.83,-,-,-,492.98,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,35.12,23.01,24.52,34.82,33.89,56.85,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,270.71,268.49,303.70,397.45,334.29,489.70,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,415.70,415.70,483.07,-,-,736.25,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-771.15,-505.32,-,-,-,539.72,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.04,-,-,0.02,0.02,0.02,0.09,0.09
15,Debt / EBITDA Ratio,0.70,0.56,0.28,2.01,0.53,0.20,0.10,1.09,1.96,-,-,0.20,0.31,0.31,0.50,0.50
16,Debt / FCF Ratio,-,-1.49,-,-,-,0.26,-,0.59,0.63,-,-,0.45,0.47,0.81,10.68,21.35
17,Asset Turnover,0.23,0.35,0.25,0.40,0.33,-,-,-,-,-,-,0.42,0.41,0.46,-,
18,Inventory Turnover,1.89,1.38,2.20,1.50,3.05,1.50,-,-,-,-,-,-,1.43,1.38,1.39,-
19,Quick Ratio,4.64,4.64,7.52,4.89,8.30,9.51,4.37,-,4.09,-,-,-,3.92,3.92,3.20,3.20
20,Current Ratio,9.01,9.01,8.49,8.57,9.30,10.87,5.82,-,5.26,-,-,-,5.16,5.16,4.12,4.12
21,Return on Equity (ROE),0.70%,6.62%,1.36%,7.18%,3.49%,9.74%,0.88%,-,-,-,8.16%,6.17%,6.30%,14.09%,-,
22,Return on Assets (ROA),1.65%,2.89%,-0.16%,-0.31%,1.85%,-,-,-,-,-,-,2.98%,2.91%,7.68%,-,
23,Return on Capital (ROIC),1.81%,3.16%,-0.18%,-0.34%,2.02%,5.56%,1.20%,-,-,-,5.78%,3.34%,3.31%,8.87%,-,
24,Return on Capital Employed (ROCE),1.73%,1.73%,1.65%,-,-,2.14%,4.36%,-,-,-,-,-,10.03%,8.68%,7.33%,3.66%
25,Earnings Yield,0.33%,0.48%,0.52%,0.36%,0.36%,0.21%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.13%,-0.18%,-0.06%,-0.05%,0.05%,0.18%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.09%,-,-,-,0.10%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,30.43%,552.17%,0.35%,1.61%,1.97%,0.39%,0.23%,3.05%,0.24%,0.56%,-,-,10.72%,10.72%,131.74%,131.74%
29,Buyback Yield / Dilution,-9.59%,-6.86%,38.01%,-147.41%,-9.30%,2.45%,-51.81%,45.24%,7.30%,-3.64%,-55.39%,-55.39%,-,-,-,-
30,Total Shareholder Return,-9.50%,-6.86%,38.01%,-147.41%,-9.20%,2.45%,-51.81%,45.24%,7.30%,-3.64%,-55.39%,-55.39%,-,-,-,-
