,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,149.55,403.2,360.77,953.31,464.43,503.38,465.09,934.01,124.8,113.57,191.23,996.79,-,236.39,-,205.77,-,145.15,145.15,148.99
1,Short-Term Investments,-,-,-,121.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1081,777.23,720.07,122.47,686.82,620.65,671.65,188.34,967.28,964.91,924.25,129.55,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1230,1180,1081,1197,1151,1124,1137,1122,1092,1078,1115,1126,-,236.39,205.77,205.77,145.15,145.15,145.15,148.99
4,Cash Growth,6.88%,5.02%,-4.92%,6.64%,5.42%,4.22%,1.91%,-0.35%,-,356.22%,442.11%,447.39%,-,62.86%,41.76%,38.10%,-,-,-,-
5,Accounts Receivable,154.85,167.95,178.92,123.94,164.92,159.59,148.91,113.27,131.29,127.3,126.05,110.03,-,122.07,-,129.9,-,156.77,156.77,120.91
6,Other Receivables,3.98,10.75,3.68,13.61,8.15,10.39,5.27,7.89,3.77,7.2,2.93,17.02,-,7.85,-,14.39,-,9.13,9.13,5.41
7,Receivables,158.82,181.43,182.61,137.55,173.07,169.98,154.18,121.16,135.06,134.5,128.97,127.05,-,129.93,-,144.3,-,165.9,165.9,126.32
8,Inventory,86.05,87.94,76.44,75.88,80.35,74.9,81.07,89.73,110.27,110.71,107.93,109.59,-,109.47,-,101.06,-,98.45,98.45,121.05
9,Other Current Assets,34.28,17,154.74,25.66,30.04,23.6,31.28,32.77,20.38,13.9,27.37,16.02,-,29.42,-,21.24,-,13.55,13.55,16.07
10,Total Current Assets,1510,1467,1495,1436,1435,1393,1403,1366,1358,1338,1380,1379,-,505.21,-,472.36,-,423.05,423.05,412.42
11,"Property, Plant & Equipment",240.54,234.65,235.01,239.6,232.12,205.02,206.21,204.14,140.46,140.97,145.14,149.42,-,149.37,-,147.96,-,145.47,145.47,151.12
12,Long-Term Investments,6.5,6.52,6.52,0.59,0.6,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
