,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,200.2,191,192.09,182.75,198.62,192.71,171.61,165.42,170.56,147.97,136.2,163.45,139.07,150.6,120.25,164.86,127.03,123.13,123.13,161.51
1,Other Revenue,-1.93,1.93,-,3.04,-1.61,1.61,-,2.92,-2.22,2.22,-,2.2,-1.01,1.01,-,1.53,-0.63,0.31,0.31,1.89
2,Revenue,198.26,192.93,192.09,185.79,197.01,194.33,171.61,168.33,168.34,150.19,136.2,165.65,138.06,151.61,120.25,166.39,126.4,123.45,123.45,163.39
3,Revenue Growth (YoY),0.64%,-0.72%,11.93%,10.37%,17.03%,29.39%,26.00%,1.62%,21.93%,-0.93%,13.26%,-0.44%,9.22%,22.81%,-2.59%,1.83%,-,-,-,-
4,Cost of Revenue,81.24,75.63,80.55,87.23,73.74,87.92,75.29,86.43,70.54,75.26,62.53,88.64,55.67,68.43,53.92,247.39,-117.06,58.53,58.53,278.29
5,Gross Profit,117.03,117.31,111.54,98.56,123.27,106.41,96.32,81.91,97.8,74.93,73.67,77.01,82.39,83.17,66.33,-81,243.47,64.91,64.91,-114.9
6,"Selling, General & Admin",57.52,58.02,59.53,57.55,66.14,51.72,50.46,41.04,42.13,40.27,46.77,44.89,48.18,49.65,44.78,178,-86.28,43.14,43.14,157.37
7,Research & Development,8.37,7.71,6.93,10.9,5.79,5.86,5.33,7.2,6.24,4.72,4.14,4.54,4.79,4.62,3.93,17.39,-6.93,3.47,3.47,16.27
8,Other Operating Expenses,1.42,5.54,-2.05,-0.98,1.3,1.12,1.28,3.04,1.4,1.2,0.19,2.83,1.7,0.76,0.6,-312.25,315.87,1.49,1.49,-325.12
9,Operating Expenses,65.92,70.49,67.54,65.44,73.51,60.24,57.53,58.14,52.34,45.86,47.77,49.32,54.74,54.71,48.87,-113.54,216.24,51.3,51.3,-147.51
10,Operating Income,51.1,46.81,44,33.12,49.76,46.17,38.8,23.77,45.46,29.07,25.9,27.69,27.66,28.47,17.46,32.53,27.22,13.61,13.61,32.62
11,Interest Expense,-0.08,-0.07,-0.09,-0.11,-0.11,-0.11,-0.12,-0.91,-0.36,-0.03,-0.05,-0.06,-0.07,-0.09,-0.09,-,-0.78,-,-,-1.29
12,Interest & Investment Income,1.72,1.51,3.36,5.07,5.19,4.03,3.35,9.36,4.1,3.83,1.64,1.96,0.28,1.14,0.33,1.87,-,0.39,0.39,1.01
13,Currency Exchange Gain (Loss),0.31,-0.31,-,-0.16,0.27,-0.27,-,0.76,-0.46,0.46,-,-0.45,0.27,-0.27,-,-0.71,-0.22,0.11,0.11,-0.06
14,Other Non Operating Income (Expenses),-0.51,-0.09,0,0.37,-0.44,0.14,0.27,-0.26,0.2,0.4,-0.48,0.47,-0.77,0.04,0.07,-0.1,-0,-0.04,-0.04,-7.17
15,EBT Excluding Unusual Items,52.55,47.86,47.27,38.29,54.68,49.95,42.3,32.71,48.95,33.72,27.02,29.61,27.37,29.29,17.78,33.61,26.22,14.07,14.07,25.11
16,Gain (Loss) on Sale of Investments,4.64,5.92,4.94,3.39,3.85,3.81,4.04,2.57,3.9,3.57,3.7,-0.32,0.87,-0.55,0.55,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,-0,-0.21,0.14,-0.31,0.02,-0,0.11,-0.06,0.13,0.02,-0.24,-,-0.07,-0.01,-0.24,0,-0,-0,-0.13
18,Asset Writedown,0.15,0.45,-0.53,4.44,-5.02,2.82,-2.82,6.04,-6.38,1.8,-1.99,1.55,-2.82,-0.16,0.06,-,0.08,-0.04,-0.04,-
19,Other Unusual Items,1.18,4.51,-,1.61,0.07,-0.07,-,8.32,-,-,-,4.51,-0,0,-,9.45,-4.34,2.17,2.17,7.46
20,Pretax Income,58.51,58.73,51.48,47.87,53.27,56.54,43.52,49.76,46.42,39.23,28.74,35.11,25.41,28.52,18.37,42.82,21.97,16.2,16.2,32.44
21,Income Tax Expense,7.63,9.15,7.02,8.33,6.91,7.52,5.61,-2.64,8.52,5.73,4.43,4.8,3.3,4.67,2.96,5.79,3.93,2.95,2.95,4.21
22,Earnings From Continuing Operations,50.87,49.59,44.46,39.54,46.36,49.01,37.91,52.41,37.9,33.49,24.31,30.31,22.11,23.85,15.41,37.03,18.04,13.25,13.25,28.23
23,Minority Interest in Earnings,-2.83,-2.83,-2.25,-4.41,-4.06,-3.94,-2.86,-3.42,-2.9,-3.37,-2.2,-2.88,-1.58,-2.73,-2.4,-4.36,-2.24,-2.48,-2.48,-1.33
24,Net Income,48.04,46.76,42.21,35.12,42.3,45.07,35.05,48.99,34.99,30.12,22.11,27.44,20.53,21.12,13.01,32.67,15.8,10.77,10.77,26.9
25,Net Income to Common,48.04,46.76,42.21,35.12,42.3,45.07,35.05,48.99,34.99,30.12,22.11,27.44,20.53,21.12,13.01,32.67,15.8,10.77,10.77,26.9
26,Net Income Growth,13.57%,3.74%,20.42%,-28.31%,20.88%,49.62%,58.50%,78.56%,70.47%,42.60%,70.01%,-16.03%,29.93%,96.19%,20.81%,21.48%,-,-,-,-
27,Shares Outstanding (Basic),202,202,201,202,202,201,202,202,201,201,202,151,151,151,151,151,151,151,151,151
28,Shares Outstanding (Diluted),202,202,201,202,202,201,202,202,201,201,202,151,151,151,151,151,151,151,151,151
29,Shares Change (YoY),-0.01%,0.42%,-0.42%,-0.01%,0.04%,-0.00%,-0.01%,33.31%,33.26%,33.33%,33.43%,0.03%,0.02%,-0.02%,-0.04%,-,-,-,-,-
30,EPS (Basic),0.24,0.23,0.21,0.17,0.21,0.22,0.17,0.24,0.17,0.15,0.11,0.18,0.14,0.14,0.09,0.22,0.10,0.07,0.07,0.18
31,EPS (Diluted),0.24,0.23,0.21,0.17,0.21,0.22,0.17,0.24,0.17,0.15,0.11,0.18,0.14,0.14,0.09,0.21,0.10,0.07,0.07,0.18
