,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,10872,5530,4484,5656,8435,7593,8268,7465,8466,7718,6896,5325,7305,-,-,-,-,-,-,-,-
1,Market Cap Growth,-27.17%,-27.17%,-45.76%,-24.23%,-0.36%,-1.62%,19.90%,40.19%,15.89%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9690,4403,3460,4555,7334,6521,7185,6413,7414,6679,5821,5132,7112,-,-,-,-,-,-,-,-
3,Last Close Price,54.16,27.55,22.34,27.75,41.38,37.25,40.56,36.47,41.36,37.70,33.69,25.68,35.23,-,-,-,-,-,-,-,-
4,PE Ratio,63.40,32.13,26.95,34.34,53.54,44.30,50.38,50.05,62.15,67.31,68.82,58.39,88.99,-,-,-,-,-,-,-,-
5,Forward PE,60.85,29.95,22.53,28.47,44.77,41.67,48.78,51.86,62.12,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,14.19,7.19,5.84,7.35,11.27,10.38,11.77,11.34,13.59,12.44,11.69,9.00,12.69,-,-,-,-,-,-,-,-
7,PB Ratio,6.66,3.30,2.75,3.43,5.26,4.76,5.32,4.82,5.60,5.29,4.85,3.64,5.06,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.48,3.48,2.91,3.63,5.56,5.03,5.63,5.10,5.93,5.60,5.14,3.85,5.36,-,-,-,-,-,-,-,-
9,P/FCF Ratio,73.77,37.52,35.58,47.88,66.04,78.69,103.64,94.65,122.05,67.38,63.17,42.89,65.75,-,-,-,-,-,-,-,-
10,P/OCF Ratio,27.11,27.11,24.17,28.36,40.34,37.94,45.81,44.20,57.65,45.08,44.81,35.07,51.11,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,12.60,5.73,4.51,5.92,9.80,8.92,10.23,9.74,11.90,10.77,9.86,8.68,12.36,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,46.31,21.35,17.00,22.71,37.79,35.56,40.15,39.43,49.55,43.53,43.04,38.61,57.31,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,56.27,25.16,19.92,26.32,43.70,41.15,46.60,46.78,59.70,52.13,52.77,46.78,70.23,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,65.75,29.88,27.45,38.56,57.42,67.58,90.07,81.31,106.88,58.30,53.33,41.34,64.01,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,-,0.01,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.02,0.02,0.03,0.03,0.04,0.03,0.04,0.05,0.07,0.00,0.02,0.03,0.03,-,0.05,-,-,-,-,-,-
17,Debt / FCF Ratio,0.03,0.03,0.05,0.06,0.05,0.08,0.10,0.11,0.14,0.01,0.03,0.03,0.04,-,0.22,-,-,-,-,-,-
18,Asset Turnover,0.44,0.43,0.43,0.42,0.46,0.46,0.41,0.41,0.43,0.38,0.34,-,-,-,-,-,-,0.78,-,-,
19,Inventory Turnover,3.90,3.74,3.68,4.23,4.47,3.80,4.51,3.53,3.46,2.55,2.75,2.30,-,-,-,-,-,-,2.38,-,-
20,Quick Ratio,9.08,9.08,9.34,8.34,10.09,9.03,9.25,9.22,9.13,9.47,9.01,10.18,8.59,-,2.85,-,2.79,-,2.58,2.58,2.05
21,Current Ratio,9.86,9.86,10.08,9.86,10.86,9.79,9.96,10.02,10.03,10.48,9.94,11.29,9.45,-,3.93,-,3.76,-,3.51,3.51,3.07
22,Return on Equity (ROE),12.29%,12.09%,10.94%,9.89%,11.78%,12.63%,9.91%,14.11%,10.52%,9.29%,6.69%,-,-,16.41%,10.95%,27.59%,14.13%,10.37%,-,-,
23,Return on Assets (ROA),7.03%,6.49%,6.17%,4.72%,7.20%,6.78%,5.77%,3.65%,7.20%,4.61%,4.06%,-,-,-,-,-,-,5.37%,-,-,
24,Return on Capital (ROIC),7.69%,7.11%,6.74%,5.15%,7.87%,7.40%,6.30%,3.99%,7.88%,5.03%,4.44%,-,-,12.17%,7.75%,15.15%,13.33%,6.66%,-,-,
25,Return on Capital Employed (ROCE),10.19%,10.36%,10.55%,10.40%,10.36%,9.87%,9.87%,8.79%,8.15%,8.75%,7.73%,7.47%,6.99%,-,17.49%,-,15.36%,-,11.66%,9.00%,6.61%
26,Earnings Yield,1.58%,3.11%,3.71%,2.91%,1.87%,2.26%,1.98%,2.00%,1.61%,1.49%,1.45%,1.71%,1.12%,-,-,-,-,-,-,-,-
27,FCF Yield,1.36%,2.66%,2.81%,2.09%,1.51%,1.27%,0.96%,1.06%,0.82%,1.48%,1.58%,2.33%,1.52%,-,-,-,-,-,-,-,-
28,Dividend Yield,0.52%,-,-,-,0.72%,-,-,-,0.48%,-,-,-,1.00%,-,-,-,-,-,-,-,-
29,Payout Ratio,41.28%,-,128.79%,-,30.84%,-,89.42%,-,20.61%,-,217.95%,25.09%,-,-,-,0.69%,-,-,-,-,-
30,Buyback Yield / Dilution,0.00%,0.01%,-0.42%,0.42%,0.01%,-0.04%,0.00%,0.01%,-33.31%,-33.26%,-33.33%,-33.43%,-0.03%,-0.02%,0.02%,0.04%,-,-,-,-,-
31,Total Shareholder Return,0.53%,0.01%,-0.42%,0.42%,0.74%,-0.04%,0.00%,0.01%,-32.82%,-33.26%,-33.33%,-33.43%,0.98%,-0.02%,0.02%,0.04%,-,-,-,-,-
