,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,183,273,197,242,273,207,305,370,230,230,330
1,Market Cap Growth,12.78%,12.78%,-27.94%,16.92%,-10.51%,-44.05%,32.61%,60.87%,-30.30%,-4.17%,50.00%
2,Enterprise Value,205,325,276,334,398,342,469,536,388,375,441
3,Last Close Price,0.13,0.21,0.18,0.22,0.25,0.21,0.30,0.37,0.23,0.23,0.33
4,PE Ratio,-,-,24.63,-,-,-,-,-,-,-,-
5,PS Ratio,0.91,1.71,1.10,1.57,2.01,0.96,1.11,1.33,0.97,0.87,0.94
6,PB Ratio,-6.23,-6.23,-3.41,-3.49,-4.09,-3.21,-6.86,10.91,3.83,3.39,3.56
7,P/TBV Ratio,-,-,-,-,-,-,-,239.79,9.04,3.39,3.56
8,P/FCF Ratio,9.57,14.27,6.77,16.00,39.54,7.13,8.05,17.63,13.42,18.77,17.72
9,P/OCF Ratio,11.11,11.11,5.70,13.07,26.59,6.24,7.26,11.53,8.14,4.40,5.62
10,EV/Sales Ratio,1.28,2.04,1.55,2.17,2.94,1.59,1.71,1.92,1.64,1.41,1.25
11,EV/EBITDA Ratio,20.63,-,33.21,-17.75,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,503.02,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,10.70,17.00,9.51,22.10,57.67,11.79,12.38,25.55,22.62,30.62,23.71
14,Debt / Equity Ratio,-1.41,-1.41,-1.28,-1.58,-1.82,-2.35,-3.73,5.32,3.18,2.87,2.33
15,Debt / FCF Ratio,3.23,3.23,2.55,7.23,17.61,5.21,4.38,8.60,11.14,15.88,11.62
16,Earnings Yield,-0.98%,-0.66%,4.06%,-8.05%,-15.15%,-44.94%,-30.30%,-11.24%,-17.31%,-31.97%,-17.98%
17,FCF Yield,10.45%,7.01%,14.76%,6.25%,2.53%,14.02%,12.42%,5.67%,7.45%,5.33%,5.64%
18,Buyback Yield / Dilution,-5.68%,-2.24%,-9.44%,-10.51%,-0.98%,-,-,-,-20.64%,-25.00%,-3.61%
19,Total Shareholder Return,-5.68%,-2.24%,-9.44%,-10.51%,-0.98%,-,-,-,-20.64%,-25.00%,-3.61%
