,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Market Capitalization,56,74,264,148,148,152,228,200,228,300,400,Upgrade
1,Market Cap Growth,-49.73%,-49.73%,78.38%,-2.63%,-35.09%,-24.00%,0%,-33.33%,-43.00%,-45.65%,-36.31%,Upgrade
2,Enterprise Value,2,13,324,299,348,367,417,392,311,382,468,Upgrade
3,Last Close Price,0.12,0.15,0.55,0.37,0.37,0.38,0.57,0.50,0.57,0.75,1.00,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,23.80,396.43,Upgrade
5,PS Ratio,0.31,0.43,1.51,0.81,0.60,0.32,0.30,0.21,0.24,0.48,1.07,Upgrade
6,PB Ratio,-1.06,-1.06,-10.25,-6.58,144.25,5.25,3.03,2.26,2.44,3.19,4.33,Upgrade
7,P/TBV Ratio,-,-,-,-,144.25,5.25,3.03,2.26,2.44,3.19,4.33,Upgrade
8,P/FCF Ratio,1.71,-,5.01,5.75,3.58,5.00,15.67,-2.76,-,-,94.74,Upgrade
9,P/OCF Ratio,2.25,-,4.99,5.74,3.58,4.87,13.97,-2.81,-,-,60.67,Upgrade
10,EV/Sales Ratio,0.01,0.08,1.85,1.63,1.42,0.77,0.55,0.41,0.33,0.61,1.25,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,2565.29,-,25.22,47.82,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,90.62,Upgrade
13,EV/FCF Ratio,0.06,-,6.14,11.62,8.42,12.06,28.63,-5.41,-,-,110.82,Upgrade
14,Debt / Equity Ratio,-0.26,-0.26,-1.00,-5.04,206.32,9.04,3.75,2.57,2.16,1.56,1.65,Upgrade
15,Debt / FCF Ratio,0.55,-,0.49,4.41,5.12,8.60,19.36,-3.14,-,-,36.21,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,2.78%,Upgrade
17,Earnings Yield,-129.74%,-97.93%,-19.53%,-34.76%,-50.08%,-39.23%,-8.05%,-2.76%,0.47%,4.20%,0.25%,Upgrade
18,FCF Yield,58.52%,44.17%,19.98%,17.40%,27.96%,20.01%,6.38%,-36.27%,-35.35%,0.57%,1.06%,Upgrade
19,Buyback Yield / Dilution,-16.01%,-20.00%,-12.02%,-,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-16.01%,-20.00%,-12.02%,-,-,-,-,-,-,-,-,Upgrade
