,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023,Q1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022"
0,Revenue,1310,1310,1146,1082,910.17
1,Revenue Growth (YoY),43.96%,-,-,-,-
2,Cost of Revenue,1086,1086,997.17,903.74,754.45
3,Gross Profit,223.88,223.88,148.52,177.77,155.72
4,"Selling, General & Admin",156.36,156.36,137.99,100.89,84.5
5,Other Operating Expenses,-3.98,-3.98,-8.41,-0.95,0.2
6,Operating Expenses,153.42,153.42,129.17,99.25,92.53
7,Operating Income,70.46,70.46,19.35,78.53,63.19
8,Interest Expense,-7.36,-7.36,-1.78,-3.91,-0.72
9,Interest & Investment Income,-,-,-,0.72,1.61
10,Currency Exchange Gain (Loss),3.33,3.33,-,-,-
11,Other Non Operating Income (Expenses),-,-,-59.15,-55.05,-43.15
12,EBT Excluding Unusual Items,66.44,66.44,-41.57,20.28,20.93
13,Gain (Loss) on Sale of Assets,-,-,0,-0,-0.14
14,Pretax Income,66.44,66.44,-41.57,20.28,20.78
15,Income Tax Expense,3.55,3.55,1.34,1.67,1.03
16,Net Income,62.88,62.88,-42.91,18.61,19.75
17,Preferred Dividends & Other Adjustments,-,-,-12.24,5.3,5.59
18,Net Income to Common,62.88,62.88,-30.67,13.32,14.16
19,Net Income Growth,218.35%,-,-,-,-
20,Shares Outstanding (Basic),1068,1068,723,723,663
21,Shares Outstanding (Diluted),1068,1068,723,723,663
22,Shares Change (YoY),61.06%,-,-,-,-
23,EPS (Basic),0.06,0.06,-0.04,0.02,0.02
24,EPS (Diluted),0.06,0.06,-0.04,0.02,0.02
25,EPS Growth,175.64%,-,-,-,-
26,Free Cash Flow,295.88,295.88,82.95,235.26,411.53
27,Free Cash Flow Per Share,0.28,0.28,0.11,0.33,0.62
28,Gross Margin,17.09%,17.09%,12.96%,16.44%,17.11%
29,Operating Margin,5.38%,5.38%,1.69%,7.26%,6.94%
30,Profit Margin,4.80%,4.80%,-2.68%,1.23%,1.56%
31,Free Cash Flow Margin,22.58%,22.58%,7.24%,21.75%,45.22%
32,EBITDA,92.17,92.17,34.14,95.52,71.59
33,EBITDA Margin,7.03%,7.03%,2.98%,8.83%,7.87%
34,D&A For EBITDA,21.71,21.71,14.79,17,8.41
35,EBIT,70.46,70.46,19.35,78.53,63.19
36,EBIT Margin,5.38%,5.38%,1.69%,7.26%,6.94%
37,Effective Tax Rate,5.35%,5.35%,-,8.21%,4.96%
38,Advertising Expenses,-,-,-,2.01,0.71
