,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,103.99,107.53,126.82,176.2,270.68,484.48,30.51,73.43,60.29,76.11,92.93,135.95,187.5,26.16,25.27,42.84,-,-,-
1,Cash & Short-Term Investments,103.99,103.99,107.53,126.82,176.2,270.68,484.48,30.51,73.43,60.29,76.11,92.93,135.95,187.5,26.16,25.27,42.84,-,-,10.14
2,Cash Growth,-40.98%,-61.58%,-77.80%,315.61%,139.97%,348.94%,536.57%,-67.16%,-45.99%,-67.84%,190.92%,267.70%,217.33%,-,-,149.31%,-,-,-,-
3,Accounts Receivable,-,424.5,402.06,416.83,383.22,435.55,392.15,395.17,350.9,378.96,291.2,309.56,315.6,274.02,209.35,186.98,192.34,-,-,-
4,Other Receivables,-,7.07,6.53,8.29,7.67,10.3,8.92,7.14,9.36,11.45,9.51,9.64,8.21,7.86,11.28,9.99,10.04,-,-,-
5,Receivables,-,431.57,408.59,425.12,390.9,445.84,401.07,402.31,360.25,390.4,300.71,319.2,323.82,281.88,220.62,196.97,202.38,-,-,-
6,Inventory,-,113.41,128.69,108.95,94.79,105.74,120.08,102.29,76.76,97.19,95.15,74.82,57.29,53.9,73.28,40.26,39.44,-,-,-
7,Other Current Assets,-,95.67,95.06,89.24,83.68,67.25,67.22,42.84,50.32,62.01,50.4,46.01,31.84,39.84,32.12,20.4,17.87,-,-,-
8,Total Current Assets,-,744.64,739.87,750.13,745.57,889.52,1073,577.95,560.76,609.9,522.36,532.96,548.9,563.11,352.18,282.9,302.53,-,-,-
9,"Property, Plant & Equipment",-,1199,1183,1115,1079,794.45,581.25,524.98,519.86,389.31,345.21,341.26,275.41,227.63,212.91,213.42,198.91,-,-,-
10,Long-Term Investments,-,-,-,-,-,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,-,-,-
11,Goodwill,-,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,38.49,-,-,-
12,Other Intangible Assets,-,19.33,18.72,16.64,17.22,8.19,4.7,4.97,5.04,5.15,5.74,6.35,5.28,5.8,6.12,6.67,6.3,-,-,-
13,Long-Term Deferred Tax Assets,-,55.94,56.56,48.64,46.62,21.32,19.85,15.69,38.82,12.66,14.5,11.34,9.95,6.79,6.33,5.28,4.14,-,-,-
14,Long-Term Deferred Charges,-,137.37,130.68,98.62,91.47,69.6,69.17,66.52,68.02,37.42,37.8,38.28,39.29,33.55,34.55,28.17,29.32,-,-,-
15,Other Long-Term Assets,-,14.57,20.57,127.31,92.53,172.27,144.41,97.67,91.83,96.85,88.9,79.42,51.3,32.85,8.92,7.26,6.76,-,-,-
16,Total Assets,-,2209,2188,2195,2110,1995,1932,1327,1324,1191,1054,1049,969.58,909.2,660.49,583.16,587.43,-,-,-
