,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3475,2283,1998,1836,2888,4130,4216,5184,3844,4116,4742,3368,2914,4792,2478,-,-,-,-,-,-
1,Market Cap Growth,-44.71%,-44.71%,-52.62%,-64.59%,-24.88%,0.32%,-11.09%,53.92%,31.93%,-14.11%,91.36%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4374,3183,2878,2657,3319,4561,4428,5807,4328,4601,5128,3719,3066,4944,2753,-,-,-,-,-,-
3,Last Close Price,41.01,26.95,23.58,21.67,34.06,48.71,49.73,61.15,52.77,56.51,65.10,46.24,40.00,65.79,34.02,-,-,-,-,-,-
4,PE Ratio,-,-,-38.74,-,-,-,244.51,-,73.28,111.86,80.49,-,-,82.61,54.40,-,-,-,-,-,-
5,Forward PE,43.63,35.00,21.73,15.53,21.02,28.57,28.59,36.28,29.15,36.48,39.38,34.33,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.05,5.30,4.92,4.93,8.24,11.74,12.19,12.32,9.86,12.22,13.00,10.98,8.51,14.94,8.05,-,-,-,-,-,-
7,PB Ratio,3.47,2.27,1.99,1.83,2.81,3.96,3.94,4.89,7.40,8.13,9.55,7.49,6.29,10.27,5.73,-,-,-,-,-,-
8,P/TBV Ratio,2.42,2.42,2.11,1.95,2.99,4.20,4.14,5.12,8.14,8.96,10.57,8.35,7.01,11.40,6.41,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-6.16,-,-,-,-,-,-,-23.28,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,64.17,398.35,-,-163.44,-,-,-,62.99,-,-,-,-90.94,-,-,-,-,-,-,-
11,EV/Sales Ratio,10.16,7.39,7.08,7.13,9.47,12.97,12.81,13.80,11.10,13.66,14.06,12.13,8.96,15.42,8.94,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,238.55,-,204.32,-,63.40,-,41.66,57.29,52.82,-,32.92,54.27,33.26,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-73.50,-,-,-,123.92,-,56.99,83.38,68.58,-,41.49,68.02,42.23,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-8.87,-,-,-,-,-,-,-26.02,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.99,0.99,0.99,0.98,0.92,0.84,0.65,0.65,1.25,1.23,1.09,1.02,0.95,0.76,0.78,1.39,1.21,0.89,-,-,0.93
16,Debt / EBITDA Ratio,-,-,11.12,12.61,33.03,484.47,6.69,12.20,5.61,4.80,2.21,40.71,20.75,1.86,2.35,3.65,19.32,1.68,-,-,-
17,Debt / FCF Ratio,-,-,-3.08,-,-,-,-,-,-,-3.53,-,-,-,-,-,-,-,15.68,-,-,26.66
18,Asset Turnover,-,0.22,0.13,0.19,0.21,0.18,0.13,0.31,0.33,0.58,0.08,0.20,0.56,0.53,0.36,0.20,-,-,-,-,
19,Inventory Turnover,-,-,2.32,2.06,2.85,2.93,1.55,1.23,2.64,2.27,3.12,0.72,1.80,4.38,3.38,2.04,1.60,-,-,-,-
20,Quick Ratio,-,-,0.62,0.65,0.74,0.82,1.03,1.28,0.67,0.68,0.83,0.75,0.86,1.01,1.04,0.62,0.66,0.71,-,-,-
21,Current Ratio,-,-,0.87,0.93,1.00,1.08,1.28,1.55,0.89,0.88,1.13,1.03,1.11,1.21,1.25,0.88,0.84,0.87,-,-,-
22,Return on Equity (ROE),-6.67%,0.89%,-8.83%,-3.68%,-8.20%,2.98%,-7.42%,9.69%,8.51%,38.38%,-12.77%,-2.91%,29.94%,28.04%,11.67%,-6.69%,-,-,-,-,
23,Return on Assets (ROA),-,1.27%,-2.61%,-0.48%,-2.84%,2.32%,-2.36%,3.96%,2.37%,12.51%,-3.13%,0.06%,8.38%,10.09%,4.21%,-0.41%,-,-,-,-,
24,Return on Capital (ROIC),-5.99%,1.40%,-2.89%,-0.53%,-3.17%,2.59%,-2.63%,4.57%,2.75%,14.44%,-3.63%,0.07%,9.90%,12.31%,5.35%,-0.55%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-2.90%,-,-,-,2.75%,-,11.19%,8.01%,11.49%,-,13.03%,14.13%,14.18%,30.62%,-,25.18%,-,-,-
26,Earnings Yield,-1.34%,-2.04%,-2.58%,-2.48%,-1.31%,-0.39%,0.41%,1.01%,1.36%,0.89%,1.24%,1.11%,1.99%,1.21%,1.84%,-,-,-,-,-,-
27,FCF Yield,-,-16.24%,-28.70%,-20.99%,-14.30%,-8.88%,-5.16%,-4.28%,-4.30%,-4.95%,-6.28%,-7.75%,-4.11%,-5.24%,-,-,-,-,-,-,
28,Payout Ratio,0.00%,-,354.80%,-,-,-,70.55%,-,42.30%,35.85%,9.15%,-,-,8.79%,14.06%,49.38%,-,11.19%,6.10%,-,-
29,Buyback Yield / Dilution,-5.55%,2.46%,-2.69%,-16.17%,-7.64%,-29.88%,-6.96%,-5.50%,-2.73%,5.70%,-5.98%,-52.59%,-25.02%,-31.72%,-32.26%,13.00%,-6.79%,-,-,-,-
30,Total Shareholder Return,-5.55%,2.46%,-2.69%,-16.17%,-7.64%,-29.88%,-6.96%,-5.50%,-2.73%,5.70%,-5.98%,-52.59%,-25.02%,-31.72%,-32.26%,13.00%,-6.79%,-,-,-,-
