,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,133.87,121.56,73.26,101.81,108.99,87.57,51.52,103.09,100.88,162.37,20.7,50.1,128.07,106,54.57,28.56,117.15,118.19,46.21,18.6
1,Other Revenue,-,-0.33,0.33,-,0.65,-0.15,0.15,-,2.75,-,-,-,3.51,-1.71,1.71,-,1.76,-0.13,0.13,-
2,Revenue,133.87,121.23,73.59,101.81,109.63,87.42,51.67,103.09,103.63,162.37,20.7,50.1,131.58,104.29,56.28,28.56,118.91,118.06,46.34,18.6
3,Revenue Growth (YoY),22.11%,38.67%,42.42%,-1.24%,5.79%,-46.16%,149.58%,105.79%,-21.24%,55.69%,-63.21%,75.41%,10.65%,-11.66%,21.45%,53.58%,-,-,-,-
4,Cost of Revenue,-203.94,70.19,61.11,72.64,73.51,43.76,34.16,59.06,49.29,75.09,15.23,29.78,60.89,53.66,28.91,15.99,71.21,53.36,32.57,14.68
5,Gross Profit,337.81,51.04,12.49,29.17,36.13,43.66,17.51,44.04,54.34,87.28,5.48,20.32,70.68,50.63,27.36,12.57,47.7,64.7,13.77,3.92
6,"Selling, General & Admin",-68.08,23.25,24.01,20.83,19.19,20.97,19.94,15.08,19,20.96,11.53,13.42,14.53,12.82,9.25,9.48,10.38,10.76,8.8,8.98
7,Research & Development,-36.54,12.5,12.1,11.94,12.51,10.06,11.28,8.5,8.09,8.9,7.64,7.26,7.1,7.74,5.78,5.76,7.36,5.3,6.7,4.04
8,Other Operating Expenses,493.85,0.21,0.33,0.04,6.07,-5.4,0.67,-0.82,5,-2.04,-1.72,-0.99,8.1,-5.22,-0.66,-1.15,2.29,-0.43,-1.23,-0.57
9,Operating Expenses,385.91,39.83,35.4,33.3,59.45,25.44,32.91,23.04,42.42,31.09,18.64,20.08,39.18,18.96,16.88,13.53,23.7,18.5,15.41,12.06
10,Operating Income,-48.1,11.2,-22.91,-4.13,-23.32,18.22,-15.4,21,11.92,56.19,-13.16,0.24,31.51,31.67,10.48,-0.96,24.01,46.2,-1.65,-8.14
11,Interest Expense,-,-11.04,-10.58,-9.7,-9.03,-9.91,-8.86,-8,-10.71,-4.47,-4.89,-4.74,-3.89,-4.34,-4.29,-3.82,-3.16,-2.33,-3.42,-3.61
12,Interest & Investment Income,30.75,-,0.15,0.42,4.13,-,1.6,0.04,0.06,0.17,0.24,0.38,0.67,0.42,0.04,-,0.03,0.01,0.01,0.01
13,Earnings From Equity Investments,-,-,-,-,0,0,-0,-0,-0,0,0,-0,0,0,-0,-,-,-0.01,-,-0
14,Currency Exchange Gain (Loss),-,1.31,-1.31,-,-0.04,-0.17,0.17,-,-0.02,-,-,-,-0,0,-0,-,0.08,-,-,-
15,Other Non Operating Income (Expenses),1.26,-1.33,1.09,-1.33,-2.5,2.15,0.3,0.03,-0.1,0.31,-0.49,-0.01,0.19,-0.77,0.4,-0.04,0.42,-1.04,-0.04,-0.19
16,EBT Excluding Unusual Items,-16.09,0.13,-33.55,-14.74,-30.76,10.28,-22.19,13.08,1.15,52.2,-18.3,-4.14,28.47,26.98,6.62,-4.83,21.39,42.83,-5.1,-11.93
17,Gain (Loss) on Sale of Investments,-,-,-,-,-0.3,-,-,-,-0,-,-,-,-,-,0,-0,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.2,-0.19,-0,-0,-1.55,0.01,-0.03,-0,0.11,-0.06,-0,-,-0.05,0.04,-0.01,0.11,-0.01,0.12,-,-
