,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3552,2845,2529,2908,3857,7867,10493,7203,3158,2664,3783,Upgrade
1,Market Cap Growth,-2.17%,-2.17%,-34.43%,-63.03%,-63.25%,9.22%,232.29%,170.37%,-16.52%,-27.68%,21.05%,Upgrade
2,Enterprise Value,9150,8946,8955,9815,9428,14504,15859,14311,9589,9537,9998,Upgrade
3,Last Close Price,1.13,0.86,0.72,0.78,0.98,1.87,2.43,1.64,0.72,0.61,0.86,Upgrade
4,PE Ratio,13.26,10.56,9.62,-38.98,-,6.18,7.61,8.30,6.29,3.69,6.73,Upgrade
5,Forward PE,-,3.18,3.18,3.18,3.94,5.09,3.85,3.85,3.85,3.85,5.84,Upgrade
6,PS Ratio,0.21,0.17,0.16,0.18,0.20,0.35,0.47,0.31,0.14,0.12,0.17,Upgrade
7,PB Ratio,0.38,0.30,0.26,0.30,0.37,0.69,0.90,0.64,0.30,0.29,0.42,Upgrade
8,P/TBV Ratio,0.32,0.32,0.28,0.33,0.41,0.74,0.98,0.71,0.34,0.32,0.47,Upgrade
9,P/FCF Ratio,0.52,0.42,0.53,1.03,0.96,1.60,1.88,1.03,0.69,2.23,4.20,Upgrade
10,P/OCF Ratio,0.37,0.37,0.48,0.81,0.79,1.45,1.71,0.89,0.56,1.14,1.72,Upgrade
11,PEG Ratio,0.91,0.91,0.91,0.91,1.12,0.31,0.11,0.11,0.11,0.11,0.17,Upgrade
12,EV/Sales Ratio,0.54,0.53,0.57,0.62,0.49,0.65,0.70,0.63,0.43,0.42,0.44,Upgrade
13,EV/EBITDA Ratio,4.58,4.72,4.68,6.17,4.64,5.15,5.33,4.88,3.79,4.40,4.63,Upgrade
14,EV/EBIT Ratio,13.92,15.08,16.16,69.90,-,10.83,9.67,9.32,7.89,9.19,9.58,Upgrade
15,EV/FCF Ratio,1.35,1.32,1.88,3.47,2.35,2.96,2.83,2.05,2.10,7.97,11.11,Upgrade
16,Debt / Equity Ratio,0.70,0.70,0.68,0.75,0.72,0.58,0.58,0.49,0.67,0.66,0.71,Upgrade
17,Debt / FCF Ratio,0.98,0.98,1.40,2.57,1.85,1.36,1.21,0.79,1.54,5.10,7.14,Upgrade
18,Return on Capital Employed (ROCE),5.35%,5.35%,4.79%,1.24%,-,10.76%,12.90%,12.12%,10.05%,9.45%,10.29%,Upgrade
19,Earnings Yield,7.58%,9.47%,10.39%,-2.57%,8.25%,16.18%,13.13%,12.05%,15.91%,27.08%,14.87%,Upgrade
20,FCF Yield,191.03%,238.53%,188.69%,97.23%,103.81%,62.32%,53.33%,97.00%,144.90%,44.92%,23.80%,Upgrade
21,Dividend Yield,8.85%,11.63%,13.80%,12.76%,10.17%,5.35%,4.12%,3.06%,-,-,-,Upgrade
22,Buyback Yield / Dilution,1.04%,-,2.05%,3.83%,1.88%,0.06%,-,-,-,-,-3.72%,Upgrade
23,Total Shareholder Return,9.88%,11.63%,15.84%,16.59%,12.06%,5.41%,4.12%,3.06%,-,-,-3.72%,Upgrade
