,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,168.64,305.13,359.18,224.36,202.05,198.77,157.36,121.21,106.77,102.69,Upgrade
1,Other Revenue,137.04,-,173.69,-,-,-,-,-,-,-,Upgrade
2,Revenue,305.68,305.13,532.87,224.36,202.05,198.77,157.36,121.21,106.77,102.69,Upgrade
3,Revenue Growth (YoY),-42.64%,36.00%,163.74%,12.88%,28.40%,63.98%,47.39%,18.03%,4.47%,-8.24%,Upgrade
4,Cost of Revenue,180.14,333.49,208.32,378.94,319.06,311.02,246.3,205.75,157.55,150.47,Upgrade
5,Gross Profit,125.55,-28.37,324.55,-154.58,-117.01,-112.26,-88.94,-84.54,-50.78,-47.77,Upgrade
6,"Selling, General & Admin",57.81,64.91,68.26,56.36,79.74,72.33,54.8,33.97,27.38,26.6,Upgrade
7,Research & Development,95.26,-,144.63,-,-,-,-,-,-,-,Upgrade
8,Operating Expenses,153.07,64.91,212.9,56.36,79.74,72.33,54.8,33.97,27.38,26.6,Upgrade
9,Operating Income,-27.52,-93.28,111.65,-210.94,-196.75,-184.58,-143.73,-118.5,-78.17,-74.38,Upgrade
10,Interest Expense,-,-0.54,-,-0.25,-0.4,-0.35,-0.24,-0.28,-0.51,-0.34,Upgrade
11,Interest & Investment Income,-,36.15,-,9.6,-,2.08,-,3.24,-,4.94,Upgrade
12,Earnings From Equity Investments,33.81,12.19,35.11,16.2,33.55,17.65,42.97,48.68,30.37,13.39,Upgrade
13,Currency Exchange Gain (Loss),-,8.66,-,-5.7,-,1.67,-,3.27,-,0.25,Upgrade
14,Other Non Operating Income (Expenses),22.77,-24.01,25.43,-2.49,-3.48,-15.42,3.53,-0.88,2.1,-3.28,Upgrade
15,EBT Excluding Unusual Items,29.05,-60.83,172.2,-193.58,-167.09,-178.95,-97.48,-64.47,-46.21,-59.41,Upgrade
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,121.31,-,-,-,-,Upgrade
17,Asset Writedown,-,-5.77,-,-,-,-,-,-,-,-,Upgrade
18,Pretax Income,29.05,-66.6,172.2,-193.58,-167.09,-57.64,-97.48,-64.47,-46.21,-59.41,Upgrade
19,Income Tax Expense,2.89,1.78,2.73,3.93,-4.22,10.06,1.86,2.8,2.03,0.81,Upgrade
20,Earnings From Continuing Operations,26.17,-68.37,169.47,-197.51,-162.87,-67.7,-99.34,-67.27,-48.25,-60.22,Upgrade
21,Net Income to Company,26.17,-68.37,169.47,-197.51,-162.87,-67.7,-99.34,-67.27,-48.25,-60.22,Upgrade
22,Minority Interest in Earnings,-0.36,0.6,-0.92,-0.46,0.01,-24.55,-3.06,-8.77,-1.45,-0.43,Upgrade
23,Net Income,25.8,-67.77,168.55,-197.97,-162.86,-92.25,-102.4,-76.04,-49.69,-60.66,Upgrade
24,Net Income to Common,25.8,-67.77,168.55,-197.97,-162.86,-92.25,-102.4,-76.04,-49.69,-60.66,Upgrade
25,Net Income Growth,-84.69%,-,-,-,-,-,-,-,-,-,Upgrade
26,Shares Outstanding (Basic),856,852,847,845,849,856,729,711,685,666,Upgrade
27,Shares Outstanding (Diluted),873,871,867,845,849,856,729,711,685,666,Upgrade
28,Shares Change (YoY),0.64%,3.12%,2.08%,-1.30%,16.46%,20.48%,6.41%,6.72%,2.96%,0.18%,Upgrade
29,EPS (Basic),0.03,-0.08,0.20,-0.23,-0.19,-0.11,-0.14,-0.11,-0.07,-0.09,Upgrade
30,EPS (Diluted),0.03,-0.08,0.19,-0.24,-0.19,-0.11,-0.14,-0.11,-0.07,-0.09,Upgrade
31,EPS Growth,-84.21%,-,-,-,-,-,-,-,-,-,Upgrade
32,Free Cash Flow,-49.94,-15.4,202.04,-199.65,-105.61,-140.39,-80.23,-37.58,-32.43,-55.58,Upgrade
33,Free Cash Flow Per Share,-0.06,-0.02,0.23,-0.24,-0.12,-0.16,-0.11,-0.05,-0.05,-0.08,Upgrade
34,Operating Margin,-9.00%,-30.57%,20.95%,-94.02%,-97.38%,-92.86%,-91.34%,-97.77%,-73.21%,-72.42%,Upgrade
35,Profit Margin,8.44%,-22.21%,31.63%,-88.24%,-80.61%,-46.41%,-65.07%,-62.73%,-46.55%,-59.06%,Upgrade
36,Free Cash Flow Margin,-16.34%,-5.05%,37.92%,-88.99%,-52.27%,-70.63%,-50.99%,-31.00%,-30.38%,-54.13%,Upgrade
37,EBITDA,-21.27,-88.88,115.47,-206.65,-192.38,-180.92,-140.21,-115.37,-75.24,-71.84,Upgrade
38,D&A For EBITDA,6.25,4.4,3.81,4.29,4.38,3.67,3.52,3.14,2.92,2.54,Upgrade
39,EBIT,-27.52,-93.28,111.65,-210.94,-196.75,-184.58,-143.73,-118.5,-78.17,-74.38,Upgrade
40,Revenue as Reported,305.68,305.13,532.87,224.36,202.05,198.77,157.36,121.21,106.77,102.69,Upgrade
