,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Feb '25 Feb 27, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,482429,457877,431333,499019,448586,398154,414743,398154,396826,380237,478448,477784,510300,526226,550779,558742,564051,671552,688806,706059,694114,Upgrade
1,Market Cap Growth,15.00%,15.00%,4.00%,25.33%,13.04%,4.71%,-13.31%,-16.67%,-22.24%,-27.74%,-13.13%,-14.49%,-9.53%,-21.64%,-20.04%,-20.86%,-18.74%,-16.09%,-32.42%,-36.29%,-19.51%,Upgrade
2,Enterprise Value,492270,470896,458328,551745,401371,398348,371776,370602,318010,284134,386879,392976,406449,444433,489885,511069,472440,581151,639807,656458,562397,Upgrade
3,Last Close Price,36350.00,34500.00,32500.00,36467.47,31033.56,27544.58,28692.27,26282.99,24963.63,23920.00,30098.29,30056.54,29781.42,30710.88,32143.80,32608.53,31844.93,37914.19,38888.27,38463.67,37812.97,Upgrade
4,PE Ratio,11.35,10.77,8.14,9.47,8.59,7.91,10.80,10.39,9.36,8.16,7.97,7.80,9.09,10.51,17.69,15.02,15.43,18.21,15.36,17.37,13.91,Upgrade
5,PS Ratio,1.24,1.18,1.20,1.44,1.41,1.32,1.48,1.51,1.29,1.27,1.41,1.36,1.60,1.70,1.84,1.72,1.62,1.49,1.26,1.31,1.12,Upgrade
6,PB Ratio,1.26,1.20,1.15,1.35,1.13,1.02,1.14,1.11,1.03,1.00,1.30,1.33,1.33,1.41,1.59,1.65,1.63,1.96,2.04,2.03,2.09,Upgrade
7,P/TBV Ratio,1.36,1.36,1.31,1.54,1.28,1.16,1.30,1.28,1.17,1.14,1.49,1.52,1.52,1.61,1.83,1.91,1.89,2.28,2.38,2.35,2.35,Upgrade
8,P/FCF Ratio,-,-6.94,-10.35,-25.07,-,9.06,-172.20,-36.05,-,-,6.39,8.28,-,9.86,8.06,6.75,-,14.36,8.28,6.86,-,Upgrade
9,P/OCF Ratio,-,-7.89,-12.37,-171.96,-,5.53,12.08,26.56,-,-,5.96,7.31,-,7.71,7.29,6.40,-,13.87,8.25,6.36,-,Upgrade
10,EV/Sales Ratio,1.27,1.21,1.27,1.59,1.26,1.32,1.32,1.41,1.03,0.95,1.14,1.12,1.27,1.43,1.64,1.57,1.36,1.29,1.17,1.22,0.91,Upgrade
11,EV/EBITDA Ratio,8.06,7.71,8.69,10.46,7.79,8.37,6.70,6.86,5.44,4.71,5.74,5.69,6.65,7.47,10.79,9.55,8.68,10.57,8.99,9.83,6.93,Upgrade
12,EV/EBIT Ratio,10.29,9.85,11.63,14.32,10.88,11.55,8.85,8.77,6.59,5.71,6.65,6.55,7.83,8.97,13.92,11.93,10.89,13.34,10.76,12.00,8.04,Upgrade
13,EV/FCF Ratio,-7.46,-7.14,-10.99,-27.72,-,9.07,-154.36,-33.55,-,-,5.16,6.81,-,8.33,7.17,6.18,-,12.43,7.69,6.38,-,Upgrade
14,Debt / Equity Ratio,0.06,0.06,0.16,0.24,0.24,-,0.07,0.01,-,-,-,-,-,-,-,-,-,-,-,0.00,0.04,Upgrade
15,Debt / EBITDA Ratio,0.38,0.39,1.27,0.91,2.47,-,0.58,0.05,-,-,-,-,-,-,-,-,-,-,-,0.02,0.56,Upgrade
