,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,116280,78864,124429,68490,88921,65699,95273,52079,68021,47790,140381,44076,105959,60052,109108,35322,94799,85477,132317,137909,Upgrade
1,Revenue Growth (YoY),30.77%,20.04%,30.60%,31.51%,30.73%,37.47%,-32.13%,18.16%,-35.80%,-20.42%,28.66%,24.78%,11.77%,-29.75%,-17.54%,-74.39%,-49.99%,9.03%,-37.64%,5.00%,Upgrade
2,Cost of Revenue,85810,55305,87311,48450,60945,43288,59403,39530,35773,30032,90199,28399,64837,39618,72136,24809,71920,53585,98120,125485,Upgrade
3,Gross Profit,30470,23559,37118,20040,27976,22411,35870,12550,32248,17758,50182,15676,41122,20433,36973,10514,22879,31893,34196,12423,Upgrade
4,"Selling, General & Admin",18867,15140,15598,13764,24791,14873,15993,8665,21531,9996,24312,10255,21966,10850,19241,7448,18060,14681,15899,9187,Upgrade
5,Operating Expenses,18867,15140,15598,13764,24791,14873,15993,8665,21531,9996,24312,10255,21966,10850,19241,7448,18060,14681,15899,9187,Upgrade
6,Operating Income,11603,8419,21520,6276,3185,7538,19877,3885,10717,7763,25870,5421,19156,9584,17731,3065,4820,17212,18297,3236,Upgrade
7,Interest Expense,-539.87,-876.02,-1122,-175.55,-234.74,-253.09,-,-,-,-,-,-,-,-,-,-,-,-5,-94.01,-,Upgrade
8,Interest & Investment Income,1794,1743,1728,2090,3111,1529,1544,2290,1965,1439,1560,1734,1231,981.91,1112,1327,1361,1601,566.51,1119,Upgrade
9,Earnings From Equity Investments,-,-,-,-,9900,-,-,-,-,-,-,-,9900,-,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,-12.76,-28.3,54.36,-,-38.17,-,48.2,-,-,-3.88,1.6,0.43,-14.36,-3.52,5.69,-0.51,-1.81,-,Upgrade
11,Other Non Operating Income (Expenses),-269.21,289.85,205.66,671.95,2601,301.46,764.97,105.22,2519,-160.94,-65.92,4404,-2055,-85.51,2122,-383.38,2081,-535.82,1286,-9.22,Upgrade
12,EBT Excluding Unusual Items,12587,9576,22319,8834,18618,9115,22147,6280,15249,9040,27364,11555,28234,10481,20951,4006,8267,18272,20053,4346,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,506.84,-,11454,-,106.96,-,531.36,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,2240,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,12587,9576,22826,8834,30071,9115,22254,6280,15780,9040,27364,11555,30474,10481,20951,4006,8267,18272,20053,4346,Upgrade
16,Income Tax Expense,2668,2024,4632,1979,5287,1896,4515,1316,3263,1905,5549,2358,4257,2096,4273,838.1,2158,3819,4011,869.12,Upgrade
17,Earnings From Continuing Operations,9919,7551,18194,6855,24784,7219,17740,4964,12518,7135,21815,9197,26217,8384,16677,3168,6109,14453,16042,3476,Upgrade
18,Net Income,9919,7551,18194,6855,24784,7219,17740,4964,12518,7135,21815,9197,26217,8384,16677,3168,6109,14453,16042,3476,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,4377,-,-,-,4053,-,-,-,4356,-,-,-,3206,-,-,-,Upgrade
20,Net Income to Common,9919,7551,18194,6855,20408,7219,17740,4964,8465,7135,21815,9197,21862,8384,16677,3168,2902,14453,16042,3476,Upgrade
21,Net Income Growth,-59.98%,4.61%,2.56%,38.09%,97.99%,1.16%,-18.68%,-46.03%,-52.25%,-14.90%,30.80%,190.34%,329.18%,-41.99%,3.96%,-8.89%,-63.59%,40.83%,-36.54%,-83.85%,Upgrade
22,Shares Outstanding (Basic),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Upgrade
23,Shares Outstanding (Diluted),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Upgrade
24,Shares Change (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.81%,Upgrade
25,EPS (Basic),747.37,568.98,1370.85,516.51,1537.68,543.90,1336.64,374.03,637.79,537.64,1643.70,692.97,1647.22,631.75,1256.61,238.67,218.68,1088.97,1208.76,261.94,Upgrade
26,EPS (Diluted),747.37,568.98,1370.85,516.51,1537.43,543.90,1336.64,374.03,637.69,537.64,1643.70,692.97,1646.97,631.75,1256.61,238.67,218.33,1088.97,1208.76,261.94,Upgrade
27,EPS Growth,-51.39%,4.61%,2.56%,38.09%,141.09%,1.16%,-18.68%,-46.03%,-61.28%,-14.90%,30.80%,190.34%,654.36%,-41.99%,3.96%,-8.89%,-73.33%,40.83%,-36.54%,-83.55%,Upgrade
28,Free Cash Flow,12898,30546,6717,-116110,37158,52330,13395,-58944,-9190,43693,6193,-19952,44988,26473,12420,-30505,59927,40913,29078,-83157,Upgrade
29,Free Cash Flow Per Share,971.80,2301.55,506.08,-8748.62,2799.78,3942.96,1009.32,-4441.28,-692.47,3292.14,466.61,-1503.33,3389.76,1994.65,935.82,-2298.49,4515.39,3082.68,2190.99,-6265.67,Upgrade
30,Dividend Per Share,-,-,-,-,-,-,-,-,1500.000,-,1500.000,-,3000.000,-,-,-,1500.000,-,-,-,Upgrade
31,Dividend Growth,-,-,-,-,-,-,-,-,-50.00%,-,-,-,100.00%,-,-,-,-25.00%,-,-,-,Upgrade
32,Gross Margin,26.20%,29.87%,29.83%,29.26%,31.46%,34.11%,37.65%,24.10%,47.41%,37.16%,35.75%,35.57%,38.81%,34.03%,33.89%,29.77%,24.13%,37.31%,25.84%,9.01%,Upgrade
33,Operating Margin,9.98%,10.68%,17.30%,9.16%,3.58%,11.47%,20.86%,7.46%,15.76%,16.24%,18.43%,12.30%,18.08%,15.96%,16.25%,8.68%,5.08%,20.14%,13.83%,2.35%,Upgrade
