,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,11.56,6.81,6.64,7.44,10.79,11.29,10.27,6.86,5.6,5.13,Upgrade
1,Revenue Growth (YoY),74.12%,-8.46%,-38.47%,-34.07%,5.03%,64.68%,83.48%,33.63%,-21.09%,-37.19%,Upgrade
2,Cost of Revenue,11.42,6.09,6.86,7.99,8.19,6.11,4.87,5.52,5.79,5.22,Upgrade
3,Gross Profit,0.14,0.73,-0.22,-0.55,2.6,5.18,5.4,1.33,-0.19,-0.09,Upgrade
4,"Selling, General & Admin",1.24,1.41,1.28,1.39,1.44,1.23,1.51,1.12,1.17,1.19,Upgrade
5,Other Operating Expenses,-0.05,-0.08,-0.1,0.01,-0.09,-0,-0.01,0,-0.01,-0.01,Upgrade
6,Operating Expenses,1.2,1.33,1.19,1.39,1.35,1.24,1.5,1.15,1.18,1.2,Upgrade
7,Operating Income,-1.06,-0.6,-1.4,-1.94,1.25,3.94,3.9,0.19,-1.37,-1.29,Upgrade
8,Interest Expense,-2.06,-2.39,-2.66,-5.09,-1.72,-0.53,-1.57,-3,-2.96,-2.93,Upgrade
9,Interest & Investment Income,0.01,0.02,0.02,0.04,0.01,0,-,-,-,0,Upgrade
10,Other Non Operating Income (Expenses),-,-,-,-4.09,-,-,-,-,-,-,Upgrade
11,EBT Excluding Unusual Items,-3.11,-2.97,-4.05,-11.08,-0.47,3.41,2.33,-2.82,-4.33,-4.22,Upgrade
12,Gain (Loss) on Sale of Assets,-3.21,-4.39,0.01,0.05,-,-,-,-,-,-,Upgrade
13,Asset Writedown,-1.15,8.5,-2.64,-7.55,-0.67,6.68,12.49,3.66,1,-3.02,Upgrade
14,Other Unusual Items,-,-,-,0.03,2.59,-,-0.21,0.04,0.03,-,Upgrade
15,Pretax Income,-7.47,1.14,-6.69,-18.55,1.45,10.09,14.61,0.88,-3.29,-7.24,Upgrade
16,Income Tax Expense,-,1.26,-,0.01,0,0,0,0.31,0.42,0.83,Upgrade
17,Earnings From Continuing Operations,-7.47,-0.12,-6.69,-18.56,1.45,10.09,14.61,0.58,-3.71,-8.06,Upgrade
18,Minority Interest in Earnings,0.01,-0.33,0.01,0.01,0.01,0.01,0.02,-0.07,-0.06,-0.21,Upgrade
19,Net Income,-7.47,-0.45,-6.68,-18.55,1.46,10.1,14.62,0.51,-3.76,-8.27,Upgrade
20,Net Income to Common,-7.47,-0.45,-6.68,-18.55,1.46,10.1,14.62,0.51,-3.76,-8.27,Upgrade
21,Net Income Growth,-,-,-,-,-90.05%,1895.85%,-,-,-,-,Upgrade
22,Shares Outstanding (Basic),953,953,953,953,953,953,953,964,941,936,Upgrade
23,Shares Outstanding (Diluted),953,953,953,953,1334,1334,1334,964,941,936,Upgrade
24,Shares Change (YoY),-,-,-28.61%,-28.61%,-,38.42%,41.81%,3.00%,-2.89%,-39.05%,Upgrade
25,EPS (Basic),-0.01,-0.00,-0.01,-0.02,0.00,0.01,0.02,0.00,-0.00,-0.01,Upgrade
26,EPS (Diluted),-0.01,-0.00,-0.01,-0.02,0.00,0.01,0.01,0.00,-0.00,-0.01,Upgrade
27,EPS Growth,-,-,-,-,-99.84%,1344.08%,-,-,-,-,Upgrade
28,Free Cash Flow,1.03,0.04,2.15,0.94,3.53,3.62,6.75,0.04,-0.39,-2.31,Upgrade
29,Free Cash Flow Per Share,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,-0.00,Upgrade
30,Operating Margin,-9.19%,-8.78%,-21.15%,-26.12%,11.58%,34.90%,37.95%,2.76%,-24.43%,-25.20%,Upgrade
31,Profit Margin,-64.60%,-6.56%,-100.60%,-249.20%,13.48%,89.46%,142.34%,7.38%,-67.23%,-161.23%,Upgrade
32,Free Cash Flow Margin,8.90%,0.62%,32.37%,12.59%,32.74%,32.04%,65.74%,0.58%,-7.02%,-45.03%,Upgrade
33,EBITDA,1.19,1.67,1.28,1.46,4.61,6.53,5.79,1.95,0.29,0.44,Upgrade
34,D&A For EBITDA,2.26,2.27,2.68,3.41,3.36,2.59,1.89,1.76,1.66,1.73,Upgrade
35,EBIT,-1.06,-0.6,-1.4,-1.94,1.25,3.94,3.9,0.19,-1.37,-1.29,Upgrade
