,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,35591,14125,20301,929.1,12099,11401,10279,-,11180,-,10766,-,46704,13916,14321,18642,7884,11919,10403,10349,Upgrade
1,Short-Term Investments,20001,8001,13000,13000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,55591,22126,33301,13929,12099,11401,10279,11180,11180,-,10766,46704,46704,13916,14321,18642,7884,11919,10403,10349,Upgrade
3,Cash Growth,359.48%,94.07%,223.97%,24.59%,8.22%,-,-4.53%,-76.06%,-76.06%,-,-24.82%,150.54%,492.39%,16.76%,37.66%,80.13%,12.42%,68.25%,-14.64%,8.19%,Upgrade
4,Accounts Receivable,171.45,165.18,536.64,520.87,517.69,536.11,592.29,-,256.42,-,204840,-,254188,226718,335981,230478,232386,228196,230328,236483,Upgrade
5,Other Receivables,1122,1072,1170,946.86,946.86,961.57,961.57,-,991.57,-,1314,-,126214,6793,7306,31679,6302,15220,8737,6473,Upgrade
6,Receivables,1293,1237,1707,1468,1465,1498,1554,-,1248,-,206154,-,520402,373510,423287,323607,301688,296416,242565,246356,Upgrade
7,Inventory,-,-,-,-,-,-,-,-,-,-,-,-,-,20924,18505,21674,16826,19450,21906,21557,Upgrade
8,Prepaid Expenses,252.7,120.23,112.14,183.62,123.11,96.07,2.61,-,32.42,-,76.37,-,7.41,250.63,128.07,116.23,297.38,373.18,98.44,180.96,Upgrade
9,Other Current Assets,46941,55023,56333,105185,47857,48068,48659,-,48208,-,65700,-,3645,6756,56327,65338,53679,50226,50972,50618,Upgrade
10,Total Current Assets,104078,78506,91453,120766,61544,61063,60495,-,60668,-,282697,-,570759,415358,512568,429377,380375,378383,325945,329061,Upgrade
11,"Property, Plant & Equipment",266292,266089,420800,326931,324653,321738,321704,-,316891,-,232244,-,231304,358637,362097,532232,536510,538635,542421,544647,Upgrade
12,Long-Term Investments,280000,280000,280000,280000,280000,280000,280000,-,280000,-,280000,-,-,-,-,-,-,-,-,-,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12557,12969,13391,13812,14229,Upgrade
14,Other Intangible Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,6470,6520,50222,50504,50787,51069,51351,Upgrade
15,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,20,20,20,Upgrade
16,Long-Term Deferred Tax Assets,16.6,16.6,16.6,16.6,16.6,16.6,16.6,-,31.55,-,32.2,-,27.69,27.69,27.69,27.69,27.69,26.65,26.65,26.65,Upgrade
17,Other Long-Term Assets,170614,162153,2508,2716,3109,3502,3268,-,3959,-,4589,-,2622,2967,3109,4105,4458,5290,5009,5457,Upgrade
18,Total Assets,821000,786765,794777,730429,669322,666319,665482,-,661550,-,799562,-,804713,783461,884323,1028542,984867,986532,938302,944792,Upgrade
19,Accounts Payable,1919,1711,15358,3463,20382,17620,17597,-,12585,-,843.2,-,4791,26899,31968,24756,24238,30906,33187,37111,Upgrade
20,Accrued Expenses,77297,74441,76987,75262,75326,74777,75144,-,75910,-,76344,-,76818,80243,84286,92544,95189,92050,91563,88305,Upgrade
21,Short-Term Debt,17583,5118,10235,-,-,-,-,-,-,-,-,-,-,-,71557,91263,91476,91699,97053,94306,Upgrade
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,47.7,20268,9870,9870,9870,9870,9870,Upgrade
23,Current Portion of Leases,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3090,6180,9270,Upgrade
24,Current Income Taxes Payable,-,-,-,-,-,-,-,-,-,-,699.28,-,4200,-,-,-,118.59,-,-,-,Upgrade
25,Current Unearned Revenue,31076,55723,55723,55723,55723,55723,55723,-,55723,-,55992,-,55723,55723,55723,55774,56319,55723,55723,55723,Upgrade
26,Other Current Liabilities,2649,76300,81540,67493,69525,69418,70050,-,70668,-,19342,-,19126,18928,18466,148043,101705,82737,22207,27429,Upgrade
27,Total Current Liabilities,130522,213293,239843,201942,220956,217538,218513,-,214886,-,153221,-,160658,181840,282269,422249,378916,366075,315783,322014,Upgrade
28,Long-Term Debt,92000,103967,87854,57468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12703,12703,12703,12703,12703,Upgrade
30,Other Long-Term Liabilities,147735,22592,22592,24973,2685,2878,1904,-,1708,-,1554,-,1502,2160,2281,8283,8283,2230,587.02,586.61,Upgrade
31,Total Liabilities,370257,339852,350290,284383,223642,220416,220417,-,216594,-,154775,-,162161,184000,284550,443236,399903,381008,329074,335304,Upgrade
32,Common Stock,386300,386300,386300,386300,386300,386300,386300,-,386300,-,386300,-,386300,386300,386300,386300,386300,386300,386300,386300,Upgrade
33,Additional Paid-In Capital,251698,251698,251698,251698,251698,251698,251698,-,251698,-,251698,-,251698,202560,202560,202560,202560,202560,202560,202560,Upgrade
34,Retained Earnings,-187164,-190994,-193420,-191861,-192226,-192004,-192842,-,-192951,-,6880,-,4645,10407,10689,-4793,-5132,15340,19028,19312,Upgrade
35,Treasury Stock,-90.62,-90.62,-90.62,-90.62,-90.62,-90.62,-90.62,-,-90.62,-,-90.62,-,-90.62,-90.62,-90.62,-90.62,-90.62,-,-,-,Upgrade
36,Total Common Equity,450743,446913,444487,446046,445681,445903,445065,444956,444956,-,644787,642552,642552,599177,599459,583976,583638,604200,607888,608172,Upgrade
37,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,-,283.74,314.34,1330,1327,1323,1340,1317,Upgrade
38,Shareholders' Equity,450743,446913,444487,446046,445681,445903,445065,444956,444956,-,644787,642552,642552,599460,599773,585307,584964,605524,609228,609489,Upgrade
39,Total Liabilities & Equity,821000,786765,794777,730429,669322,666319,665482,-,661550,-,799562,-,804713,783461,884323,1028542,984867,986532,938302,944792,Upgrade
40,Total Debt,109583,109085,98090,57468,-,-,-,-,-,-,-,-,-,47.7,91825,101133,101346,104659,113103,113446,Upgrade
41,Net Cash (Debt),-53991,-86959,-64789,-43539,12099,11401,10279,11180,11180,-,10766,46704,46704,13869,-77505,-82491,-93462,-92740,-102700,-103096,Upgrade
